Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1312181820671184896,in,NO,YES,0,1371,"",Sat Oct 03 00:04:59 +0000 2020
1312182113244913667,in,NO,YES,0,1372,"",Sat Oct 03 00:06:09 +0000 2020
1312182269902168064,in,NO,NO,0,0,"",Sat Oct 03 00:06:46 +0000 2020
1312182437334585344,in,NO,NO,0,1,"",Sat Oct 03 00:07:26 +0000 2020
1312182465268596736,in,NO,NO,0,0,"",Sat Oct 03 00:07:33 +0000 2020
1312182853682171906,in,NO,YES,0,1373,"",Sat Oct 03 00:09:06 +0000 2020
1312182953170984960,in,NO,YES,0,1373,"",Sat Oct 03 00:09:29 +0000 2020
1312182964587913216,in,NO,YES,0,1373,"",Sat Oct 03 00:09:32 +0000 2020
1312183388023840772,in,NO,NO,0,0,"",Sat Oct 03 00:11:13 +0000 2020
1312183876941303808,in,NO,YES,0,1373,"",Sat Oct 03 00:13:10 +0000 2020
1312184078389534720,in,NO,YES,0,78,"",Sat Oct 03 00:13:58 +0000 2020
1312184139022360577,in,NO,YES,0,1373,"",Sat Oct 03 00:14:12 +0000 2020
1312184256802615296,in,NO,YES,0,1373,"",Sat Oct 03 00:14:40 +0000 2020
1312184579147481088,in,NO,YES,0,1373,"",Sat Oct 03 00:15:57 +0000 2020
1312184598105747457,in,NO,YES,0,1373,"",Sat Oct 03 00:16:02 +0000 2020
1312184824807870465,in,NO,YES,0,1378,"",Sat Oct 03 00:16:56 +0000 2020
1312185402929766400,in,NO,NO,0,0,"",Sat Oct 03 00:19:13 +0000 2020
1312185580290097154,in,NO,NO,0,0,"",Sat Oct 03 00:19:56 +0000 2020
1312185643523469312,in,NO,YES,0,1380,"",Sat Oct 03 00:20:11 +0000 2020
1312185722271490049,in,NO,NO,0,0,"",Sat Oct 03 00:20:30 +0000 2020
1312185873274818560,in,NO,NO,0,0,"",Sat Oct 03 00:21:06 +0000 2020
1312185948206034944,in,NO,YES,0,35,"",Sat Oct 03 00:21:23 +0000 2020
1312185978728050688,in,NO,YES,0,1382,"",Sat Oct 03 00:21:31 +0000 2020
1312186168134385665,in,NO,NO,87,61,"",Sat Oct 03 00:22:16 +0000 2020
1312186259385671680,in,NO,YES,0,1382,"",Sat Oct 03 00:22:38 +0000 2020
1312186788065079297,in,NO,YES,0,46,"",Sat Oct 03 00:24:44 +0000 2020
1312186829265801216,in,NO,YES,0,39,"",Sat Oct 03 00:24:54 +0000 2020
1312186864820875264,in,NO,NO,1,0,"",Sat Oct 03 00:25:02 +0000 2020
1312187092349280256,in,NO,YES,0,1384,"",Sat Oct 03 00:25:56 +0000 2020
1312187119419310080,in,NO,NO,94,61,"",Sat Oct 03 00:26:03 +0000 2020
1312187314756493312,in,NO,YES,0,61,"",Sat Oct 03 00:26:49 +0000 2020
1312187674183127040,in,NO,YES,0,1384,"",Sat Oct 03 00:28:15 +0000 2020
1312187696547201028,in,NO,YES,0,61,"",Sat Oct 03 00:28:20 +0000 2020
1312187696899530753,in,NO,NO,26,20,"",Sat Oct 03 00:28:20 +0000 2020
1312187715719360513,in,NO,YES,0,61,"",Sat Oct 03 00:28:25 +0000 2020
1312187790554099712,in,NO,YES,0,61,"",Sat Oct 03 00:28:43 +0000 2020
1312187858707382272,in,NO,YES,0,61,"",Sat Oct 03 00:28:59 +0000 2020
1312187879225872384,in,NO,YES,0,61,"",Sat Oct 03 00:29:04 +0000 2020
1312187880014454784,in,NO,NO,0,0,"",Sat Oct 03 00:29:04 +0000 2020
1312187944392773633,in,NO,YES,0,20,"",Sat Oct 03 00:29:19 +0000 2020
1312188028123664384,in,NO,YES,0,35,"",Sat Oct 03 00:29:39 +0000 2020
1312188170864259072,in,NO,YES,0,1392,"",Sat Oct 03 00:30:13 +0000 2020
1312188303861411840,in,NO,YES,0,36,"",Sat Oct 03 00:30:45 +0000 2020
1312188588591771648,in,NO,YES,0,1393,"",Sat Oct 03 00:31:53 +0000 2020
1312188706221035520,in,NO,YES,0,47,"",Sat Oct 03 00:32:21 +0000 2020
1312188745492299777,in,NO,YES,0,40,"",Sat Oct 03 00:32:30 +0000 2020
1312189009989230596,in,NO,NO,0,0,"",Sat Oct 03 00:33:33 +0000 2020
1312189042373451776,in,NO,NO,1,1,"",Sat Oct 03 00:33:41 +0000 2020
1312189090272428032,in,NO,YES,0,20,"",Sat Oct 03 00:33:53 +0000 2020
1312189218567778305,in,NO,YES,0,62,"",Sat Oct 03 00:34:23 +0000 2020
1312189227132571649,in,NO,YES,0,2,"",Sat Oct 03 00:34:25 +0000 2020
1312189449644593153,in,NO,YES,0,1400,"",Sat Oct 03 00:35:18 +0000 2020
1312189543940911105,in,NO,NO,0,0,"",Sat Oct 03 00:35:41 +0000 2020
1312189673331019776,in,NO,YES,0,1401,"",Sat Oct 03 00:36:12 +0000 2020
1312189774308933632,in,NO,NO,0,0,"",Sat Oct 03 00:36:36 +0000 2020
1312189860522807301,in,NO,NO,1,0,"",Sat Oct 03 00:36:56 +0000 2020
1312190148499578880,in,NO,YES,0,1401,"",Sat Oct 03 00:38:05 +0000 2020
1312190196834693120,in,NO,YES,0,1401,"",Sat Oct 03 00:38:16 +0000 2020
1312190607192801280,in,NO,NO,0,0,"",Sat Oct 03 00:39:54 +0000 2020
1312190692484018176,in,NO,NO,0,0,"",Sat Oct 03 00:40:15 +0000 2020
