"","Month","Date","#OR","#RT","#Total","#Geo","MaxRt","MDRT","MaxLike","MDLike"
"1","01","2020_01_22_00",25,84,109,0,2402,74,31,0
"2","01","2020_01_22_01",35,72,107,0,2401,64,17,0
"3","01","2020_01_22_02",40,162,202,0,2401,87,170,0
"4","01","2020_01_22_03",73,224,297,0,2402,109,58,0
"5","01","2020_01_22_04",57,163,220,0,2401,29,34,0
"6","01","2020_01_22_05",62,150,212,0,18502,60,71,0
"7","01","2020_01_22_06",38,108,146,0,2402,34,520,0
"8","01","2020_01_22_07",33,101,134,0,2401,30.5,7,0
"9","01","2020_01_22_08",57,150,207,0,4253,17,10,0
"10","01","2020_01_22_09",110,482,592,0,56115,162,185,0
"11","01","2020_01_22_10",172,465,637,0,4253,35,813,0
"12","01","2020_01_22_11",200,769,969,1,18009,76,967,0
"13","01","2020_01_22_12",208,732,940,0,4254,38,385,0
"14","01","2020_01_22_13",289,1019,1308,1,4254,39.5,153,0
"15","01","2020_01_22_14",360,1098,1458,1,4256,29,740,0
"16","01","2020_01_22_15",397,1514,1911,1,4255,50,584,0
"17","01","2020_01_22_16",400,1507,1907,0,4254,47,2312,0
"18","01","2020_01_22_17",497,1319,1816,0,36439,25,121,0
"19","01","2020_01_22_18",848,2387,3235,1,36642,26,4603,0
"20","01","2020_01_22_19",1038,3381,4419,1,179739,45,2849,0
"21","01","2020_01_22_20",1068,3607,4675,1,70414,52,2653,0
"22","01","2020_01_22_21",847,2974,3821,0,36981,54,1229,0
"23","01","2020_01_22_22",891,2619,3510,0,179762,37,1585,0
"24","01","2020_01_22_23",826,2675,3501,2,37302,41,427,0
"25","01","2020_01_23_00",843,3011,3854,0,37500,55,1294,0
"26","01","2020_01_23_01",863,3034,3897,2,37676,66,457,0
"27","01","2020_01_23_02",841,2908,3749,0,37891,55,913,0
"28","01","2020_01_23_03",802,2874,3676,1,38083,44.5,552,0
"29","01","2020_01_23_04",766,2743,3509,1,38303,58,765,0
