"","LanguageLong","total","Percentage"
"1","English",600206969,68.1566947278443
"2","Spanish; Castilian",114731528,13.0283754328669
"3","Portuguese",34246141,3.8888315169558
"4","Bahasa",25853307,2.93578056222843
"5","French",20226645,2.29684315550404
"6","Other",17689514,2.00873843166244
"7","Japanese",9680949,1.09932326638618
"8","Italian",8222326,0.933688864140491
"9","German",7210165,0.818752597393429
"10","Hindi",7070762,0.80292264505053
"11","Turkish",6741813,0.765568735929176
"12","Thai",6167370,0.700337676958337
"13","Tagalog",4723899,0.536423864928781
"14","Catalan; Valencian",3552065,0.403355879492396
"15","Dutch; Flemish",3206382,0.364101735637886
"16","Arabic",1175667,0.13350324297984
"17","Tamil",972476,0.110429823853237
"18","Russian",923170,0.104830865220933
"19","Chinese",781902,0.0887891322053125
"20","Polish",742296,0.0842916601818062
"21","Korean",695105,0.0789328710523489
"22","Estonian",532463,0.0604640066164779
"23","Urdu",428764,0.0486884334365158
"24","Romanian; Moldavian; Moldovan",418658,0.0475408433675981
"25","Swedish",412959,0.0468936915960998
"26","Greek, Modern (1453-)",375691,0.0426617119119097
"27","Marathi",329250,0.0373880892728234
"28","Haitian; Haitian Creole",306939,0.03485455651727
"29","Czech",303020,0.0344095332162519
"30","Finnish",278834,0.0316630842347712
"31","Lithuanian",251202,0.0285253236188664
"32","Danish",232878,0.0264445359261247
"33","Telugu",192851,0.0218992571126902
"34","Ukrainian",161013,0.0182838828187854
"35","Persian",150470,0.0170866690748116
"36","Gujarati",148666,0.0168818152766395
"37","Slovenian",141567,0.0160756860564489
"38","Kannada",108955,0.0123724199444813
"39","Bengali",106268,0.0120672967983125
"40","Welsh",106160,0.0120550328236991
"41","Vietnamese",98637,0.0112007561476188
"42","Basque",95532,0.0108481668774833
"43","Nepali",94556,0.0107373368846806
"44","Norwegian",90320,0.0102563165470658
"45","Latvian",89520,0.0101654722906702
"46","Malayalam",83738,0.00950889542757079
"47","Oriya",71349,0.00810205856196408
"48","Hungarian",46594,0.00529099660312204
"49","Serbian",27073,0.00307428319174836
"50","Icelandic",22700,0.00257770577522579
"51","Panjabi; Punjabi",22590,0.00256521468997139
"52","Burmese",21133,0.00239976458801086
"53","Bulgarian",18841,0.0021394957934374
"54","Sinhala; Sinhalese",14675,0.0016664243282572
"55","Divehi; Dhivehi; Maldivian",5610,0.000637045347974302
"56","Pushto; Pashto",5283,0.000599912758172592
"57","Amharic",4539,0.000515427599724663
"58","Armenian",2757,0.000313072018603414
"59","Sindhi",2287,0.000259701017970986
"60","Georgian",1426,0.000161929887025197
"61","Central Khmer",918,0.000104243784213977
"62","Lao",575,6.52943092843536e-05
"63","Tibetan",185,2.10077342914877e-05
"64","Uighur; Uyghur",149,1.69197427536847e-05
