"","V3","total"
"1","#coronavirus",14864316
"2","#covid19",10568952
"3","#china",1116045
"4","#covid<u+30fc>19",947749
"5","#wuhan",671905
"6","#stayhome",649584
"7","#covid",644027
"8","#coronavirusoutbreak",266085
"9","#covid2019",196353
"10","#corona",177595
"11","#lockdown",143818
"12","#wuhancoronavirus",111940
"13","#togetherathome",85566
"14","#coronaoutbreak",76953
"15","#coronavirusupdate",53999
"16","#coronavir",51999
"17","#nomeatnocoronavirus",49524
"18","#stayathome",45871
"19","#coronaviruspandemic",34140
"20","#jantacurfew",27955
"21","#worldhealthday",25956
"22","#c",21423
"23","#coronavirusupdates",20902
"24","#hoax",20100
"25","#coronaravirus",19983
"26","#dontbeaspreader",19799
"27","#ncov",19058
"28","#nnevvy",18571
"29","#pakstandswithchina",15138
"30","#michaelbloomberg",15000
"31","#coronarvirus",13870
"32","#themoreyouknow",13309
"33","#coronaupdate",13028
"34","#breaking",12896
"35","#trump",12783
"36","#coronalockdown",12728
"37","#hydroxychloroquine",12162
"38","#covid19pandemic",11957
"39","#coronarivus",11648
"40","#hongkong",11409
"41","#iran",7784
"42","#coronarovirus",7610
"43","#wuhanpneumonia",7294
"44","#coronavirusitalia",7276
"45","#coronvirus",7154
"46","#coronapocalypse",6773
"47","#coronavirius",6691
"48","#italy",6037
"49","#coronaviruschina",5761
"50","#letsbeatcoronatogether",5691
"51","#liwenliang",5616
"52","#covid19italia",1141
