"","V1","V2","V3","total"
"1","01","22","#coronavirus",10054
"2","01","22","#wuhancoronavirus",3045
"3","01","22","#wuhan",2131
"4","01","22","#breaking",1464
"5","01","22","#wuhanpneumonia",1415
"6","01","23","#coronavirus",31529
"7","01","23","#wuhan",20628
"8","01","23","#wuhancoronavirus",13183
"9","01","23","#china",11942
"10","01","23","#wuhanpneumonia",5879
"11","01","24","#coronavirus",136031
"12","01","24","#wuhan",45323
"13","01","24","#china",17981
"14","01","24","#wuhancoronavirus",17558
"15","01","24","#coronavirusoutbreak",15592
"16","01","25","#coronavirus",182103
"17","01","25","#wuhan",56333
"18","01","25","#china",27812
"19","01","25","#wuhancoronavirus",18815
"20","01","25","#coronavirusoutbreak",17599
"21","01","26","#coronavirus",241317
"22","01","26","#wuhan",56695
"23","01","26","#coronavir",39021
"24","01","26","#coronaoutbreak",32049
"25","01","26","#china",31485
"26","01","27","#coronavirus",151572
"27","01","27","#wuhan",31008
"28","01","27","#china",18611
"29","01","27","#coronavir",12978
"30","01","27","#wuhancoronavirus",12844
"31","01","28","#coronavirus",176337
"32","01","28","#wuhan",28687
"33","01","28","#china",22168
"34","01","28","#hongkong",11409
"35","01","28","#wuhancoronavirus",10080
"36","01","29","#coronavirus",214454
"37","01","29","#china",40151
"38","01","29","#wuhan",29438
"39","01","29","#coronaravirus",19983
"40","01","29","#breaking",11432
"41","01","30","#coronavirus",272329
"42","01","30","#china",54262
"43","01","30","#wuhan",20427
"44","01","30","#ncov",19058
"45","01","30","#coronavirusoutbreak",18242
"46","01","31","#coronavirus",266925
"47","01","31","#china",48347
"48","01","31","#coronavirusoutbreak",30154
"49","01","31","#wuhan",20391
"50","01","31","#coronarvirus",13870
"51","02","01","#coronavirus",93107
"52","02","01","#china",20496
"53","02","01","#wuhan",19760
"54","02","01","#coronarovirus",7610
"55","02","01","#letsbeatcoronatogether",5691
"56","02","02","#coronavirus",106653
"57","02","02","#nomeatnocoronavirus",44921
"58","02","02","#wuhan",23010
"59","02","02","#china",22257
"60","02","02","#coronarivus",11648
"61","02","03","#coronavirus",121382
"62","02","03","#china",24562
"63","02","03","#wuhan",17748
"64","02","03","#coronavirusoutbreak",6532
"65","02","03","#nomeatnocoronavirus",4603
"66","02","04","#coronavirus",138680
"67","02","04","#china",30050
"68","02","04","#wuhan",21922
"69","02","04","#coronavirusoutbreak",10483
"70","02","04","#wuhancoronavirus",6589
"71","02","05","#coronavirus",121671
"72","02","05","#china",25803
"73","02","05","#wuhan",18240
"74","02","05","#coronavirusoutbreak",6980
"75","02","05","#coronaviruschina",5761
"76","02","06","#coronavirus",119460
"77","02","06","#china",26490
"78","02","06","#wuhan",21092
"79","02","06","#coronavirusoutbreak",6147
"80","02","06","#wuhancoronavirus",5736
"81","02","07","#coronavirus",110231
"82","02","07","#china",23384
"83","02","07","#wuhan",19557
"84","02","07","#coronavirusoutbreak",5714
"85","02","07","#liwenliang",5616
"86","02","08","#coronavirus",108560
"87","02","08","#china",25868
"88","02","08","#wuhan",18919
"89","02","08","#coronavirusoutbreak",6333
"90","02","08","#wuhancoronavirus",4534
"91","02","09","#coronavirus",115724
"92","02","09","#china",28354
"93","02","09","#wuhan",22999
"94","02","09","#pakstandswithchina",15138
"95","02","09","#themoreyouknow",13309
"96","02","10","#coronavirus",142637
"97","02","10","#china",29867
"98","02","10","#wuhan",21628
"99","02","10","#wuhancoronavirus",9699
"100","02","10","#coronavirusoutbreak",6315
"101","02","11","#coronavirus",136337
"102","02","11","#china",29351
"103","02","11","#wuhan",17814
"104","02","11","#covid19",10759
"105","02","11","#wuhancoronavirus",9857
"106","02","12","#coronavirus",122120
"107","02","12","#covid19",28304
"108","02","12","#china",24641
"109","02","12","#wuhan",13304
"110","02","12","#coronavirusoutbreak",7624
"111","02","13","#coronavirus",133952
"112","02","13","#covid19",35051
"113","02","13","#china",30091
"114","02","13","#wuhan",15110
"115","02","13","#coronavirusoutbreak",10636
"116","02","14","#coronavirus",115341
"117","02","14","#covid19",32006
"118","02","14","#china",31027
"119","02","14","#wuhan",14227
"120","02","14","#coronavirusoutbreak",9615
"121","02","15","#coronavirus",100515
"122","02","15","#covid19",40746
"123","02","15","#china",26685
"124","02","15","#wuhan",15080
"125","02","15","#coronavirusoutbreak",8387
"126","02","16","#coronavirus",92996
"127","02","16","#covid19",31723
"128","02","16","#china",22658
"129","02","16","#wuhan",13379
"130","02","16","#coronavirusoutbreak",11320
"131","02","17","#coronavirus",99956
"132","02","17","#covid19",34783
"133","02","17","#china",26868
"134","02","17","#wuhan",12554
"135","02","17","#coronavirusoutbreak",9082
"136","02","18","#coronavirus",102768
"137","02","18","#covid19",39134
"138","02","18","#china",28557
"139","02","18","#wuhan",13011
"140","02","18","#coronavirusoutbreak",5907
"141","02","19","#coronavirus",75495
"142","02","19","#covid19",30523
"143","02","19","#china",25846
"144","02","19","#wuhan",9218
"145","02","19","#coronavirusoutbreak",5126
"146","02","20","#coronavirus",87398
"147","02","20","#covid19",40317
