"","V1","V3","total"
"1","01","#coronavirus",1682651
"2","01","#wuhan",311061
"3","01","#china",272759
"4","01","#coronavirusoutbreak",81587
"5","01","#wuhancoronavirus",75525
"6","02","#coronavirus",3725382
"7","02","#covid19",680902
"8","02","#china",640933
"9","02","#wuhan",360844
"10","02","#coronavirusoutbreak",154486
"11","03","#coronavirus",4905626
"12","03","#covid19",3702412
"13","03","#covid<u+30fc>19",569439
"14","03","#corona",150423
"15","03","#covid2019",122756
"16","04","#covid19",6185638
"17","04","#coronavirus",4550657
"18","04","#stayhome",591431
"19","04","#covid",526357
"20","04","#covid<u+30fc>19",322735
