Tweet_ID,Hastag
1328447614308651008,#COVID19
1328447614308651008,#BersatuLawanCovid19
1328447614308651008,#dirumahaja
1328447614308651008,#JagaJa
1328454983906250752,#KamiBersamaJKT48
1328454983906250752,#SemangatJKT48
1328454983906250752,#StayStrongJKT48
1328454983906250752,#KeepStrongJKT48
1328444222320492544,#Rona
1328444222320492544,#Rona
1328445254769336320,#RONA
1328456551066071047,#stayathome
1328456551066071047,#politeknik
1328456551066071047,#subuh
1328456551066071047,#Alhamdulillah
1328456551066071047,#pkpb
1328456551066071047,#KitaJagaKita
1328442718822002690,#peace
1328442718822002690,#love
1328442718822002690,#Blessings
1328442718822002690,#StayAtH
1328442719442616321,#COVID19
1328442719501389825,#AvcNoticias
1328442719501389825,#Moderna
1328442719501389825,#vacuna
1328442719501389825,#Covid
1328442719501389825,#EstáEnAvc
1328442719514075140,#WeeklyAsado
1328442719514075140,#Peru
1328442719589572609,#COVID19
1328442720721928192,#LetsGoPeay
1328442721065967622,#cdnpoli
1328442721065967622,#abpoli
1328442721128820736,#LiveFromInside
1328442721204363266,#Ferozidades
1328442721204363266,#Caricatura
1328442721204363266,#FelizLunes
1328442721204363266,#Lluvias
1328442721204363266,#SOS
1328442721204363266,#COVID19
1328442721204363266,#CaricaturaDelDía
1328442721212755976,#lockdown
1328442721212755976,#StartUp
1328442721233563648,#COVID19
1328442721267277824,#PellGrant
1328442721267277824,#Thankful4Pell
1328442721292361728,#Miranda
1328442721342779393,#SiNosCuidamosAvanzamos
1328442721455902721,#COVID19
1328442721455902721,#LlévaloPuesto
1328442721455902721,#ProtégeteYProtegeALosDemás
1328442721543983104,#Video
1328442721543983104,#COVID19
1328442721682423809,#Jalisco
1328442721682423809,#Covid19
1328442721715974144,#EnPueblaSíPodemos
1328442721715974144,#PactoComunitario
1328442721715974144,#UsaCubrebocas
1328442721812447234,#Nacional
1328442721988603904,#Salud
1328442721988603904,#COVID19
1328442721988603904,#Zacatecas
1328442721988603904,#ParaParlé
1328442722030473216,#covid19
1328442722030473216,#rickscott
1328442724991725568,#CostaRica
1328442724991725568,#COVID19
1328442725193166856,#ICYMI
1328442725193166856,#SaudiArabia
1328442725193166856,#COVID19
1328442725193166856,#Germany
1328442725193166856,#G20RiyadhSummit
1328442725193166856,#G20
1328442725306396672,#UnderlyingHealthIssue
1328442725360922624,#Opinión
1328442725511860226,#Scarborough
1328442725511860226,#SelfIsolation
1328442725662928902,#Francia
1328442725834735616,#COVID19
1328442725843095552,#Seattle
1328442725885222924,#PorSiNoLoViste
1328442725914603521,#Ayudas
1328442725943844864,#HousingHub
1328442725943844864,#Holidays
1328442725943844864,#holidayseason
1328442725943844864,#christmas
1328442725943844864,#COVID19
1328442725960564737,#DIFChiapasdeCorazón
1328442725960564737,#ChiapasEsMásFuerte
1328442725960564737,#COVID19
1328442726053011456,#COVID
1328442726073864192,#Radioanálisis
1328442730142380038,#automation
1328442730142380038,#COVID19
1328442730301820935,#Corona
1328442730301820935,#FCMemmingen
1328442730301820935,#FCM
1328442730318614528,#COVID19
1328442731455197185,#WearAMask
1328442731455197185,#HorizonEmployee
1328442733753753600,#Wea
1328442734089220097,#puls24
1328442734089220097,#puls4
1328442734210920456,#labandaafricana
1328442734210920456,#conjuntobarbacoa
1328442734378704896,#Deutschland
1328442734378704896,#Corona
1328442734378704896,#Monday
1328442734378704896,#Coronavirus
1328442734470950917,#relationships
1328442734470950917,#covidpandemic
1328442734609264640,#Nenshi
1328442734609264640,#YYC
1328442734609264640,#YYCCC
1328442734609264640,#Trudeau
1328442734609264640,#COVID19
1328442734609264640,#c
1328442734663888896,#becautious
1328442738950410249,#FoxNews
1328442738950410249,#Covid19
1328442738979778560,#Covid19
1328442738979778560,#Covid
1328442738979778560,#COVID19gr
1328442738979778560,#covid19GR
1328442739155996674,#TrumpVirus
1328442739919351810,#RepúblicaInmobiliaria
1328442742679040000,#AusPol
1328442743752962050,#ATENCIÓN
1328442743752962050,#covid19
1328442746382798850,#Kanzlerkandidaten
1328442746382798850,#Union
1328442746638659591,#LuisSuárez
1328442746638659591,#klinewscom
1328442746965794817,#WarOnThanksgiving
1328442747313823744,#IAEM2020
1328442747615805442,#GOPTraitors
1328442747615805442,#GOPCowards
1328442747615805442,#Trump
1328442747615805442,#GOPBetrayedAm
1328442750765764615,#MaskGate
1328442750765764615,#mask
1328442750765764615,#WearAMaskSaveALife
1328442750765764615,#WearAMask
1328442750820380672,#Berliner
1328442750820380672,#corona
1328442751105568768,#LuisSuárez
1328442751105568768,#Brasil
1328442752112193542,#covid
1328442752384831488,#COVID19
1328442755048239104,#Marketing
1328442755048239104,#Pandemic
1328442755207585793,#UgurSahin
1328442755207585793,#COVID19
1328442755262140418,#CFOs
1328442755262140418,#Finance
1328442755262140418,#finserv
1328442755568308225,#Saarland
1328442755568308225,#Corona
1328442755568308225,#Merkel
1328442755782234112,#OrganizeToWin
1328442755991867393,#Eunhas
1328442756226813952,#COVID19de
1328442756331663361,#animalrights
1328442756331663361,#endspeciesism
1328442756331663361,#endcarnism
1328442756331663361,#COVID19
1328442756331663361,#vegan
1328442756331663361,#veganaf
1328442758638542849,#COVID19
1328442759565496320,#COVID19
1328442759787782148,#ICYMI
1328442759787782148,#SaudiArabia
1328442759787782148,#COVID19
1328442759951360003,#financial
1328442759951360003,#banking
1328442759951360003,#data
1328442759951360003,#security
1328442760051953665,#FireFauci
1328442760098144258,#EnVideo
1328442763235364864,#charcuterieboard
1328442763235364864,#shitshow
1328442763235364864,#quarantine
1328442763235364864,#groundhogsday
1328442763235364864,#Corona
1328442763235364864,#freeze
1328442763235364864,#OpenAmerica
1328442763264761858,#CV19ELIMINATE
1328442763264761858,#StayHome
1328442763264761858,#StaySafe
1328442763264761858,#LindaMarieSongs
1328442763449413632,#OurCounty
1328442763449413632,#COVID19
1328442763667451910,#COVID19
1328442764158259201,#dialoguesocial
1328442764158259201,#syndicat
1328442764229550080,#covid19
1328442764460175363,#Covid19
1328442764804173824,#WarOnThanksgiving
1328442764942475264,#Publichealth
1328442767375282177,#Covid19
1328442767391952896,#lifesciences
1328442767391952896,#COVID19
1328442768017022982,#TrumpsRealLegacy
1328442768902000640,#OANN
1328442773868060677,#speranzaDimettiti
1328442774606270466,#CálicoElectrónico
1328442774606270466,#COVID19
1328442774606270466,#Humor
1328442777009614852,#COVID19
1328442777420566530,#CORONAVIRUS
1328442777420566530,#Marbella
1328442777504518146,#lockdowngr
1328442777504518146,#lockdo
1328442777542287360,#wuhan
1328442777542287360,#hypothèse
1328442777542287360,#laboratoireP4
1328442777542287360,#leparisien
1328442780373442561,#NepotismBarbie
1328442780499185665,#EnVenezuela
1328442782202036224,#Covid19
1328442782202036224,#automotive
1328442784123117570,#Covid
1328442784357953538,#SavorWe
1328442784357953538,#Friendsgiving
1328442784357953538,#downloadtheapp
1328442784357953538,#booknow
1328442784357953538,#Thanksgiving
1328442784357953538,#stayhome
1328442784357953538,#chicago
1328442784357953538,#foodies
1328442784357953538,#holidays
1328442784357953538,#chicagofood
1328442784357953538,#privatecheflife
1328442784357953538,#cheflife
1328442784357953538,#app
1328442784869740544,#TrumpsRealLegacy
1328442784974471168,#TrumpVirus
1328442785628884995,#Please
1328442785628884995,#apeals
1328442785628884995,#legal
1328442785628884995,#Iraqi
1328442785628884995,#Refugees
1328442786123821059,#Deportes
1328442786123821059,#AtléticoDeMadrid
1328442786484527109,#HoyEnNIUS
1328442786530664449,#COVID19
1328442786530664449,#pandemic
1328442789789638657,#TrinidadandTobago
1328442789789638657,#pri
1328442790062284805,#COVID19
1328442792645898241,#giveaways
1328442792826191872,#COVID19
1328442792826191872,#cdnpoli
1328442793337950208,#Coronavirus
1328442793337950208,#COVID19
1328442793753272320,#NewThanksgivingTraditi
1328442793912635398,#COVID19
1328442794076217344,#Michigans
1328442796731150338,#Murchante
1328442797414879237,#WhiteHouseKaren
1328442797515448320,#TrumpEconomics
1328442797880455168,#Handsfacespace
1328442798165659654,#EnVenezuela
1328442798794747906,#ConteDimettiti
1328442800506073090,#women
1328442800506073090,#dating
1328442800506073090,#DomesticViolence
1328442800506073090,#pandemic
1328442800506073090,#GiveMiamiDay
1328442800787103745,#COVID19
1328442800787103745,#maternalchildhealth
1328442801386827795,#podcast
1328442801386827795,#Ohio
1328442801462370309,#Deutschland
1328442801462370309,#Corona
1328442801592393728,#EnVivo
1328442801693073414,#Thanksgiving
1328442801735028742,#PARASABER
1328442801735028742,#imitadores
1328442801735028742,#JuanGabriel
1328442801735028742,#COVID
1328442801735028742,#Farándula
1328442801932132352,#AllHailCouchPotatoes
1328442802418626560,#COVID19
1328442802418626560,#mentalhealth
1328442802590638081,#crisi
1328442802590638081,#PlayStation5
1328442802590638081,#PlayStation
1328442802670350347,#COVID19
1328442802670350347,#ThinkDigitalHealth
1328442802758426634,#NACIONAL
1328442805086281729,#COVID19
1328442805086281729,#headshot
1328442805132423168,#Corona
1328442805132423168,#dem
1328442805631528960,#theArtBagLady
1328442805631528960,#MitchikoMalandro
1328442805631528960,#watercolor
1328442805631528960,#watercolour
1328442805631528960,#Acrylic
1328442805631528960,#blackart
1328442805631528960,#arttwitter
1328442805631528960,#blackgi
1328442805862211585,#Deutschland
1328442805862211585,#Corona
1328442806088724480,#DuckworthHour
1328442806088724480,#WorcestershireHour
1328442806457823232,#sharktron
1328442806457823232,#sharktron
1328442806457823232,#sharkdefi
1328442806457823232,#sharkdefi
1328442806457823232,#danieltron
1328442806457823232,#scam
1328442806457823232,#covid19
1328442806457823232,#tron
1328442806457823232,#trx
1328442806457823232,#justinsun
1328442806457823232,#justinsun
1328442806457823232,#helpus
1328442806457823232,#sunpool
1328442806667538434,#covid19
1328442807216971777,#COVID19
1328442809611784197,#CovidVaccine
1328442810278809602,#lockdowngr
1328442810278809602,#lockdow
1328442811222552580,#AFC
1328442813458079748,#Crows
1328442813458079748,#Lockdown2
1328442813458079748,#COYC
1328442813458079748,#NonLeague
1328442813521031169,#blocchi
1328442813521031169,#traffico
1328442813521031169,#diesel
1328442813521031169,#Piemonte
1328442813521031169,#telecitynews24
1328442813625872395,#covid19
1328442813957062656,#COVID19
1328442813982388225,#masksRcool
1328442814737289219,#Coruña
1328442815794335750,#PresidentElectBiden
1328442815794335750,#COVID19
1328442815794335750,#StimulusBill
1328442815815282697,#cancelled
1328442815957901314,#ELTnews
1328442815962079234,#music
1328442815962079234,#lockdown
1328442818403119109,#sad
1328442818403119109,#bier
1328442818604400641,#ElderCare
1328442818604400641,#thePandemic
1328442818604400641,#PACEModel
1328442818604400641,#AgingCare
1328442818604400641,#StayingConnected
1328442818604400641,#HealthyAtHome
1328442818734460928,#VoteForOssoffAndWarnock
1328442819523076097,#COVID19
1328442822110941184,#Covid19
1328442822228385795,#BusinessSolves
1328442823193075713,#Canadians
1328442823193075713,#cdnpoli
1328442823193075713,#polcan
1328442823193075713,#greatreset
1328442823193075713,#Agenda2030
1328442823352455171,#FightBack
1328442826540032000,#lockdown
1328442828222029835,#COVID19
1328442828234641410,#Pandemie
1328442830302244865,#covid19
1328442831564918784,#OurCountys
1328442831564918784,#COVID19
1328442831757840386,#TrumpVirus
1328442832185663489,#Wea
1328442832215040000,#COVID19france
1328442834492526603,#TükendikIşıkYak
1328442834492526603,#Covid19MeslekHastalığıKabulEdilsin
1328442834492526603,#tükeniyoruz
1328442835163639808,#Wea
1328442835180400641,#StayHome
1328442835180400641,#WearAMask
1328442835515936771,#WaldstattAsphalt
1328442835515936771,#Klima
1328442835662725120,#COVID19
1328442835662725120,#COVID19Aftershocks
1328442835985698818,#WorldAntimicrobialAwarenessWeek
1328442836690350080,#coronavirus
1328442838607163392,#Lockdown
1328442838732955651,#COVID19
1328442839227899907,#onpoli
1328442839227899907,#FordFailedThePeople
1328442839227899907,#nomore
1328442839257190404,#OurCountys
1328442839257190404,#COVID19
1328442839282249728,#Wea
1328442839995478017,#INTERNACIONAL
1328442840268099584,#YoApoyoElAporteSolidario
1328442840284860417,#todoporlaradio
1328442840578465800,#Hungary
1328442840578465800,#Poland
1328442842583347201,#innovation
1328442842583347201,#healthcare
1328442842583347201,#transformationalchange
1328442842583347201,#leadership
1328442843015352323,#COVID19
1328442843019567107,#lockdown
1328442843019567107,#GMB
1328442843862536193,#covid19
1328442844688883712,#Can
1328442847192895488,#COVID19
1328442847549288448,#onpoli
1328442847549288448,#FordFailedThePeople
1328442847549288448,#nomore
1328442847826210823,#cybercrime
1328442847826210823,#CyberWarfare
1328442847826210823,#Russia
1328442847826210823,#COVID
1328442849067737088,#Trump
1328442852771307524,#kristinoem
1328442852771307524,#southdakota
1328442853589180420,#pnpcbc
1328442853589180420,#cdnpoli
1328442854461542400,#NFOW2020
1328442857418608642,#Wea
1328442857473060868,#coronavirus
1328442857712136195,#COVID19
1328442859670937600,#COVID19
1328442860186767360,#COVID19
1328442860849553410,#ClothesDontHaveGenderAndEvenIfTheyDidWhoGivesAFuck
1328442861117911041,#CoronaMaßnahmen
1328442861117911041,#Berlin
1328442861117911041,#Rechtsextremismus
1328442861621288966,#FamilyEngagement
1328442861810016256,#COVID19
1328442861810016256,#MunicipisRandom
1328442861810016256,#Catalunya
1328442862107758594,#COVID19
1328442862225207299,#Wea
1328442863600939008,#COVID19
1328442863919591424,#GladysBerejiklian
1328442864032997382,#FYI
1328442864032997382,#COVID19stressed
1328442864158846983,#Covid19
1328442864552951808,#GOPTraitors
1328442864552951808,#GOPCowards
1328442864552951808,#Trump
1328442864552951808,#GOPBetrayedAm
1328442864762810370,#BreakingNews
1328442864762810370,#Cruising
1328442865874251783,#AlcoholAwarenessWeek
1328442865874251783,#AlcoholShorts
1328442865874251783,#al
1328442866218246144,#yxevotes
1328442868273459206,#TeAvise
1328442868298436609,#techison
1328442868298436609,#technews
1328442868298436609,#technology
1328442868298436609,#howto
1328442868298436609,#geek
1328442868583829504,#VenezuelaBrillaLaPaz
1328442868646686724,#Kracken
1328442868646686724,#TrumpToSaveAmerica
1328442869934329857,#TheGreatReset
1328442873616982017,#COVID19
1328442873776402432,#Covid
1328442874044747776,#fuck2020
1328442874044747776,#covid19
1328442874443292672,#GOPDeathCult
1328442876469018624,#animalrights
1328442876469018624,#endspeciesism
1328442876469018624,#endcarnism
1328442876469018624,#COVID19
1328442876469018624,#vegan
1328442876469018624,#veganaf
1328442876632715268,#ACH
1328442876632715268,#fraud
1328442877479972868,#operationwarpspeed
1328442878360772610,#Antofagasta
1328442878360772610,#Covid19
1328442878360772610,#CovidNuestraGuerra
1328442878360772610,#chile
1328442880638267392,#COVID19
1328442880730558467,#Covid
1328442880730558467,#Minnesota
1328442880944340993,#AntibioticAwarenessWeek
1328442880944340993,#AntibioticResistance
1328442880944340993,#WAAW
1328442881384833024,#UltimoMomento
1328442882349383680,#juries
1328442882349383680,#COVID19
1328442882676572161,#COVID19
1328442885365088257,#elderlaw
1328442885365088257,#lawyer
1328442885365088257,#denver
1328442885939851264,#HandOfTheQueen
1328442885939851264,#UNagenda2030
1328442885939851264,#TheGreatReset
1328442886023749632,#Pandemie
1328442886610952193,#JUGONES
1328442888955580416,#MenaTv
1328442889244991488,#Covid19
1328442890461147136,#Wea
1328442893304885248,#Falkenstein
1328442893304885248,#JamesBrown
1328442893304885248,#musician
1328442893304885248,#stories
1328442893628006403,#floor
1328442893628006403,#training
1328442893628006403,#COVID19
1328442893628006403,#floorcare
1328442893628006403,#clean
1328442893628006403,#maintain
1328442893628006403,#jansan
1328442893628006403,#ISSA
1328442894844301312,#Söder
1328442894966005763,#FordFaile
1328442897188970498,#COVID19
1328442897188970498,#COVID19
1328442899047063553,#PCRTestPandemic
1328442899047063553,#PCRTEST
1328442899047063553,#PCR
1328442899047063553,#COVID19
1328442899281883136,#animalrights
1328442899281883136,#endspeciesism
1328442899281883136,#endcarnism
1328442899281883136,#COVID19
1328442899281883136,#vegan
1328442899281883136,#veganaf
1328442899743195136,#COVID19
1328442899982286849,#Wea
1328442901454606342,#Stimuluschecks
1328442901714579458,#cdnpoli
1328442901714579458,#abpoli
1328442901869731840,#COVID19
1328442902356353026,#GrifterBarbie
1328442902436081669,#ClothesDontHaveGenderAndEvenIfTheyDidWhoGivesAFuck
1328442903010570240,#TrumpVirus
1328442903010570240,#GOP
1328442903090302979,#Wea
1328442903237160962,#COVID19
1328442904197570561,#PCRTestPandemic
1328442904197570561,#PCRTEST
1328442904197570561,#PCR
1328442904197570561,#COVID19
1328442905883783178,#ConsejoCOVID19
1328442905883783178,#OcoyoacacSePreocupaPorTi
1328442906642964483,#COVID19
1328442907850911745,#homéopathie
1328442907850911745,#Covid
1328442907922210816,#GenerationEquality
1328442908811268097,#COVID19
1328442909956341760,#ableg
1328442909956341760,#abpoli
1328442909956341760,#COVIDAB
1328442910954713091,#onpoli
1328442910954713091,#FordFailedThePeople
1328442910954713091,#nomore
1328442911000829954,#VitaminD
1328442911386718209,#COVID
1328442911617380355,#ParentingTips
1328442911617380355,#COVID19
1328442911617380355,#bekindtoyourself
1328442911617380355,#SafetyFirst
1328442912024260610,#Antofagasta
1328442914956079106,#Spotify
1328442914956079106,#COVID19
1328442914956079106,#COVID19sverige
1328442914956079106,#dolar
1328442914956079106,#musicpromotion
1328442914956079106,#ybvirtualtour
1328442914956079106,#pretoria
1328442914956079106,#CripplesAreWalking
1328442914956079106,#vaccine
1328442914956079106,#asksunainaa
1328442914989543425,#Intro1116
1328442915568443395,#covid19
1328442915731988480,#OperationWarpSpeed
1328442915731988480,#COVID19
1328442916839165952,#HealthAndSafety
1328442916839165952,#COVID19
1328442916839165952,#Coronavirus
1328442916839165952,#ScienceMatters
1328442916843511808,#WakeUpLameDuckDonald
1328442918949019653,#TreasonIsPunishableByDeath
1328442919028543489,#FUTA
1328442919028543489,#MondayThoughts
1328442919028543489,#COVID19
1328442919028543489,#coronavirus
1328442919028543489,#Educati
1328442919167139841,#Cuba
1328442920295337987,#COVID19
1328442920693760000,#PassItOn
1328442922807795720,#TrumpVirus
1328442923587801088,#Covid19
1328442924636516353,#JoeBiden
1328442924636516353,#BidenHarris
1328442925295030277,#Blunting
1328442925295030277,#Covid19Verschwörungsmythen
1328442925299216384,#COVID19
1328442925299216384,#COVID19
1328442925370503169,#Resisters
1328442925794140160,#peace
1328442925794140160,#love
1328442925794140160,#Blessings
1328442925794140160,#StayAtHome⁠
1328442926926585856,#intled
1328442927065014274,#COVID19
1328442927203303424,#babyshower
1328442927203303424,#parodysong
1328442927203303424,#duets
1328442927203303424,#giftideas
1328442927484338177,#Freedom2020
1328442927710867458,#MuseumWorldRanking
1328442927710867458,#Museums2020
1328442927710867458,#Museum30
1328442927710867458,#museum
1328442927710867458,#MuseumFromHome
1328442928218292225,#COVID19
1328442928558002176,#COVID19
1328442931922014211,#COVID19
1328442932492460034,#Covid19
1328442932530208771,#COVID19
1328442932807016450,#SaferAtHome
1328442933368983562,#Covid
1328442933368983562,#vaccins
1328442936175058950,#StayHome🏠
