"","V4","total"
"1","#covid19",84666626
"2","#coronavirus",38683459
"3","#covid",9186016
"4","#covid<u+30fc>19",2252353
"5","#lockdown",1619731
"6","#stayhome",1313231
"7","#china",1160193
"8","#corona",972277
"9","#wuhan",671905
"10","#covid„Éº19",605764
"11","#wearamask",578205
"12","#modijipostponejeeneet",394921
"13","#swamyjihelpjeeneet",358124
"14","#endsars",349939
"15","#satyagrahagainstexamsincovid",319539
"16","#coronavirusoutbreak",266085
"17","#protestagainstexamsincovid",262955
"18","#indiaunitedtopostponejeeneet",213333
"19","#postponeneetandjee",207212
"20","#trumpknew",198243
"21","#covid2019",196353
"22","#bts",157355
"23","#postponejeeandneet",153978
"24","#trump",146851
"25","#hydroxychloroquine",144827
"26","#wuhancoronavirus",128167
"27","#speakupforsscrailwaysstudends",125575
"28","#stopprivatisationsavegovtjob",124066
"29","#speakupforstudentsafety",106753
"30","#surakshabeforepariksha",102441
"31","#postponejeeneetsept",99232
"32","#trumpvirus",98434
"33","#stayathome",98153
"34","#ntapostponejeeneet",93751
"35","#rgpvspreadingcoronavirus",92426
"36","#trumphascovid",91625
"37","#vaccine",91186
"38","#antistudentmodigovt",90243
"39","#ripsubhasrisave30lakh",88194
"40","#togetherathome",85566
"41","#coronaoutbreak",76953
"42","#savejeeneetstudentspm",76121
"43","#neetjee",75354
"44","#postponeexamsorresignmodi",75133
"45","#envenezuelanoscuidamos",73334
"46","#sopcantsavejeeneet",72604
"47","#parentsdemandpostponeneet",71834
"48","#largestvaccinedrive",71659
"49","#safehands",69751
"50","#pawankalyanbirthdaycdp",62844
"51","#breaking",61271
"52","#pltpinkmonday",60470
"53","#modijihelpjeeneet",58748
"54","#unga",58485
"55","#scpostponejeeneet",56529
"56","#coronavirusupdate",53999
"57","#coronavir",51999
"58","#anonymous",51722
"59","#cu√≠datedelcovid19",50665
"60","#mannkinahistudentskibaat",50453
"61","#nomeatnocoronavirus",49524
"62","#flexibilizaci√≥nsegura",48793
"63","#musicbank",48515
"64","#swamyjihelpneetjeeaspirants",47422
"65","#antistudentnarendramodi",46930
"66","#executiveorder",46617
"67","#postponejeeneetincovid",46348
"68","#debates2020",46226
"69","#cuarentenaconsciente",46208
"70","#exigimosinsumosdecalidad",45934
"71","#juntoscontraelcovid19",45517
"72","#postponejeeneet",45371
"73","#donarplasmasalvavidas",44638
"74","#chimalhuac·nbajacontagios",44265
"75","#examsincovidasuicide",44071
"76","#disciplinacolectiva",43908
"77","#polriajakpatuhiprokes",43802
"78","#endswat",43731
"79","#polridonorplasma",42955
"80","#patanjali",42334
"81","#tetapdisiplin5m",42144
"82","#vpdebate",42126
"83","#worldaidsday",41924
"84","#mausehatpakaimasker",41771
"85","#speakupforstudents",41626
"86","#vacunasparalospueblos",41338
"87","#ayodukungppkm",41224
"88","#batallaporlasaludylavida",41020
"89","#speakupforsscraliwaystudents",40614
"90","#blametrump",39818
"91","#disiplinpatuhiprokes",39715
"92","#coronil",39554
"93","#graciasrusia",39227
"94","#studentslivesmatter",39088
"95","#blacklivesmatter",38977
"96","#jagakesehatanjaga3m",38774
"97","#macron20h",37958
"98","#safewithtwitter",37799
"99","#indiaunitedtopostponeneetjee",35915
"100","#polrisukseskan3m",35789
"101","#preveniresvencer",35288
"102","#masks",35194
"103","#preveniressalud",35024
"104","#cuarentenaradicaldisciplinada",35018
"105","#sukseskan3mbersamapolri",35016
"106","#responsabilidadydisciplina",34851
"107","#nationalunemploymentday",34812
"108","#superbowl",34612
"109","#coronaviruspandemic",34140
"110","#sputnikvenvenezuela",34083
"111","#bienestarparaelpueblo",34063
"112","#combatealcovid19",33407
"113","#truebloodpump",33378
"114","#veto",33118
"115","#sleepingbeauty",33074
"116","#worldmentalhealthday",32412
"117","#anjuntoalpueblo",32335
"118","#covidiot",32260
"119","#venezuelaprotegida",31876
"120","#pakaimaskerjagajarak",31398
"121","#baktipolriuntuknegeri",31019
"122","#postponeneetjee",30904
"123","#howwegothere",30670
"124","#studentsdislikepmmodi",29588
"125","#ebola",29569
"126","#mÈdicosenpeligro",29440
"127","#jeefailedpostponeneet",29402
"128","#disciplinaanteelcovid19",29281
"129","#lockdown2",29257
"130","#canceltsexamspromotestudents",29178
"131","#cancelapexamspromotestudents",28963
"132","#polriberbagikasih",28866
"133","#ourenhypen",28411
"134","#neet",28319
"135","#internationalwomensday",28239
"136","#jantacurfew",27955
"137","#rrbexamdates",27891
"138","#jeemain",27799
"139","#partisipasicegahcovid19",27687
"140","#protectenhypen",27248
"141","#carvativirparavivir",27075
"142","#givingtuesday",26890
"143","#endpolicebrutalityinnigeranow",26827
"144","#noexammhrd",26818
"145","#speakup",26274
"146","#polriajakjagajarak",26086
"147","#worldhealthday",25956
"148","#delaymdcat2020",25929
"149","#kiitkissfightscovid19",25710
"150","#hidupsehatterapkan3m",25612
"151","#hrdpostponejeeneet",25506
"152","#dukungsehatkanbangsa",25210
"153","#demconvention",24899
"154","#wea",24650
"155","#ganemoslabatallaalcovid19",24609
"156","#noexamsincovid",24565
"157","#postponeacf",24220
"158","#macron",24108
"159","#lasaludesprimero",24095
"160","#siagalawancovid19",24043
"161","#vacunaesperanzayvida",23941
"162","#dirumahajalebihbaik",23498
"163","#vamosvenciendoalcovid19",23428
"164","#unidosporlasalud",23328
"165","#iamagainstexamsincovid",23215
"166","#polriserukancucitangan",22944
"167","#vaksinasimelawanpandemi",22816
"168","#corruptkelly",22791
"169","#pleasepostponejeeneet",22559
"170","#mcconnellkillssickleave",22466
"171","#protecciÛnysaludenmarcha",22421
"172","#doctorsday",22061
