"","V1","V2","V3","V4","total"
"1","2020",1,"22","#coronavirus",10054
"2","2020",1,"22","#wuhancoronavirus",3045
"3","2020",1,"22","#wuhan",2131
"4","2020",1,"22","#breaking",1464
"5","2020",1,"22","#wuhanpneumonia",1415
"6","2020",1,"23","#coronavirus",31529
"7","2020",1,"23","#wuhan",20628
"8","2020",1,"23","#wuhancoronavirus",13183
"9","2020",1,"23","#china",11942
"10","2020",1,"23","#wuhanpneumonia",5879
"11","2020",1,"24","#coronavirus",136031
"12","2020",1,"24","#wuhan",45323
"13","2020",1,"24","#china",17981
"14","2020",1,"24","#wuhancoronavirus",17558
"15","2020",1,"24","#coronavirusoutbreak",15592
"16","2020",1,"25","#coronavirus",182103
"17","2020",1,"25","#wuhan",56333
"18","2020",1,"25","#china",27812
"19","2020",1,"25","#wuhancoronavirus",18815
"20","2020",1,"25","#coronavirusoutbreak",17599
"21","2020",1,"26","#coronavirus",241317
"22","2020",1,"26","#wuhan",56695
"23","2020",1,"26","#coronavir",39021
"24","2020",1,"26","#coronaoutbreak",32049
"25","2020",1,"26","#china",31485
"26","2020",1,"27","#coronavirus",151572
"27","2020",1,"27","#wuhan",31008
"28","2020",1,"27","#china",18611
"29","2020",1,"27","#coronavir",12978
"30","2020",1,"27","#wuhancoronavirus",12844
"31","2020",1,"28","#coronavirus",176337
"32","2020",1,"28","#wuhan",28687
"33","2020",1,"28","#china",22168
"34","2020",1,"28","#hongkong",11409
"35","2020",1,"28","#wuhancoronavirus",10080
"36","2020",1,"29","#coronavirus",214454
"37","2020",1,"29","#china",40151
"38","2020",1,"29","#wuhan",29438
"39","2020",1,"29","#coronaravirus",19983
"40","2020",1,"29","#breaking",11432
"41","2020",1,"30","#coronavirus",272329
"42","2020",1,"30","#china",54262
"43","2020",1,"30","#wuhan",20427
"44","2020",1,"30","#ncov",19058
"45","2020",1,"30","#coronavirusoutbreak",18242
"46","2020",1,"31","#coronavirus",266925
"47","2020",1,"31","#china",48347
"48","2020",1,"31","#coronavirusoutbreak",30154
"49","2020",1,"31","#wuhan",20391
"50","2020",1,"31","#coronarvirus",13870
"51","2020",2,"1","#coronavirus",93107
"52","2020",2,"1","#china",20496
"53","2020",2,"1","#wuhan",19760
"54","2020",2,"1","#coronarovirus",7610
"55","2020",2,"1","#letsbeatcoronatogether",5691
"56","2020",2,"10","#coronavirus",142637
"57","2020",2,"10","#china",29867
"58","2020",2,"10","#wuhan",21628
"59","2020",2,"10","#wuhancoronavirus",9699
"60","2020",2,"10","#coronavirusoutbreak",6315
"61","2020",2,"11","#coronavirus",136337
"62","2020",2,"11","#china",29351
"63","2020",2,"11","#wuhan",17814
"64","2020",2,"11","#covid19",10759
"65","2020",2,"11","#wuhancoronavirus",9857
"66","2020",2,"12","#coronavirus",122120
"67","2020",2,"12","#covid19",28304
"68","2020",2,"12","#china",24641
"69","2020",2,"12","#wuhan",13304
"70","2020",2,"12","#coronavirusoutbreak",7624
"71","2020",2,"13","#coronavirus",133952
"72","2020",2,"13","#covid19",35051
"73","2020",2,"13","#china",30091
"74","2020",2,"13","#wuhan",15110
"75","2020",2,"13","#coronavirusoutbreak",10636
"76","2020",2,"14","#coronavirus",115341
"77","2020",2,"14","#covid19",32006
"78","2020",2,"14","#china",31027
"79","2020",2,"14","#wuhan",14227
"80","2020",2,"14","#coronavirusoutbreak",9615
"81","2020",2,"15","#coronavirus",100515
"82","2020",2,"15","#covid19",40746
"83","2020",2,"15","#china",26685
"84","2020",2,"15","#wuhan",15080
"85","2020",2,"15","#coronavirusoutbreak",8387
"86","2020",2,"16","#coronavirus",92996
"87","2020",2,"16","#covid19",31723
"88","2020",2,"16","#china",22658
"89","2020",2,"16","#wuhan",13379
