"","V3","total"
"1","@realDonaldTrump",1754622
"2","@WHO",351083
"3","@OHmes2",202703
"4","@narendramodi",194788
"5","@spectatorindex",165342
"6","@charliekirk11",148279
"7","@RealJamesWoods",134503
"8","@tedlieu",132213
"9","@intothebrush",126518
"10","@CNN",103116
"11","@washikirei",85241
"12","@naomusiker",80809
"13","@siwuol",67330
"14","@ConflitsFR",64874
"15","@eyekon131",63249
"16","@BarackObama",59758
"17","@helloalegria",57319
"18","@peytnhaag",55088
"19","@joeltkl",54838
"20","@adazzlinhaze",53378
"21","@OlaTinee",47417
"22","@morekimo",42827
"23","@menumpahkan",42061
"24","@jenniferatntd",41734
"25","@ROSNALJU",41679
"26","@kiiingkrystal",41141
"27","@callumtwalker",40206
"28","@DarienAlexis3",40068
"29","@stayfrea",40061
"30","@skzlovs",39772
"31","@elonmusk",39193
"32","@UnkleK",36355
"33","@SimuLiu",31633
"34","@KarenFlemingPhD",30822
"35","@GOPLeader",30102
"36","@emtpyvase",30049
"37","@DrTedros",29809
"38","@baeonda",29694
"39","@badiucao",29434
"40","@OriginalDWoods",29172
"41","@ihucash",29072
"42","@jjkmaryy",28870
"43","@BNODesk",27983
"44","@galeforcerob",26148
"45","@catcontentonly",25193
"46","@MichaelCoudrey",25111
"47","@dadetrading",24964
"48","@ChicagoTraderrr",24859
"49","@idriselba",24752
"50","@sleeplessbkk",23570
"51","@JustinB84741875",22853
"52","@AOC",22285
"53","@BalkanBlood",22020
"54","@RonallChersan",21863
"55","@WHOWPRO",21526
"56","@aminsyafee",21513
"57","@VP",20867
"58","@l2wzai",19805
"59","@GirlNamedMarley",19472
"60","@lilmaddest",19397
"61","@malpraxis",18562
"62","@fitrianizarAH",18468
"63","@GoughCJ",18195
"64","@OliverBecquart",17815
"65","@HaddadFernando",17278
"66","@verellie",17242
"67","@JulianEpp",16973
"68","@CDCgov",16970
"69","@BorisJohnson",16896
"70","@thaidansker",16308
"71","@KyarraIman",16228
"72","@FaheemYounus",15715
"73","@CasualPS",15424
"74","@DrDenaGrayson",14890
"75","@Dystopia992",14402
"76","@TonsTweetings",14065
"77","@eugenegu",14038
"78","@501Awani",13981
"79","@AmberHobbs7",13853
"80","@juliaksksks",13657
"81","@spin9",13656
"82","@hrmoroz",13400
"83","@thelastjaedi",13276
"84","@FirstGentleman",13213
"85","@mohdkhairul",12812
"86","@maddow",12667
"87","@scenyor",11882
"88","@RealCandaceO",11852
"89","@nextgaara",11559
"90","@Pogllins",11336
"91","@DrDzul",11284
"92","@MyFavsTrash",11009
"93","@KKMPutrajaya",10768
"94","@willtbh",10746
"95","@helpmeimskek",10720
"96","@ayoair",10214
"97","@DearDean22",10192
"98","@OfficiallyAlly",10177
"99","@takterqyira",10083
"100","@suthichai",9963
"101","@ieralee",9893
"102","@BernieSanders",9889
"103","@RyanAFournier",9863
"104","@jairbolsonaro",9704
"105","@tastefullytayy",9651
"106","@NCStinn",9583
"107","@YouTube",9579
"108","@goodmiad",9529
"109","@sudarush",9428
"110","@NicholsUprising",9362
"111","@KHJEsq",9332
"112","@samanthariggs",9298
"113","@fAiDaRaveE",9213
"114","@Imamofpeace",9181
"115","@globaltimesnews",9144
"116","@dglo4me",9131
"117","@SecPompeo",9128
"118","@PanamaRedin215",8993
"119","@ChinaDaily",8790
"120","@LBGEEVEE",8737
"121","@WSJ",8685
"122","@AhlulQohwah",8671
"123","@TheWorldIsY",8533
"124","@superm",8498
"125","@hels",8474
"126","@tanawatofficial",8336
"127","@boom13003",8270
"128","@MoHFWINDIA",8103
"129","@stevehanke",7875
"130","@KarluskaP",7813
"131","@martineekag",7760
"132","@CorneliaLG",7741
"133","@CNNIndonesia",7623
"134","@SJimons",7540
"135","@DrPaulGosar",7526
"136","@paulettasofia",7526
"137","@jameshamblin",7513
"138","@ronkelawal",7512
"139","@popplioikawa",7355
"140","@KemluRI",7129
"141","@Nazeefah",7126
"142","@prismnolight",7110
"143","@business",7103
"144","@janyanis",7067
"145","@inteldotwav",7033
"146","@PDChina",6986
"147","@HtownBabyG",6735
"148","@PrisonPlanet",6694
"149","@ohgeminii",6662
"150","@ChrisMurphyCT",6555
"151","@JeromePolin",6506
"152","@cottoncandaddy",6477
"153","@TomValletti",6470
"154","@WBYeats1865",6447
"155","@MrVop",6362
"156","@bancha333",6300
"157","@micheljessica",5979
"158","@SenTomCotton",5970
"159","@JackPosobiec",5942
"160","@tinyunhwa",5934
"161","@kidmanscill",5884
"162","@celiasanchezzzz",5690
"163","@ravaskar",5511
"164","@MarwanCendawan",5400
"165","@ariannalp",5181
"166","@Nyscalo",5070
"167","@SethAbramson",4957
"168","@JordanRowes",4943
"169","@RomitBMD",4646
"170","@labisbeticah",4396
"171","@ConflictsW",4107
"172","@ANI",3765
"173","@SpeakerPelosi",3474
"174","@FinanzasTime",1491
"175","@tagemeiqi",1452
"176","@RichardEngel",1427
"177","@ezracheungtoto",1210
"178","@StandNewsHK",825
