,V1,V2,V3,total
1,1,22,@WHO,4169
2,1,22,@DrTedros,1482
3,1,22,@CDCgov,1294
4,1,22,@ezracheungtoto,1210
5,1,22,@StandNewsHK,825
6,1,23,@badiucao,11682
7,1,23,@WHO,7965
8,1,23,@Dystopia992,6632
9,1,23,@JackPosobiec,5942
10,1,23,@ConflictsW,4107
11,1,24,@siwuol,50169
12,1,24,@badiucao,17752
13,1,24,@thelastjaedi,13276
14,1,24,@realDonaldTrump,12538
15,1,24,@Dystopia992,7770
16,1,25,@spectatorindex,30808
17,1,25,@fitrianizarAH,18468
18,1,25,@siwuol,17161
19,1,25,@CasualPS,15424
20,1,25,@menumpahkan,15411
21,1,26,@eyekon131,47638
22,1,26,@UnkleK,36355
23,1,26,@jjkmaryy,28870
24,1,26,@menumpahkan,26650
25,1,26,@aminsyafee,21513
26,1,27,@DarienAlexis3,40068
27,1,27,@skzlovs,39772
28,1,27,@spectatorindex,33767
29,1,27,@malpraxis,18562
30,1,27,@eyekon131,15611
31,1,28,@spectatorindex,19225
32,1,28,@OHmes2,13467
33,1,28,@WHO,11796
34,1,28,@helpmeimskek,10720
35,1,28,@CNN,10054
36,1,29,@joeltkl,54838
37,1,29,@SimuLiu,31633
38,1,29,@emtpyvase,30049
39,1,29,@dadetrading,24964
40,1,29,@spectatorindex,16347
41,1,30,@WHO,50895
42,1,30,@helloalegria,38989
43,1,30,@realDonaldTrump,31850
44,1,30,@DrTedros,28327
45,1,30,@WHOWPRO,21526
46,1,31,@WHO,30292
47,1,31,@spectatorindex,23250
48,1,31,@realDonaldTrump,22270
49,1,31,@catcontentonly,19949
50,1,31,@helloalegria,18330
<<<<<<< HEAD,,,,
51,2,2,@spectatorindex,12936
52,2,2,@WHO,11021
53,2,2,@popplioikawa,7355
54,2,2,@TomValletti,6470
55,2,2,@MrVop,6362
56,2,2,@bancha333,6300
57,2,2,@realDonaldTrump,5737
58,2,2,@catcontentonly,5244
59,2,3,@l2wzai,12157
60,2,3,@realDonaldTrump,10473
61,2,3,@spectatorindex,6491
62,2,3,@celiasanchezzzz,5690
63,2,3,@MarwanCendawan,5400
64,2,4,@WHO,10883
65,2,4,@l2wzai,7648
66,2,4,@spectatorindex,7529
67,2,4,@OHmes2,7414
68,2,4,@KKMPutrajaya,6901
69,2,5,@spin9,13656
70,2,5,@takterqyira,10083
71,2,5,@501Awani,7776
72,2,5,@martineekag,7760
73,2,5,@WHO,6922
74,2,6,@WHO,10650
75,2,6,@prismnolight,7110
76,2,6,@PDChina,6986
77,2,6,@WBYeats1865,6447
78,2,6,@501Awani,6205
79,2,7,@realDonaldTrump,17695
80,2,7,@ihucash,17370
81,2,7,@OlaTinee,9960
82,2,7,@ieralee,9893
83,2,7,@fAiDaRaveE,9213
84,2,8,@OlaTinee,31115
85,2,8,@FirstGentleman,13213
86,2,8,@ihucash,11702
87,2,8,@realDonaldTrump,7854
