"","V1","V3","total"
"1","01","@spectatorindex",123397
"2","01","@WHO",105117
"3","01","@siwuol",67330
"4","01","@realDonaldTrump",66658
"5","01","@eyekon131",63249
"6","02","@realDonaldTrump",483468
"7","02","@WHO",147886
"8","02","@OHmes2",140362
"9","02","@washikirei",85241
"10","02","@naomusiker",80809
"11","03","@realDonaldTrump",1119076
"12","03","@narendramodi",172843
"13","03","@intothebrush",126518
"14","03","@WHO",98080
"15","03","@charliekirk11",95729
"16","04","@realDonaldTrump",1361243
"17","04","@narendramodi",291749
"18","04","@CNN",223674
"19","04","@ConflitsFR",211843
"20","04","@WHO",165231
"21","05","@realDonaldTrump",1964367
"22","05","@CNN",287138
"23","05","@JoeBiden",158713
"24","05","@skaijackson",152123
"25","05","@RealJamesWoods",107092
"26","06","@realDonaldTrump",1943611
"27","06","@JoeBiden",354339
"28","06","@BrynnTannehill",154632
"29","06","@sheriantoinette",148799
"30","06","@angelicaxval",144571
"31","07","@realDonaldTrump",2938413
"32","07","@drdavidsamadi",424748
"33","07","@ProjectLincoln",283017
"34","07","@BernieSanders",201044
"35","07","@JoeBiden",195841
"36","08","@realDonaldTrump",2289046
"37","08","@DrRPNishank",744236
"38","08","@JoeBiden",464052
"39","08","@narendramodi",396551
"40","08","@LicypriyaK",376077
"41","09","@realDonaldTrump",1754051
"42","09","@JoeBiden",570677
"43","09","@ProjectLincoln",130724
"44","09","@NYGovCuomo",118095
"45","09","@505eunice",94207
