Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1292661321339674624,hoboken  today,0,14,ORG,0.8213
1292664824984489985,rona,43,47,PER,0.9977
1292656917052108801,mnuchin,40,47,PER,0.9998
1292656917052108801,trump,104,109,PER,0.9976
1292656917333061634,meloni,10,16,PER,0.996
1292656917366661120,china,87,92,LOC,1.0
1292656917530189825,panvel,125,131,LOC,0.9977
1292656917953773568,florida,51,58,LOC,0.9982
1292656919216259072,india,42,47,LOC,0.9999
1292656919258124288,pnoy,32,36,PER,0.9726
1292656919258124288,yolanda,94,101,PER,0.998
1292656919258124288,duterte,111,118,PER,0.9999
1292656919459573761,axios,0,5,ORG,0.9974
1292656919459573761,thedemocrats,49,61,MISC,0.8613
1292656919459573761,trump,69,74,PER,0.9841
1292656919648309252,democrats,8,17,MISC,0.4692
1292656919694340096,ivehadenoughof magats,0,21,ORG,0.8861
1292656919870689280,greater clark county schools,16,44,ORG,0.9413
1292656919870689280,parkwood elementary,97,116,ORG,0.7561
1292656919979732993,nancy,43,48,PER,0.9993
1292656920147431424,republican,21,31,MISC,0.9997
1292656920147431424,post office,109,120,ORG,0.9903
1292656920273158149,democrats,20,29,MISC,0.9998
1292656920273158149,trumpâ,76,82,PER,0.9482
1292656920344453120,american society of nephrology,0,30,ORG,0.9989
1292656920386469890,oshiomhole,3,13,PER,0.9865
1292656920386469890,edo,37,40,LOC,0.9609
1292656920390545408,america,20,27,LOC,1.0
1292656920784855043,lebanon,75,82,LOC,1.0
1292656921577693190,blm,68,71,ORG,0.6661
1292656923460939777,michaelrapaport democrat,1,25,MISC,0.6984
1292656923460939777,democrat,55,63,MISC,0.9746
1292656923460939777,democrat,88,96,MISC,1.0
1292656923716681728,fiji,12,16,LOC,0.9962
1292656923716681728,new zealand,21,32,LOC,0.9999
1292656923716681728,earth,69,74,LOC,0.983
1292656923922378753,new zealand,26,37,LOC,0.999
1292656923922378753,vietnam,116,123,LOC,0.9993
1292656923922378753,vietnam,125,132,LOC,0.9998
1292656924157190145,meloni,10,16,PER,0.996
1292656924241076225,collegefootball,68,83,ORG,0.9904
1292656924308070401,taiwan us,24,33,LOC,0.939
1292656924358348801,ugc &amp,69,77,ORG,0.6153
1292656924660510725,scottmorrisonmp,95,110,ORG,0.6098
1292656924761055232,lib,48,51,PER,0.6898
1292656924761055232,andrews,83,90,PER,1.0
1292656924824088577,democrats,8,17,MISC,0.4675
1292656924899463169,new zealand,56,67,LOC,0.9999
1292656925050458112,hawaiians,106,115,MISC,0.9607
1292656925084090369,cowboys,0,7,ORG,0.9978
1292656925084090369,jonâ€™vea johnson,20,37,PER,0.9927
1292656925084090369,cb saivion smith,39,55,PER,0.9163
1292656925084090369,reserve,61,68,LOC,0.8752
1292656925277069313,mexico,17,23,LOC,0.9998
1292656928028602368,donald,84,90,PER,0.9996
1292656928028602368,cdc,134,137,ORG,1.0
1292656928028602368,him,213,216,PER,0.9811
1292656928049561600,new zealand,26,37,LOC,0.999
1292656928049561600,vietnam,116,123,LOC,0.9993
1292656928049561600,vietnam,125,132,LOC,0.9998
1292656928372469760,orange flowers,12,26,ORG,0.8544
1292656928372469760,usa,122,125,LOC,0.8859
1292656928393486337,okc,92,95,ORG,0.9781
1292656928393486337,womenâ€™,104,112,MISC,0.656
1292656928393486337,college world series,114,134,MISC,0.8449
1292656928703692801,pattabhi reddy hospital,89,112,LOC,0.8861
1292656928703692801,star hospital,115,128,LOC,0.8098
1292656928703692801,banjara hâ,130,140,ORG,0.637
1292656928900943873,international day of the world,41,71,MISC,0.8786
1292656928900943873,indigenous peoples,74,92,MISC,0.8968
1292656929148477442,americans,102,111,MISC,0.9998
1292656929454653442,francis bacon,261,274,PER,0.9349
1292656929534349312,americans,40,49,MISC,0.9998
1292656929542680576,meloni,10,16,PER,0.996
1292656929668554753,klan,47,51,MISC,0.9667
1292656929668554753,covid19,88,95,MISC,0.7204
1292656930272563203,brian,45,50,PER,1.0
1292656930310086657,usa,0,3,LOC,0.999
1292656931476254725,michigan,0,8,LOC,0.99
1292656932444966912,americans,40,49,MISC,0.9998
1292656932495306753,american,48,56,MISC,0.9949
1292656932495306753,covid,84,89,MISC,0.7145
1292656932621185031,gmt,67,70,MISC,0.5685
1292656932621185031,india,206,211,LOC,0.9888
1292656932621185031,usa,213,216,LOC,0.9984
1292656932621185031,brazil,218,224,LOC,0.9996
1292656932621185031,colombia,226,234,LOC,0.9999
1292656932621185031,peru,240,244,LOC,0.9962
1292656932705021953,americans,40,49,MISC,0.9998
1292656932793118720,ugc &amp,69,77,ORG,0.6153
1292656932822683648,buffalo bills,40,53,ORG,0.9764
1292656932877213696,iagovernor,1,11,ORG,0.9966
1292656932877213696,1st tyson,27,36,MISC,0.7059
1292656933514534913,india,60,65,LOC,1.0
1292656933514534913,govtâ,134,139,LOC,0.6247
1292656933598527488,covid,92,97,ORG,0.4771
1292656933653028865,donald trump,14,26,PER,0.9997
1292656933653028865,covid-19,76,84,MISC,0.9997
1292656936589103104,new zealand,26,37,LOC,0.999
1292656936589103104,vietnam,116,123,LOC,0.9993
1292656936589103104,vietnam,125,132,LOC,0.9998
1292656936622661633,sturgis,80,87,LOC,0.9632
1292656936849211399,nashville,73,82,LOC,1.0
1292656937184657408,us,0,4,LOC,0.9989
1292656937184657408,egyptâ€™,36,44,MISC,0.5716
1292656937184657408,icu,97,100,ORG,0.8377
1292656937197162496,la,10,12,LOC,0.9925
1292656937331568640,cdc,197,200,MISC,0.4274
1292656937587228672,india,17,22,LOC,0.9999
1292656937692286976,new zealand,26,37,LOC,0.999
1292656937692286976,vietnam,116,123,LOC,0.9993
1292656937692286976,vietnam,125,132,LOC,0.9998
1292656938166165504,burundi,12,19,LOC,1.0
1292656938212261895,republican,21,31,MISC,0.9997
1292656938212261895,post office,109,120,ORG,0.9903
1292656938350764033,covid-19,15,23,MISC,0.7905
1292656938350764033,balmoral respiratory clinic,52,79,LOC,0.9782
1292656938514186240,indonesia,19,28,LOC,0.9999
1292656938648580098,mount sinai,31,42,LOC,0.9983
1292656938749026304,nc11,47,51,ORG,0.5514
1292656938749026304,congress,55,63,ORG,0.9999
1292656938749026304,mark meadows,108,120,PER,0.9951
1292656939340627970,bill gates,15,25,PER,0.9988
1292656939340627970,pakistan,36,44,LOC,1.0
1292656939340627970,covid-19,50,58,MISC,0.9983
1292656939340627970,europe,90,96,LOC,1.0
