"","Year","Month","Day","Text","Count"
"1",2020,1,29,"chinese",64841
"2",2020,1,29,"coronavirus",45638
"3",2020,1,29,"asian",34381
"4",2020,1,29,"italian",24281
"5",2020,1,29,"americans",13116
"6",2020,2,29,"coronavirus",366794
"7",2020,2,29,"democrats",90790
"8",2020,2,29,"americans",67294
"9",2020,2,29,"chinese",46323
"10",2020,2,29,"american",32624
"11",2020,3,6,"coronavirus",57698
"12",2020,3,6,"american",11633
"13",2020,3,6,"chinese",10084
"14",2020,3,6,"covid-19",6493
"15",2020,3,6,"americans",5878
"16",2020,3,7,"coronavirus",44754
"17",2020,3,7,"covid-19",19179
"18",2020,3,7,"sars",9487
"19",2020,3,7,"americans",8745
"20",2020,3,7,"chinese",7575
"21",2020,3,8,"coronavirus",54179
"22",2020,3,8,"covid-19",15313
"23",2020,3,8,"americans",14356
"24",2020,3,8,"chinese",7145
"25",2020,3,8,"covid19",7011
"26",2020,3,9,"coronavirus",59955
"27",2020,3,9,"covid-19",16198
"28",2020,3,9,"americans",15846
"29",2020,3,9,"chinese",9032
"30",2020,3,9,"ebola",7280
"31",2020,3,10,"coronavirus",47058
"32",2020,3,10,"chinese",16143
"33",2020,3,10,"covid-19",14372
"34",2020,3,10,"americans",9721
"35",2020,3,10,"american",7902
"36",2020,3,11,"coronavirus",38766
"37",2020,3,11,"covid-19",14612
"38",2020,3,11,"italians",10248
"39",2020,3,11,"americans",8140
"40",2020,3,11,"chinese",7421
"41",2020,3,12,"coronavirus",44826
"42",2020,3,12,"covid-19",15793
"43",2020,3,12,"americans",7244
"44",2020,3,12,"corona",6668
"45",2020,3,12,"chinese",6442
"46",2020,3,13,"coronavirus",36429
"47",2020,3,13,"covid-19",18910
"48",2020,3,13,"americans",8302
"49",2020,3,13,"chinese",7958
"50",2020,3,13,"american",4604
"51",2020,3,14,"coronavirus",34425
"52",2020,3,14,"covid-19",17743
"53",2020,3,14,"chinese",11661
"54",2020,3,14,"americans",8658
"55",2020,3,14,"corona virus",4368
"56",2020,3,15,"coronavirus",27186
"57",2020,3,15,"covid-19",17818
"58",2020,3,15,"chinese",6740
"59",2020,3,15,"americans",6504
"60",2020,3,15,"german",6052
"61",2020,3,16,"coronavirus",25914
"62",2020,3,16,"covid-19",18363
"63",2020,3,16,"american",6082
"64",2020,3,16,"chinese",5678
"65",2020,3,16,"german",5172
"66",2020,3,17,"covid-19",78084
"67",2020,3,17,"coronavirus",65013
"68",2020,3,17,"chinese",31041
"69",2020,3,17,"americans",9542
"70",2020,3,17,"covid19",7722
"71",2020,3,18,"chinese",61789
"72",2020,3,18,"covid-19",41450
"73",2020,3,18,"coronavirus",38683
"74",2020,3,18,"americans",8012
"75",2020,3,18,"american",7180
"76",2020,3,19,"chinese",93826
"77",2020,3,19,"covid-19",83421
"78",2020,3,19,"coronavirus",76777
"79",2020,3,19,"americans",14428
"80",2020,3,19,"covid19",9386
"81",2020,3,20,"covid-19",65218
"82",2020,3,20,"coronavirus",65117
"83",2020,3,20,"chinese",59232
"84",2020,3,20,"americans",22545
"85",2020,3,20,"american",13634
"86",2020,3,21,"coronavirus",54654
"87",2020,3,21,"covid-19",45792
"88",2020,3,21,"chinese",43086
"89",2020,3,21,"american",25941
"90",2020,3,21,"americans",16921
"91",2020,3,22,"coronavirus",63250
"92",2020,3,22,"covid-19",58789
"93",2020,3,22,"chinese",48966
"94",2020,3,22,"american",23429
"95",2020,3,22,"americans",13450
"96",2020,3,23,"covid-19",69682
"97",2020,3,23,"coronavirus",68836
"98",2020,3,23,"chinese",43043
"99",2020,3,23,"democrats",34149
"100",2020,3,23,"americans",23276
"101",2020,3,24,"coronavirus",14787
"102",2020,3,24,"covid-19",11228
"103",2020,3,24,"americans",7510
"104",2020,3,24,"democrats",7280
"105",2020,3,24,"chinese",6983
"106",2020,3,25,"coronavirus",36736
"107",2020,3,25,"covid-19",15892
"108",2020,3,25,"americans",9873
"109",2020,3,25,"covid19",7409
"110",2020,3,25,"chinese",6826
"111",2020,3,26,"covid-19",76086
"112",2020,3,26,"coronavirus",63631
"113",2020,3,26,"chinese",40248
"114",2020,3,26,"americans",21410
"115",2020,3,26,"covid19",12647
"116",2020,3,27,"coronavirus",62423
"117",2020,3,27,"covid-19",59893
"118",2020,3,27,"chinese",29321
"119",2020,3,27,"americans",14356
"120",2020,3,27,"covid19",13140
"121",2020,3,28,"covid-19",72215
"122",2020,3,28,"coronavirus",69857
"123",2020,3,28,"chinese",21933
"124",2020,3,28,"americans",21200
"125",2020,3,28,"covid19",14034
"126",2020,3,29,"covid-19",64605
"127",2020,3,29,"coronavirus",58984
"128",2020,3,29,"chinese",26855
"129",2020,3,29,"americans",24905
"130",2020,3,29,"american",11252
"131",2020,3,30,"covid-19",47109
"132",2020,3,30,"coronavirus",38848
"133",2020,3,30,"chinese",21166
"134",2020,3,30,"americans",12416
"135",2020,3,30,"american",8996
"136",2020,3,31,"covid-19",15485
"137",2020,3,31,"coronavirus",14750
"138",2020,3,31,"chinese",8408
"139",2020,3,31,"americans",7232
"140",2020,3,31,"covid19",6759
"141",2020,4,1,"covid-19",44682
"142",2020,4,1,"coronavirus",36202
"143",2020,4,1,"chinese",19511
"144",2020,4,1,"americans",17005
"145",2020,4,1,"covid19",9926
"146",2020,4,2,"covid-19",87049
"147",2020,4,2,"coronavirus",56427
"148",2020,4,2,"americans",25875
"149",2020,4,2,"chinese",22327
"150",2020,4,2,"covid19",12341
"151",2020,4,3,"covid-19",63749
"152",2020,4,3,"coronavirus",49361
"153",2020,4,3,"americans",27002
"154",2020,4,3,"chinese",19676
"155",2020,4,3,"covid19",11541
"156",2020,4,4,"covid-19",61595
"157",2020,4,4,"coronavirus",56437
"158",2020,4,4,"chinese",22806
"159",2020,4,4,"covid19",20264
"160",2020,4,4,"americans",20020
"161",2020,4,5,"covid-19",54958
"162",2020,4,5,"coronavirus",50330
"163",2020,4,5,"chinese",21796
"164",2020,4,5,"americans",17858
"165",2020,4,5,"covid19",10987
"166",2020,4,6,"covid-19",71071
"167",2020,4,6,"coronavirus",52730
"168",2020,4,6,"chinese",19726
"169",2020,4,6,"americans",15664
"170",2020,4,6,"covid19",11514
"171",2020,4,7,"covid-19",69245
"172",2020,4,7,"coronavirus",46805
"173",2020,4,7,"chinese",23313
"174",2020,4,7,"americans",15237
"175",2020,4,7,"covid19",14618
"176",2020,4,8,"covid-19",52317
"177",2020,4,8,"coronavirus",35414
"178",2020,4,8,"chinese",17735
"179",2020,4,8,"americans",13667
"180",2020,4,8,"covid19",13295
"181",2020,4,9,"covid-19",42736
"182",2020,4,9,"coronavirus",26336
"183",2020,4,9,"americans",19351
"184",2020,4,9,"chinese",13740
"185",2020,4,9,"democrats",13409
"186",2020,4,10,"covid-19",72903
"187",2020,4,10,"coronavirus",42656
"188",2020,4,10,"americans",29526
"189",2020,4,10,"chinese",29257
"190",2020,4,10,"american",22228
"191",2020,4,11,"covid-19",57393
"192",2020,4,11,"coronavirus",51692
"193",2020,4,11,"chinese",41078
"194",2020,4,11,"americans",29289
"195",2020,4,11,"american",15212
"196",2020,4,12,"covid-19",46390
"197",2020,4,12,"coronavirus",44403
"198",2020,4,12,"chinese",34788
"199",2020,4,12,"americans",18701
"200",2020,4,12,"american",8971
"201",2020,4,13,"covid-19",66660
"202",2020,4,13,"coronavirus",39220
"203",2020,4,13,"chinese",32657
"204",2020,4,13,"americans",24087
"205",2020,4,13,"covid19",9538
"206",2020,4,14,"covid-19",110228
"207",2020,4,14,"coronavirus",46634
"208",2020,4,14,"chinese",26399
"209",2020,4,14,"americans",19092
"210",2020,4,14,"covid19",11869
"211",2020,4,15,"covid-19",74319
"212",2020,4,15,"coronavirus",44330
"213",2020,4,15,"chinese",33222
"214",2020,4,15,"americans",25025
"215",2020,4,15,"covid19",15017
"216",2020,4,16,"covid-19",78883
"217",2020,4,16,"coronavirus",45202
"218",2020,4,16,"chinese",32241
"219",2020,4,16,"americans",23703
"220",2020,4,16,"covid19",14649
"221",2020,4,17,"covid-19",78684
"222",2020,4,17,"coronavirus",37322
"223",2020,4,17,"americans",26164
"224",2020,4,17,"chinese",23941
"225",2020,4,17,"american",13813
"226",2020,4,18,"covid-19",66359
"227",2020,4,18,"coronavirus",43088
"228",2020,4,18,"americans",21460
"229",2020,4,18,"chinese",15508
"230",2020,4,18,"covid19",12106
"231",2020,4,19,"covid-19",66284
"232",2020,4,19,"coronavirus",56498
"233",2020,4,19,"americans",28080
"234",2020,4,19,"chinese",23786
"235",2020,4,19,"one world",14609
"236",2020,4,20,"covid-19",87845
"237",2020,4,20,"coronavirus",42098
"238",2020,4,20,"americans",26960
"239",2020,4,20,"chinese",22622
"240",2020,4,20,"american",13043
"241",2020,4,21,"covid-19",13204
"242",2020,4,21,"coronavirus",9252
"243",2020,4,21,"americans",8465
"244",2020,4,21,"covid19",6776
"245",2020,4,21,"chinese",4165
"246",2020,4,22,"covid-19",68151
"247",2020,4,22,"coronavirus",41802
"248",2020,4,22,"americans",23326
"249",2020,4,22,"chinese",17192
"250",2020,4,22,"covid19",15596
"251",2020,4,23,"covid-19",72617
"252",2020,4,23,"coronavirus",46911
"253",2020,4,23,"americans",26345
"254",2020,4,23,"democrats",20811
"255",2020,4,23,"chinese",16674
"256",2020,4,24,"covid-19",88831
"257",2020,4,24,"coronavirus",65250
"258",2020,4,24,"americans",26647
"259",2020,4,24,"democrats",16780
"260",2020,4,24,"rep",15637
"261",2020,4,25,"covid-19",81406
"262",2020,4,25,"coronavirus",63684
"263",2020,4,25,"americans",27690
"264",2020,4,25,"covid19",26599
"265",2020,4,25,"democrats",24992
"266",2020,4,26,"covid-19",72723
"267",2020,4,26,"coronavirus",64263
"268",2020,4,26,"americans",44356
"269",2020,4,26,"democrats",30137
"270",2020,4,26,"chinese",20258
"271",2020,4,27,"covid-19",89615
"272",2020,4,27,"coronavirus",70648
"273",2020,4,27,"americans",45359
"274",2020,4,27,"chinese",28350
"275",2020,4,27,"american",22818
"276",2020,4,28,"covid-19",73149
"277",2020,4,28,"coronavirus",38446
"278",2020,4,28,"americans",24826
"279",2020,4,28,"covid",18104
"280",2020,4,28,"covid19",17236
"281",2020,4,29,"covid-19",51335
"282",2020,4,29,"coronavirus",39264
"283",2020,4,29,"americans",24669
"284",2020,4,29,"chinese",17161
"285",2020,4,29,"covid19",11898
"286",2020,4,30,"covid-19",74781
"287",2020,4,30,"coronavirus",51009
"288",2020,4,30,"americans",29951
"289",2020,4,30,"covid19",17328
"290",2020,4,30,"chinese",16494
"291",2020,5,1,"covid-19",65265
"292",2020,5,1,"coronavirus",51354
"293",2020,5,1,"americans",21835
"294",2020,5,1,"chinese",19722
"295",2020,5,1,"covid19",13709
"296",2020,5,2,"covid-19",68390
"297",2020,5,2,"coronavirus",54205
"298",2020,5,2,"americans",19484
"299",2020,5,2,"chinese",18138
"300",2020,5,2,"covid",11564
"301",2020,5,3,"covid-19",67841
"302",2020,5,3,"coronavirus",66955
"303",2020,5,3,"american",45859
"304",2020,5,3,"americans",28068
"305",2020,5,3,"chinese",16630
"306",2020,5,4,"covid-19",79615
"307",2020,5,4,"coronavirus",79412
"308",2020,5,4,"americans",31708
"309",2020,5,4,"chinese",28247
"310",2020,5,4,"american",21368
"311",2020,5,5,"covid-19",77421
"312",2020,5,5,"coronavirus",14626
"313",2020,5,5,"americans",14444
"314",2020,5,5,"chinese",13697
"315",2020,5,5,"covid19",9743
"316",2020,5,6,"covid-19",94870
"317",2020,5,6,"coronavirus",60710
"318",2020,5,6,"americans",37472
"319",2020,5,6,"american",23656
"320",2020,5,6,"chinese",18232
"321",2020,5,7,"covid-19",108708
"322",2020,5,7,"coronavirus",59672
"323",2020,5,7,"americans",27987
"324",2020,5,7,"chinese",18358
"325",2020,5,7,"covid19",16945
"326",2020,5,8,"covid-19",91193
"327",2020,5,8,"coronavirus",46098
"328",2020,5,8,"democrats",40207
"329",2020,5,8,"chinese",30166
"330",2020,5,8,"americans",28248
"331",2020,5,9,"covid-19",84811
"332",2020,5,9,"coronavirus",52560
"333",2020,5,9,"americans",32465
"334",2020,5,9,"chinese",19548
"335",2020,5,9,"covid",16515
"336",2020,5,10,"covid-19",84507
"337",2020,5,10,"coronavirus",60318
"338",2020,5,10,"americans",40653
"339",2020,5,10,"german",21081
"340",2020,5,10,"covid",19458
"341",2020,5,11,"covid-19",108389
"342",2020,5,11,"coronavirus",63073
"343",2020,5,11,"american",38215
"344",2020,5,11,"covid",32980
"345",2020,5,11,"americans",30874
"346",2020,5,12,"covid-19",103251
"347",2020,5,12,"coronavirus",68798
"348",2020,5,12,"americans",53772
"349",2020,5,12,"chinese",28722
"350",2020,5,12,"american",19120
"351",2020,5,13,"americans",91443
"352",2020,5,13,"covid-19",89524
"353",2020,5,13,"coronavirus",52568
"354",2020,5,13,"chinese",22055
"355",2020,5,13,"democrats",20238
"356",2020,5,14,"covid-19",94053
"357",2020,5,14,"americans",51835
"358",2020,5,14,"coronavirus",48373
"359",2020,5,14,"covid19",17573
"360",2020,5,14,"chinese",17293
"361",2020,5,15,"covid-19",97467
"362",2020,5,15,"coronavirus",54716
"363",2020,5,15,"americans",34858
"364",2020,5,15,"covid19",24834
"365",2020,5,15,"democrat",23763
"366",2020,5,16,"covid-19",88328
"367",2020,5,16,"coronavirus",47315
"368",2020,5,16,"americans",33580
"369",2020,5,16,"covid19",20020
"370",2020,5,16,"democrats",19113
"371",2020,5,17,"coronavirus",79835
"372",2020,5,17,"covid-19",75033
"373",2020,5,17,"americans",37243
"374",2020,5,17,"democrats",18200
"375",2020,5,17,"chinese",17284
"376",2020,5,18,"covid-19",94924
"377",2020,5,18,"coronavirus",79705
"378",2020,5,18,"americans",36193
"379",2020,5,18,"american",34100
"380",2020,5,18,"chinese",24513
"381",2020,5,19,"covid-19",118279
"382",2020,5,19,"coronavirus",59072
"383",2020,5,19,"americans",29392
"384",2020,5,19,"chinese",26989
"385",2020,5,19,"covid19",17826
"386",2020,5,20,"covid-19",98932
"387",2020,5,20,"coronavirus",57864
"388",2020,5,20,"virus",48948
"389",2020,5,20,"americans",38912
"390",2020,5,20,"chinese",23246
"391",2020,5,21,"covid-19",87691
"392",2020,5,21,"americans",40324
"393",2020,5,21,"coronavirus",39138
"394",2020,5,21,"chinese",21476
"395",2020,5,21,"democrats",18559
"396",2020,5,22,"covid-19",86557
"397",2020,5,22,"coronavirus",42111
"398",2020,5,22,"americans",32287
"399",2020,5,22,"democrats",19900
"400",2020,5,22,"chinese",17017
"401",2020,5,23,"covid-19",82160
"402",2020,5,23,"coronavirus",39255
"403",2020,5,23,"americans",35036
"404",2020,5,23,"covid",21028
"405",2020,5,23,"democrats",15705
"406",2020,5,24,"covid-19",60781
"407",2020,5,24,"coronavirus",45081
"408",2020,5,24,"americans",38136
"409",2020,5,24,"rigged election",17441
"410",2020,5,24,"covid",13279
"411",2020,5,25,"covid-19",53345
"412",2020,5,25,"coronavirus",48187
"413",2020,5,25,"americans",29061
"414",2020,5,25,"memorial day",28286
"415",2020,5,25,"chinese",16416
"416",2020,5,26,"covid-19",76841
"417",2020,5,26,"coronavirus",43062
"418",2020,5,26,"americans",26911
"419",2020,5,26,"chinese",17965
"420",2020,5,26,"memorial day",17159
"421",2020,5,27,"covid-19",81690
"422",2020,5,27,"coronavirus",38545
"423",2020,5,27,"americans",36147
"424",2020,5,27,"covid",21259
"425",2020,5,27,"democrat",13083
"426",2020,5,28,"covid-19",106625
"427",2020,5,28,"coronavirus",43314
"428",2020,5,28,"americans",39149
"429",2020,5,28,"gop",26287
"430",2020,5,28,"republican",23603
"431",2020,5,29,"asians",105294
"432",2020,5,29,"muslims",105130
"433",2020,5,29,"hispanics",104399
"434",2020,5,29,"covid-19",86296
"435",2020,5,29,"coronavirus",49639
"436",2020,5,30,"mexicans",71650
"437",2020,5,30,"œchinese",70547
"438",2020,5,30,"covid-19",65936
"439",2020,5,30,"chinese",47970
"440",2020,5,30,"coronavirus",38726
"441",2020,5,31,"avenger",55635
"442",2020,5,31,"coronavirus",49672
"443",2020,5,31,"covid-19",47695
"444",2020,5,31,"chinese",24217
"445",2020,5,31,"mexicans",19815
"446",2020,6,1,"covid-19",48760
"447",2020,6,1,"coronavirus",40461
"448",2020,6,1,"democrats",29889
"449",2020,6,1,"ebola",19889
"450",2020,6,1,"chinese",17488
"451",2020,6,2,"covid-19",62377
"452",2020,6,2,"defense production act",33035
"453",2020,6,2,"coronavirus",31007
"454",2020,6,2,"americans",27237
"455",2020,6,2,"american",10901
"456",2020,6,3,"covid-19",63147
"457",2020,6,3,"coronavirus",41395
"458",2020,6,3,"covid",24258
"459",2020,6,3,"americans",14930
"460",2020,6,3,"democrat",13753
"461",2020,6,4,"covid-19",62876
"462",2020,6,4,"coronavirus",35444
"463",2020,6,4,"americans",19140
"464",2020,6,4,"covid",14093
"465",2020,6,4,"covid19",10755
"466",2020,6,5,"covid-19",60502
"467",2020,6,5,"coronavirus",22475
"468",2020,6,5,"americans",16981
"469",2020,6,5,"covid",8527
"470",2020,6,5,"covid19",7952
"471",2020,6,6,"covid-19",50587
"472",2020,6,6,"coronavirus",30191
"473",2020,6,6,"covid19",17237
"474",2020,6,6,"americans",14712
"475",2020,6,6,"covid",13686
"476",2020,6,7,"covid-19",50072
"477",2020,6,7,"coronavirus",28976
