"","Year","Month","Day","Text","Count"
"1",2020,1,29,"british airways",14527
"2",2020,1,29,"cdc",12044
"3",2020,1,29,"huawei",6192
"4",2020,1,29,"super junior",4573
"5",2020,1,29,"senate",4303
"6",2020,2,29,"cdc",85263
"7",2020,2,29,"trump",21850
"8",2020,2,29,"cnn",10748
"9",2020,2,29,"fox news",10374
"10",2020,2,29,"bts",9398
"11",2020,3,20,"senate",10885
"12",2020,3,20,"senators",6653
"13",2020,3,20,"cdc",6469
"14",2020,3,20,"trump",6141
"15",2020,3,20,"congress",5643
"16",2020,4,1,"nhs",9538
"17",2020,4,1,"cnn",7716
"18",2020,4,1,"trump",7559
"19",2020,4,1,"cdc",6332
"20",2020,4,1,"pentagon",4270
"21",2020,4,2,"trump",11182
"22",2020,4,2,"secret service",10620
"23",2020,4,2,"nhs",9610
"24",2020,4,2,"cdc",6863
"25",2020,4,2,"cnn",6417
"26",2020,4,3,"nhs",10589
"27",2020,4,3,"trump",9991
"28",2020,4,3,"cnn",7962
"29",2020,4,3,"navy",7101
"30",2020,4,3,"cdc",6566
"31",2020,4,4,"cdc",13678
"32",2020,4,4,"trump",9072
"33",2020,4,4,"nhs",6441
"34",2020,4,4,"cnn",6071
"35",2020,4,4,"govnedlamont",6059
"36",2020,4,5,"trump",15417
"37",2020,4,5,"cdc",12306
"38",2020,4,5,"nhs",10813
"39",2020,4,5,"fox news",7284
"40",2020,4,5,"icu",6317
"41",2020,4,6,"trump",12348
"42",2020,4,6,"icu",9943
"43",2020,4,6,"cdc",7948
"44",2020,4,6,"nhs",7930
"45",2020,4,6,"washington post",6950
"46",2020,4,7,"trump",9344
"47",2020,4,7,"congress",8560
"48",2020,4,7,"ministry of magic",7836
"49",2020,4,7,"cdc",6696
"50",2020,4,7,"nhs",6326
"51",2020,4,8,"eu",8805
"52",2020,4,8,"cdc",7918
"53",2020,4,8,"world health organization",6219
"54",2020,4,8,"llc",6043
"55",2020,4,8,"trump",5277
"56",2020,4,9,"cdc",10462
"57",2020,4,9,"cnn",8703
"58",2020,4,9,"senate",7962
"59",2020,4,9,"nhs",6735
"60",2020,4,9,"fox news",5317
"61",2020,4,10,"cdc",11440
"62",2020,4,10,"nhs",10610
"63",2020,4,10,"cnn",10588
"64",2020,4,10,"trump",6842
"65",2020,4,10,"world health organization",5863
"66",2020,4,11,"nhs",12282
