"","Year","Month","Text","Count"
"1",2020,1,"china",650575
"2",2020,1,"wuhan",363082
"3",2020,1,"us",115428
"4",2020,1,"iran",45976
"5",2020,1,"coronavir",38404
"6",2020,2,"china",3984455
"7",2020,2,"us",829190
"8",2020,2,"wuhan",789543
"9",2020,2,"hong kong",204089
"10",2020,2,"iran",158219
"11",2020,3,"china",2027521
"12",2020,3,"us",1186043
"13",2020,3,"italy",676759
"14",2020,3,"corona",245042
"15",2020,3,"india",229061
"16",2020,4,"china",2319572
"17",2020,4,"us",1673104
"18",2020,4,"uk",706533
"19",2020,4,"india",692358
"20",2020,4,"america",317959
"21",2020,5,"us",2051391
"22",2020,5,"china",2026505
"23",2020,5,"uk",1072848
"24",2020,5,"india",583005
"25",2020,5,"america",577640
"26",2020,6,"us",2376044
"27",2020,6,"china",1165885
"28",2020,6,"florida",853885
"29",2020,6,"uk",712009
"30",2020,6,"america",643712
"31",2020,7,"us",2998747
"32",2020,7,"florida",1577638
"33",2020,7,"china",1488617
"34",2020,7,"america",861635
"35",2020,7,"india",377676
"36",2020,8,"us",2129594
"37",2020,8,"india",1404169
"38",2020,8,"china",1176920
"39",2020,8,"america",1110660
"40",2020,8,"uk",418744
"41",2020,9,"us",1943081
"42",2020,9,"china",1286834
"43",2020,9,"america",983497
"44",2020,9,"india",705493
"45",2020,9,"uk",695997
"46",2020,10,"white house",2140874
"47",2020,10,"us",2100790
"48",2020,10,"china",1386888
"49",2020,10,"america",868049
"50",2020,10,"uk",460658
"51",2020,11,"us",1885711
"52",2020,11,"america",1069777
"53",2020,11,"china",809266
"54",2020,11,"uk",768550
"55",2020,11,"white house",274045
"56",2020,12,"us",1877911
"57",2020,12,"uk",1530492
"58",2020,12,"china",1279051
"59",2020,12,"america",548852
"60",2020,12,"florida",323800
"61",2021,1,"uk",1900085
"62",2021,1,"us",1332715
"63",2021,1,"china",918599
"64",2021,1,"india",680436
"65",2021,1,"capitol",267262
