"","Year","Month","Text","Count"
"1",2020,1,"chinese",520793
"2",2020,1,"coronavirus",429624
"3",2020,1,"americans",64759
"4",2020,1,"anti-chinese",45922
"5",2020,1,"asian",34381
"6",2020,2,"coronavirus",1242665
"7",2020,2,"chinese",879487
"8",2020,2,"americans",185323
"9",2020,2,"democrats",141351
"10",2020,2,"american",112792
"11",2020,3,"coronavirus",2133073
"12",2020,3,"covid-19",1093906
"13",2020,3,"chinese",746046
"14",2020,3,"americans",406612
"15",2020,3,"democrats",168643
"16",2020,4,"covid-19",2039162
"17",2020,4,"coronavirus",1393714
"18",2020,4,"americans",725400
"19",2020,4,"chinese",616423
"20",2020,4,"covid19",263098
"21",2020,5,"covid-19",2626418
"22",2020,5,"coronavirus",1633959
"23",2020,5,"americans",997517
"24",2020,5,"chinese",487901
"25",2020,5,"american",182318
"26",2020,6,"covid-19",2632097
"27",2020,6,"americans",1351406
"28",2020,6,"coronavirus",1214752
"29",2020,6,"covid19",490436
"30",2020,6,"american",251043
"31",2020,7,"covid-19",3123019
"32",2020,7,"americans",1465164
"33",2020,7,"coronavirus",1419507
"34",2020,7,"covid",586880
"35",2020,7,"chinese",313829
"36",2020,8,"covid-19",2375195
"37",2020,8,"americans",1682740
"38",2020,8,"covid",704942
"39",2020,8,"coronavirus",662123
"40",2020,8,"american",365362
"41",2020,9,"covid-19",2522746
"42",2020,9,"americans",1775578
"43",2020,9,"covid",1043430
"44",2020,9,"american",600024
"45",2020,9,"coronavirus",490953
"46",2020,10,"covid-19",3508156
"47",2020,10,"americans",2120472
"48",2020,10,"covid",1400065
"49",2020,10,"coronavirus",556428
"50",2020,10,"american",449031
"51",2020,11,"covid-19",2277469
"52",2020,11,"americans",1358668
"53",2020,11,"covid",1305789
"54",2020,11,"covid19",298476
"55",2020,11,"american",229036
"56",2020,12,"covid-19",2108761
"57",2020,12,"americans",1600443
"58",2020,12,"covid",1494445
"59",2020,12,"american",516906
"60",2020,12,"republicans",294613
"61",2021,1,"covid-19",55490
"62",2021,1,"covid",34457
"63",2021,1,"americans",34294
"64",2021,1,"new year",22992
"65",2021,1,"republican",17852
