,Year,Month,Day,Sentiment,Count,Avg_Per
1,2020,1,22,negative,14493,0.297759167
2,2020,1,22,neutral,20061,0.655877222
3,2020,1,22,positive,1779,0.046363611
4,2020,1,23,negative,99275,0.496622657
5,2020,1,23,neutral,97048,0.466756613
6,2020,1,23,positive,7367,0.03662073
7,2020,1,24,negative,233430,0.421974544
8,2020,1,24,neutral,305404,0.524804047
9,2020,1,24,positive,29652,0.053221409
10,2020,1,25,negative,376001,0.442638943
11,2020,1,25,neutral,445823,0.51701762
12,2020,1,25,positive,34265,0.040343436
13,2020,1,26,negative,489539,0.429383953
14,2020,1,26,neutral,616673,0.542880901
15,2020,1,26,positive,31525,0.027735145
16,2020,1,27,negative,451737,0.517503257
17,2020,1,27,neutral,394150,0.453199827
18,2020,1,27,positive,25199,0.029296916
19,2020,1,28,negative,323282,0.422022087
20,2020,1,28,neutral,404091,0.52749418
21,2020,1,28,positive,38621,0.050483734
22,2020,1,29,negative,611369,0.496639764
23,2020,1,29,neutral,557347,0.457495084
24,2020,1,29,positive,55809,0.045865152
25,2020,1,30,negative,695855,0.448169853
26,2020,1,30,neutral,777769,0.494317143
27,2020,1,30,positive,87863,0.057513004
28,2020,1,31,negative,641326,0.459571179
29,2020,1,31,neutral,672792,0.482889745
30,2020,1,31,positive,79468,0.057539076
31,2020,2,1,negative,232297,0.49189356
32,2020,2,1,neutral,222222,0.443149765
33,2020,2,1,positive,32381,0.064956675
34,2020,2,2,negative,240679,0.471060447
35,2020,2,2,neutral,237507,0.467787557
36,2020,2,2,positive,30816,0.061151996
37,2020,2,3,negative,213258,0.431878316
38,2020,2,3,neutral,241663,0.488388229
39,2020,2,3,positive,40125,0.079733455
40,2020,2,4,negative,247566,0.444608224
41,2020,2,4,neutral,271905,0.486005493
42,2020,2,4,positive,38926,0.069386283
43,2020,2,5,negative,208970,0.41081541
44,2020,2,5,neutral,240624,0.475564369
45,2020,2,5,positive,57546,0.113620221
46,2020,2,6,negative,250610,0.458741197
47,2020,2,6,neutral,255327,0.472124395
48,2020,2,6,positive,37426,0.069134408
49,2020,2,7,negative,229263,0.436663837
50,2020,2,7,neutral,257809,0.493384442
51,2020,2,7,positive,36644,0.06995172
52,2020,2,8,negative,227907,0.441097402
53,2020,2,8,neutral,265138,0.50499026
54,2020,2,8,positive,28605,0.053912339
55,2020,2,9,negative,237402,0.468869847
56,2020,2,9,neutral,236690,0.462487955
57,2020,2,9,positive,34696,0.068642198
58,2020,2,10,negative,252091,0.437204107
59,2020,2,10,neutral,288628,0.49901816
60,2020,2,10,positive,36933,0.063777734
61,2020,2,11,negative,265597,0.450489276
62,2020,2,11,neutral,287552,0.489062098
63,2020,2,11,positive,35732,0.060448626
64,2020,2,12,negative,265132,0.484838367
65,2020,2,12,neutral,247959,0.460140463
66,2020,2,12,positive,29933,0.05502117
67,2020,2,13,negative,279354,0.460180427
68,2020,2,13,neutral,293838,0.48270901
69,2020,2,13,positive,34886,0.057110563
70,2020,2,14,negative,237906,0.413073073
71,2020,2,14,neutral,296307,0.512560439
72,2020,2,14,positive,42630,0.074366488
73,2020,2,15,negative,195450,0.433805116
74,2020,2,15,neutral,224167,0.491545155
75,2020,2,15,positive,34077,0.074649729
76,2020,2,16,negative,183989,0.376583258
77,2020,2,16,neutral,274185,0.565022172
78,2020,2,16,positive,28558,0.058394569
79,2020,2,17,negative,221875,0.419426592
80,2020,2,17,neutral,270014,0.511353358
81,2020,2,17,positive,36403,0.06922005
82,2020,2,18,negative,255794,0.455163066
83,2020,2,18,neutral,266731,0.476957302
84,2020,2,18,positive,37461,0.067879632
85,2020,2,19,negative,240426,0.47611852
