"","Month","Day","hour","Sentiment","Count","Percentage"
"1",1,22,0,"negative",20,0.18348623853211
"2",1,22,0,"neutral",86,0.788990825688073
"3",1,22,0,"positive",3,0.0275229357798165
"4",1,22,1,"negative",21,0.196261682242991
"5",1,22,1,"neutral",79,0.738317757009346
"6",1,22,1,"positive",7,0.0654205607476635
"7",1,22,2,"negative",59,0.292079207920792
"8",1,22,2,"neutral",132,0.653465346534653
"9",1,22,2,"positive",11,0.0544554455445545
"10",1,22,3,"negative",64,0.215488215488215
"11",1,22,3,"neutral",224,0.754208754208754
"12",1,22,3,"positive",9,0.0303030303030303
"13",1,22,4,"negative",54,0.245454545454545
"14",1,22,4,"neutral",152,0.690909090909091
"15",1,22,4,"positive",14,0.0636363636363636
"16",1,22,5,"negative",55,0.259433962264151
"17",1,22,5,"neutral",149,0.702830188679245
"18",1,22,5,"positive",8,0.0377358490566038
"19",1,22,6,"negative",31,0.212328767123288
"20",1,22,6,"neutral",109,0.746575342465753
"21",1,22,6,"positive",6,0.0410958904109589
"22",1,22,7,"negative",36,0.26865671641791
"23",1,22,7,"neutral",94,0.701492537313433
"24",1,22,7,"positive",4,0.0298507462686567
"25",1,22,8,"negative",44,0.21256038647343
"26",1,22,8,"neutral",149,0.719806763285024
"27",1,22,8,"positive",14,0.0676328502415459
"28",1,22,9,"negative",84,0.141891891891892
"29",1,22,9,"neutral",488,0.824324324324324
"30",1,22,9,"positive",20,0.0337837837837838
"31",1,22,10,"negative",142,0.222919937205651
"32",1,22,10,"neutral",469,0.736263736263736
"33",1,22,10,"positive",26,0.0408163265306122
"34",1,22,11,"negative",208,0.214654282765738
"35",1,22,11,"neutral",730,0.753353973168215
"36",1,22,11,"positive",31,0.0319917440660475
"37",1,22,12,"negative",189,0.201063829787234
"38",1,22,12,"neutral",707,0.752127659574468
"39",1,22,12,"positive",44,0.0468085106382979
"40",1,22,13,"negative",278,0.212538226299694
"41",1,22,13,"neutral",986,0.753822629969419
"42",1,22,13,"positive",44,0.0336391437308868
"43",1,22,14,"negative",404,0.277091906721536
"44",1,22,14,"neutral",990,0.679012345679012
"45",1,22,14,"positive",64,0.0438957475994513
"46",1,22,15,"negative",560,0.293040293040293
"47",1,22,15,"neutral",1271,0.665096807953951
"48",1,22,15,"positive",80,0.0418628990057561
"49",1,22,16,"negative",537,0.281594126900891
"50",1,22,16,"neutral",1282,0.672260094389093
"51",1,22,16,"positive",88,0.0461457787100157
"52",1,22,17,"negative",597,0.32874449339207
"53",1,22,17,"neutral",1107,0.609581497797357
"54",1,22,17,"positive",112,0.0616740088105727
"55",1,22,18,"negative",1633,0.504791344667697
"56",1,22,18,"neutral",1387,0.428748068006182
"57",1,22,18,"positive",215,0.0664605873261206
"58",1,22,19,"negative",2314,0.523647884136683
"59",1,22,19,"neutral",1895,0.428830052047975
"60",1,22,19,"positive",210,0.0475220638153428
"61",1,22,20,"negative",2001,0.428021390374332
"62",1,22,20,"neutral",2468,0.527914438502674
"63",1,22,20,"positive",206,0.0440641711229947
"64",1,22,21,"negative",1786,0.467416906568961
"65",1,22,21,"neutral",1857,0.485998429730437
"66",1,22,21,"positive",178,0.0465846637006019
"67",1,22,22,"negative",1696,0.483190883190883
"68",1,22,22,"neutral",1616,0.46039886039886
"69",1,22,22,"positive",198,0.0564102564102564
"70",1,22,23,"negative",1680,0.479862896315338
"71",1,22,23,"neutral",1634,0.466723793201942
"72",1,22,23,"positive",187,0.0534133104827192
"73",1,23,0,"negative",1974,0.51219512195122
"74",1,23,0,"neutral",1710,0.44369486248054
"75",1,23,0,"positive",170,0.0441100155682408
"76",1,23,1,"negative",1918,0.49217346676931
"77",1,23,1,"neutral",1818,0.466512702078522
"78",1,23,1,"positive",161,0.0413138311521683
"79",1,23,2,"negative",1990,0.53080821552414
"80",1,23,2,"neutral",1592,0.424646572419312
"81",1,23,2,"positive",167,0.0445452120565484
"82",1,23,3,"negative",1820,0.495103373231774
"83",1,23,3,"neutral",1707,0.464363438520131
"84",1,23,3,"positive",149,0.0405331882480958
"85",1,23,4,"negative",1803,0.513821601595896
"86",1,23,4,"neutral",1571,0.447705899116557
"87",1,23,4,"positive",135,0.0384724992875463
"88",1,23,5,"negative",1890,0.554414784394251
"89",1,23,5,"neutral",1404,0.411850982692872
"90",1,23,5,"positive",115,0.0337342329128777
"91",1,23,6,"negative",1876,0.539390454284071
"92",1,23,6,"neutral",1477,0.424669350201265
"93",1,23,6,"positive",125,0.0359401955146636
"94",1,23,7,"negative",1719,0.511911852293032
"95",1,23,7,"neutral",1517,0.451756998213222
"96",1,23,7,"positive",122,0.0363311494937463
"97",1,23,8,"negative",1801,0.492210986608363
"98",1,23,8,"neutral",1735,0.474173271385624
"99",1,23,8,"positive",123,0.0336157420060126
"100",1,23,9,"negative",1804,0.491821155943293
"101",1,23,9,"neutral",1736,0.473282442748092
"102",1,23,9,"positive",128,0.0348964013086151
"103",1,23,10,"negative",2474,0.518440905280805
"104",1,23,10,"neutral",2139,0.44823973176865
"105",1,23,10,"positive",159,0.0333193629505448
"106",1,23,11,"negative",2803,0.503231597845601
"107",1,23,11,"neutral",2569,0.461220825852783
"108",1,23,11,"positive",198,0.0355475763016158
"109",1,23,12,"negative",3078,0.484724409448819
"110",1,23,12,"neutral",3043,0.479212598425197
"111",1,23,12,"positive",229,0.0360629921259843
"112",1,23,13,"negative",3742,0.457401295685124
"113",1,23,13,"neutral",4126,0.504339322821171
"114",1,23,13,"positive",313,0.0382593814937049
"115",1,23,14,"negative",4833,0.482961926651344
"116",1,23,14,"neutral",4801,0.479764165084441
"117",1,23,14,"positive",373,0.037273908264215
"118",1,23,15,"negative",7934,0.453345523112965
"119",1,23,15,"neutral",8814,0.50362836409348
"120",1,23,15,"positive",753,0.0430261127935547
"121",1,23,16,"negative",8665,0.485542978818783
"122",1,23,16,"neutral",8376,0.469348873697187
"123",1,23,16,"positive",805,0.04510814748403
"124",1,23,17,"negative",7492,0.476620650168586
"125",1,23,17,"neutral",7646,0.486417711050321
"126",1,23,17,"positive",581,0.0369616387810929
"127",1,23,18,"negative",8108,0.477615457115928
"128",1,23,18,"neutral",8353,0.492047596606975
"129",1,23,18,"positive",515,0.0303369462770971
"130",1,23,19,"negative",7274,0.49158613232412
"131",1,23,19,"neutral",7120,0.481178617287288
"132",1,23,19,"positive",403,0.0272352503885923
"133",1,23,20,"negative",5953,0.485444018592514
"134",1,23,20,"neutral",5946,0.48487319579222
"135",1,23,20,"positive",364,0.0296827856152654
"136",1,23,21,"negative",6177,0.484015044663846
"137",1,23,21,"neutral",6199,0.485738912396176
"138",1,23,21,"positive",386,0.0302460429399781
"139",1,23,22,"negative",5984,0.495733576339988
"140",1,23,22,"neutral",5649,0.467981111755447
"141",1,23,22,"positive",438,0.0362853119045647
"142",1,23,23,"negative",6163,0.48842922808686
"143",1,23,23,"neutral",6000,0.475511174512601
"144",1,23,23,"positive",455,0.0360595974005389
"145",1,24,0,"negative",7047,0.518772084805654
"146",1,24,0,"neutral",5940,0.437279151943463
"147",1,24,0,"positive",597,0.0439487632508834
"148",1,24,1,"negative",7175,0.509805314764814
"149",1,24,1,"neutral",6235,0.443015489555208
"150",1,24,1,"positive",664,0.0471791956799773
"151",1,24,2,"negative",7417,0.506452714236941
"152",1,24,2,"neutral",6327,0.432024581768522
"153",1,24,2,"positive",901,0.0615227039945374
"154",1,24,3,"negative",7329,0.489939167056621
"155",1,24,3,"neutral",6745,0.450899124273013
"156",1,24,3,"positive",885,0.0591617086703657
"157",1,24,4,"negative",7202,0.486424422531406
"158",1,24,4,"neutral",6649,0.44907469944617
"159",1,24,4,"positive",955,0.0645008780224233
"160",1,24,5,"negative",6622,0.466141067154723
"161",1,24,5,"neutral",6795,0.478319020132338
"162",1,24,5,"positive",789,0.0555399127129382
"163",1,24,6,"negative",7872,0.3814323093323
"164",1,24,6,"neutral",11318,0.548405853280357
"165",1,24,6,"positive",1448,0.0701618373873437
"166",1,24,7,"negative",8192,0.376678315247379
"167",1,24,7,"neutral",11876,0.54607320213353
"168",1,24,7,"positive",1680,0.0772484826190914
"169",1,24,8,"negative",8042,0.36981513841626
"170",1,24,8,"neutral",12239,0.562816150096569
"171",1,24,8,"positive",1465,0.0673687114871701
"172",1,24,9,"negative",8233,0.384791549822397
"173",1,24,9,"neutral",11786,0.550850626285287
"174",1,24,9,"positive",1377,0.0643578238923163
"175",1,24,10,"negative",8819,0.396199290174761
"176",1,24,10,"neutral",12107,0.543914820971293
"177",1,24,10,"positive",1333,0.0598858888539467
"178",1,24,11,"negative",10151,0.411738460290419
"179",1,24,11,"neutral",13163,0.533909304778129
"180",1,24,11,"positive",1340,0.0543522349314513
"181",1,24,12,"negative",11161,0.423422739861148
"182",1,24,12,"neutral",13842,0.525133730414659
"183",1,24,12,"positive",1356,0.0514435297241929
"184",1,24,13,"negative",11933,0.4294763361526
"185",1,24,13,"neutral",14445,0.519884829944214
"186",1,24,13,"positive",1407,0.0506388339031852
"187",1,24,14,"negative",11929,0.418928884986831
"188",1,24,14,"neutral",15097,0.530184372256365
"189",1,24,14,"positive",1449,0.0508867427568042
"190",1,24,15,"negative",13311,0.337551351625501
"191",1,24,15,"neutral",23976,0.608003245929908
"192",1,24,15,"positive",2147,0.054445402444591
"193",1,24,16,"negative",14071,0.355005550509638
"194",1,24,16,"neutral",23780,0.59995963265718
"195",1,24,16,"positive",1785,0.045034816833182
"196",1,24,17,"negative",12229,0.378349112059897
"197",1,24,17,"neutral",18642,0.576758863931687
"198",1,24,17,"positive",1451,0.0448920240084153
"199",1,24,18,"negative",10360,0.386293299526455
"200",1,24,18,"neutral",15117,0.56366754912562
"201",1,24,18,"positive",1342,0.050039151347925
"202",1,24,19,"negative",9662,0.363670581150256
"203",1,24,19,"neutral",15895,0.598276121650105
"204",1,24,19,"positive",1011,0.0380532971996387
"205",1,24,20,"negative",8499,0.358063700707786
"206",1,24,20,"neutral",14306,0.602713178294574
"207",1,24,20,"positive",931,0.0392231209976407
"208",1,24,21,"negative",13364,0.497413183459262
"209",1,24,21,"neutral",12405,0.46171883723527
"210",1,24,21,"positive",1098,0.0408679793054677
"211",1,24,22,"negative",11733,0.446291365538227
"212",1,24,22,"neutral",13407,0.509965766451122
"213",1,24,22,"positive",1150,0.0437428680106504
"214",1,24,23,"negative",11077,0.434733124018838
"215",1,24,23,"neutral",13312,0.522448979591837
"216",1,24,23,"positive",1091,0.042817896389325
"217",1,25,0,"negative",12620,0.453190648902934
"218",1,25,0,"neutral",14092,0.506050921104607
"219",1,25,0,"positive",1135,0.0407584299924588
"220",1,25,1,"negative",12488,0.422191419588221
"221",1,25,1,"neutral",16040,0.542276615166165
"222",1,25,1,"positive",1051,0.0355319652456134
"223",1,25,2,"negative",14674,0.492449157661588
"224",1,25,2,"neutral",14160,0.475199677830727
"225",1,25,2,"positive",964,0.0323511645076851
"226",1,25,3,"negative",15847,0.490133613757268
"227",1,25,3,"neutral",15540,0.480638376840282
"228",1,25,3,"positive",945,0.0292280094024496
"229",1,25,4,"negative",15078,0.410822298512343
"230",1,25,4,"neutral",18174,0.495177374529998
"231",1,25,4,"positive",3450,0.094000326957659
"232",1,25,5,"negative",15552,0.448417046306441
"233",1,25,5,"neutral",17123,0.493714318666744
"234",1,25,5,"positive",2007,0.0578686350268151
"235",1,25,6,"negative",15962,0.471509172008389
"236",1,25,6,"neutral",16158,0.477298909993206
"237",1,25,6,"positive",1733,0.0511919179984049
"238",1,25,7,"negative",14606,0.454845540607872
"239",1,25,7,"neutral",15927,0.495982810164425
"240",1,25,7,"positive",1579,0.049171649227703
"241",1,25,8,"negative",14274,0.431160514710324
"242",1,25,8,"neutral",17477,0.527910348577297
"243",1,25,8,"positive",1355,0.0409291367123784
"244",1,25,9,"negative",13928,0.43473375366752
"245",1,25,9,"neutral",16727,0.522098757725201
"246",1,25,9,"positive",1383,0.0431674886072789
"247",1,25,10,"negative",14305,0.447408751133769
"248",1,25,10,"neutral",16293,0.509586213367529
"249",1,25,10,"positive",1375,0.043005035498702
"250",1,25,11,"negative",15829,0.450673347948638
"251",1,25,11,"neutral",17929,0.510463229223016
"252",1,25,11,"positive",1365,0.0388634228283461
"253",1,25,12,"negative",17369,0.440658615790542
"254",1,25,12,"neutral",20395,0.517429470265882
"255",1,25,12,"positive",1652,0.0419119139435762
"256",1,25,13,"negative",19175,0.430976355299829
"257",1,25,13,"neutral",23479,0.527712847253439
"258",1,25,13,"positive",1838,0.041310797446732
"259",1,25,14,"negative",20685,0.397246067868871
"260",1,25,14,"neutral",29718,0.570720746672812
"261",1,25,14,"positive",1668,0.0320331854583165
"262",1,25,15,"negative",21392,0.391457902538108
"263",1,25,15,"neutral",31685,0.579812249528794
"264",1,25,15,"positive",1570,0.0287298479330979
"265",1,25,16,"negative",20938,0.432898463828643
"266",1,25,16,"neutral",25847,0.534393284677569
"267",1,25,16,"positive",1582,0.0327082514937871
"268",1,25,17,"negative",17949,0.443097659721536
"269",1,25,17,"neutral",21254,0.524686481682631
"270",1,25,17,"positive",1305,0.0322158585958329
"271",1,25,18,"negative",15771,0.464180598069225
"272",1,25,18,"neutral",17078,0.502648928655522
"273",1,25,18,"positive",1127,0.0331704732752531
"274",1,25,19,"negative",14907,0.482708373809986
"275",1,25,19,"neutral",14792,0.478984521727867
"276",1,25,19,"positive",1183,0.0383071044621462
"277",1,25,20,"negative",12630,0.464031155852745
"278",1,25,20,"neutral",13583,0.499044749797928
"279",1,25,20,"positive",1005,0.0369240943493276
"280",1,25,21,"negative",11988,0.463501391896072
"281",1,25,21,"neutral",12996,0.502474481905351
"282",1,25,21,"positive",880,0.0340241261985772
"283",1,25,22,"negative",12378,0.393865147802845
"284",1,25,22,"neutral",18087,0.575524230756992
"285",1,25,22,"positive",962,0.0306106214401629
"286",1,25,23,"negative",15656,0.411177644710579
"287",1,25,23,"neutral",21269,0.558593339636516
"288",1,25,23,"positive",1151,0.0302290156529047
"289",1,26,0,"negative",16520,0.416940083791833
"290",1,26,0,"neutral",22020,0.555751855030034
"291",1,26,0,"positive",1082,0.0273080611781334
"292",1,26,1,"negative",17860,0.416783347335014
"293",1,26,1,"neutral",23829,0.556076729207505
"294",1,26,1,"positive",1163,0.0271399234574816
"295",1,26,2,"negative",18221,0.403208674485506
"296",1,26,2,"neutral",25592,0.566319982296968
"297",1,26,2,"positive",1377,0.030471343217526
"298",1,26,3,"negative",18231,0.377359662195728
"299",1,26,3,"neutral",28661,0.593248054313628
"300",1,26,3,"positive",1420,0.0293922834906441
"301",1,26,4,"negative",17118,0.365238542288982
"302",1,26,4,"neutral",28517,0.60845352906034
"303",1,26,4,"positive",1233,0.0263079286506785
"304",1,26,5,"negative",17259,0.383652691948606
"305",1,26,5,"neutral",26504,0.589161072333615
"306",1,26,5,"positive",1223,0.0271862357177789
"307",1,26,6,"negative",16323,0.380179340864097
"308",1,26,6,"neutral",25460,0.592989402585303
"309",1,26,6,"positive",1152,0.0268312565505997
"310",1,26,7,"negative",16639,0.38213678746957
"311",1,26,7,"neutral",25729,0.59090073951587
"312",1,26,7,"positive",1174,0.0269624730145607
"313",1,26,8,"negative",17610,0.384397101196193
"314",1,26,8,"neutral",26769,0.584322884833668
"315",1,26,8,"positive",1433,0.0312800139701388
"316",1,26,9,"negative",17130,0.390169460641399
"317",1,26,9,"neutral",25499,0.580789905247813
"318",1,26,9,"positive",1275,0.0290406341107872
"319",1,26,10,"negative",18107,0.408929740960726
"320",1,26,10,"neutral",25008,0.564782402493281
"321",1,26,10,"positive",1164,0.0262878565459925
"322",1,26,11,"negative",19300,0.410297837964242
"323",1,26,11,"neutral",26612,0.565743319373286
"324",1,26,11,"positive",1127,0.0239588426624716
"325",1,26,12,"negative",20112,0.417347997509857
"326",1,26,12,"neutral",26920,0.558622120771944
"327",1,26,12,"positive",1158,0.0240298817181988
"328",1,26,13,"negative",23335,0.426927439716053
"329",1,26,13,"neutral",29991,0.548702843133668
"330",1,26,13,"positive",1332,0.0243697171502799
"331",1,26,14,"negative",26402,0.43830204027425
"332",1,26,14,"neutral",32403,0.537925195477862
"333",1,26,14,"positive",1432,0.0237727642478875
"334",1,26,15,"negative",29448,0.464142735554645
"335",1,26,15,"neutral",32376,0.510292217003436
"336",1,26,15,"positive",1622,0.0255650474419191
"337",1,26,16,"negative",28323,0.465478988282085
"338",1,26,16,"neutral",30842,0.506877906881194
"339",1,26,16,"positive",1682,0.0276431048367216
"340",1,26,17,"negative",24261,0.465215723873442
"341",1,26,17,"neutral",25729,0.493365292425695
"342",1,26,17,"positive",2160,0.0414189837008629
"343",1,26,18,"negative",19958,0.449970690354872
"344",1,26,18,"neutral",22871,0.51564684132209
"345",1,26,18,"positive",1525,0.0343824683230374
"346",1,26,19,"negative",19200,0.43573973628668
"347",1,26,19,"neutral",23378,0.530558518484897
"348",1,26,19,"positive",1485,0.0337017452284229
"349",1,26,20,"negative",20597,0.4617022707404
"350",1,26,20,"neutral",22654,0.507811974625092
"351",1,26,20,"positive",1360,0.0304857546345072
"352",1,26,21,"negative",21131,0.484489281210593
"353",1,26,21,"neutral",21505,0.493064312736444
"354",1,26,21,"positive",979,0.0224464060529634
"355",1,26,22,"negative",21865,0.519902035381396
"356",1,26,22,"neutral",19200,0.456534144949591
"357",1,26,22,"positive",991,0.0235638196690127
"358",1,26,23,"negative",24589,0.55670266476488
"359",1,26,23,"neutral",18604,0.421200389413389
"360",1,26,23,"positive",976,0.0220969458217302
"361",1,27,0,"negative",23541,0.549548287695217
"362",1,27,0,"neutral",18414,0.429862035156524
"363",1,27,0,"positive",882,0.0205896771482597
"364",1,27,1,"negative",24422,0.570754165790273
"365",1,27,1,"neutral",17496,0.408890135315151
"366",1,27,1,"positive",871,0.0203556988945757
"367",1,27,2,"negative",25161,0.569575551782682
"368",1,27,2,"neutral",18073,0.409122807017544
"369",1,27,2,"positive",941,0.0213016411997736
"370",1,27,3,"negative",26522,0.56510344533697
"371",1,27,3,"neutral",19285,0.410904906995078
"372",1,27,3,"positive",1126,0.0239916476679522
"373",1,27,4,"negative",23342,0.545743611325431
"374",1,27,4,"neutral",18516,0.432910149400295
"375",1,27,4,"positive",913,0.0213462392742746
"376",1,27,5,"negative",19882,0.535975198813856
"377",1,27,5,"neutral",16424,0.442755088286831
"378",1,27,5,"positive",789,0.0212697128993126
"379",1,27,6,"negative",17731,0.528463280877444
"380",1,27,6,"neutral",14989,0.446739389604196
"381",1,27,6,"positive",832,0.0247973295183596
"382",1,27,7,"negative",15834,0.532611255003532
"383",1,27,7,"neutral",13239,0.445322748831108
