,Year,Month,Sentiment,Count,Avg_Per
1,2020,1,negative,3936307,0.44322854
2,2020,1,neutral,4291158,0.512273238
3,2020,1,positive,391548,0.044498221
4,2020,2,negative,8409525,0.453560794
5,2020,2,neutral,8670434,0.480567605
6,2020,2,positive,1198749,0.065871601
7,2020,3,negative,16533099,0.445057613
8,2020,3,neutral,17214374,0.466088577
9,2020,3,positive,3189622,0.08885381
10,2020,4,negative,23045515,0.446145252
11,2020,4,neutral,23697251,0.462633946
12,2020,4,positive,4538478,0.091220803
13,2020,5,negative,32669339,0.471691736
14,2020,5,neutral,30880635,0.446799219
15,2020,5,positive,5584878,0.081509045
16,2020,6,negative,41515213,0.481248373
17,2020,6,neutral,37940992,0.432450535
18,2020,6,positive,7602628,0.086301091
19,2020,7,negative,50499007,0.46675827
20,2020,7,neutral,47824023,0.444408542
21,2020,7,positive,9504422,0.088833188
22,2020,8,negative,43885390,0.464684968
23,2020,8,neutral,41810620,0.444006704
24,2020,8,positive,8564701,0.091308329
25,2020,9,negative,40808582,0.465037886
26,2020,9,neutral,38031967,0.438390435
27,2020,9,positive,8253069,0.096571679
28,2020,10,negative,47612301,0.465252302
29,2020,10,neutral,44960691,0.441784831
30,2020,10,positive,9431132,0.092962867
31,2020,11,negative,38248734,0.444708081
32,2020,11,neutral,37608577,0.438828199
33,2020,11,positive,9956819,0.116463719
34,2020,12,negative,43253209,0.450462538
35,2020,12,neutral,41938124,0.440295242
36,2020,12,positive,10234207,0.10924222
