"Var1","Freq","Percentage"
"English",17997610,0.581646305426902
"Spanish; Castilian",5155080,0.166601745241736
"Portuguese",2138460,0.0691106962704055
"Bahasa",1612387,0.0521090823430648
"French",1227957,0.0396850833123455
"Thai",606585,0.0196035987099052
"Italian",495991,0.0160294246111008
"Japanese",242022,0.00782166088341895
"Turkish",218446,0.00705973231086156
"Tagalog",208131,0.00672637240138033
"German",192218,0.00621209646928388
"Catalan; Valencian",187292,0.00605289812569643
"Hindi",180107,0.00582069347716297
"Dutch; Flemish",90278,0.00291760212391145
"Arabic",51144,0.00165287050029162
"Korean",33290,0.00107586537921766
"Chinese",29616,0.00095712914000932
"Russian",27407,0.000885738733800494
"Lithuanian",24948,0.000806268833905744
"Tamil",24513,0.000792210514892236
"Urdu",20505,0.0006626800721195
"Polish",17743,0.00057341782587741
"Romanian; Moldavian; Moldovan",15940,0.000515148517414525
"Greek, Modern (1453-)",15530,0.000501898147769609
"Estonian",13619,0.000440138498034405
"Finnish",12357,0.000399353213907859
"Czech",11672,0.000377215401208427
"Swedish",10689,0.000345446832035373
"Persian",8347,0.000269758135185636
"Haitian; Haitian Creole",8317,0.000268788595943325
"Danish",8035,0.000259674927065603
"Marathi",6527,0.000210939421152108
"Slovenian",6065,0.00019600851682052
"Vietnamese",5335,0.000172416395257622
"Ukrainian",4520,0.000146077245841509
"Telugu",4121,0.000133182373918774
"Latvian",3583,0.000115795303506665
"Kannada",2996,9.68246523321151e-05
"Gujarati",2756,8.9068338393628e-05
"Norwegian",2514,8.12473885056534e-05
"Nepali",2451,7.92113560968005e-05
"Hungarian",2231,7.21014016531872e-05
"Malayalam",2142,6.92251019009982e-05
"Welsh",1921,6.20828294826413e-05
"Bengali",1642,5.30661145291499e-05
"Basque",1633,5.27752527564566e-05
"Sinhala; Sinhalese",1424,4.6020796035024e-05
"Oriya",900,2.9086177269327e-05
"Serbian",763,2.46586147294405e-05
"Icelandic",762,2.46262967546968e-05
"Bulgarian",480,1.55126278769744e-05
"Panjabi; Punjabi",453,1.46400425588946e-05
"Pushto; Pashto",296,9.56612052413421e-06
"Amharic",244,7.88558583746198e-06
"Burmese",145,4.68610633783601e-06
"Sindhi",116,3.74888507026881e-06
"Divehi; Dhivehi; Maldivian",81,2.61775595423943e-06
"Central Khmer",67,2.16530430782768e-06
"Armenian",49,1.58358076244114e-06
"Lao",38,1.22808304026047e-06
"Georgian",23,7.43313419105023e-07
"Tibetan",10,3.23179747436966e-07
"Uighur; Uyghur",9,2.9086177269327e-07
