"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","176302.542857143","237654.821133672","78686.5","12341178","All","70"
"2","Jan","38145.9","11162.3465120715","42231.5","381459","All","10"
"3","Feb","56735.0689655172","18928.7484642711","46793","1645317","All","29"
"4","Mar","322999.931034483","294766.98952598","97190","9366998","All","29"
"5","Apr","473702","216002.736876179","473702","947404","All","2"
"6","All_M","29986.0285714286","38069.23103344","12439","2099022","Org","70"
"7","Jan","6046.1","2043.57091875961","6102","60461","Org","10"
"8","Feb","11917.4482758621","3543.16451158532","11059","345606","Org","29"
"9","Mar","52383.1034482759","47011.0502232832","16043","1519110","Org","29"
"10","Apr","86922.5","38723.2886581189","86922.5","173845","Org","2"
"11","All_M","146316.514285714","199765.328719181","64888","10242156","RT","70"
"12","Jan","32099.8","9550.69752891844","35249","320998","RT","10"
"13","Feb","44817.6206896552","15884.9759305852","36640","1299711","RT","29"
"14","Mar","270616.827586207","247940.656774973","81906","7847888","RT","29"
"15","Apr","386779.5","177279.448218061","386779.5","773559","RT","2"
