"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1989.85714285714","971.963329702162","2057","69645","All","35"
"2","Feb","1258.25","892.208262309498","1454","5033","All","4"
"3","Mar","2128.63333333333","937.41296546191","2137","63859","All","30"
"4","Apr","753",NA,"753","753","All","1"
"5","All_M","744.742857142857","372.887882760011","662","26066","Org","35"
"6","Feb","441.5","294.698150655887","562.5","1766","Org","4"
"7","Mar","796.4","366.988076476419","718.5","23892","Org","30"
"8","Apr","408",NA,"408","408","Org","1"
"9","All_M","1245.11428571429","648.453217117408","1397","43579","RT","35"
"10","Feb","816.75","609.785959715921","891.5","3267","RT","4"
"11","Mar","1332.23333333333","627.235735442498","1499.5","39967","RT","30"
"12","Apr","345",NA,"345","345","RT","1"
