"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","371684.153846154","638326.585773674","154891","24159470","All","65"
"2","Jan","72487.7","22964.9391612035","82153","724877","All","10"
"3","Feb","106369.931034483","40156.0817097583","86126","3084728","All","29"
"4","Mar","782687.115384615","864847.833635366","290732","20349865","All","26"
"5","All_M","75567.3230769231","122494.967733641","33346","4911876","Org","65"
"6","Jan","13055.6","4073.78192292562","13671.5","130556","Org","10"
"7","Feb","27442.3793103448","9904.71589847769","23330","795829","Org","29"
"8","Mar","153288.115384615","166628.908345539","54182","3985491","Org","26"
"9","All_M","296116.830769231","516339.113482166","112423","19247594","RT","65"
"10","Jan","59432.1","19321.9791570233","67037","594321","RT","10"
"11","Feb","78927.5517241379","30812.3822728394","64432","2288899","RT","29"
"12","Mar","629399","699047.430741691","234551.5","16364374","RT","26"
