"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","141254.46875","212579.278746644","77442","9040286","All","64"
"2","Jan","38145.9","11162.3465120715","42231.5","381459","All","10"
"3","Feb","56735.0689655172","18928.7484642711","46793","1645317","All","29"
"4","Mar","280540.4","291356.221489262","93898","7013510","All","25"
"5","All_M","24002.890625","33414.2108021053","12228","1536185","Org","64"
"6","Jan","6046.1","2043.57091875961","6102","60461","Org","10"
"7","Feb","11917.4482758621","3543.16451158532","11059","345606","Org","29"
"8","Mar","45204.72","46211.8839815763","15725","1130118","Org","25"
"9","All_M","117251.578125","179302.350882862","63500","7504101","RT","64"
"10","Jan","32099.8","9550.69752891844","35249","320998","RT","10"
"11","Feb","44817.6206896552","15884.9759305852","36640","1299711","RT","29"
"12","Mar","235335.68","245311.318460292","80411","5883392","RT","25"
