"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","416824.014925373","680760.060715528","157064","27927209","All","67"
"2","Jan","72487.7","22964.9391612035","82153","724877","All","10"
"3","Feb","106369.931034483","40156.0817097583","86126","3084728","All","29"
"4","Mar","861343","882406.209562786","294726","24117604","All","28"
"5","All_M","84959.6716417911","132256.331218492","33504","5692298","Org","67"
"6","Jan","13055.6","4073.78192292562","13671.5","130556","Org","10"
"7","Feb","27442.3793103448","9904.71589847769","23330","795829","Org","29"
"8","Mar","170211.178571429","172177.617957403","55968.5","4765913","Org","28"
"9","All_M","331864.343283582","549040.517359714","120881","22234911","RT","67"
"10","Jan","59432.1","19321.9791570233","67037","594321","RT","10"
"11","Feb","78927.5517241379","30812.3822728394","64432","2288899","RT","29"
"12","Mar","691131.821428571","711125.47047157","235795","19351691","RT","28"
