"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","147881.363636364","216641.77167244","77160.5","9760170","All","66"
"2","Jan","34341.8","12236.7823366911","39508.5","343418","All","10"
"3","Feb","49356.6551724138","21255.1486254774","41430","1431343","All","29"
"4","Mar","295755.888888889","279825.89434632","97054","7985409","All","27"
"5","All_M","39184.1212121212","56103.1086544478","19716.5","2586152","Org","66"
"6","Jan","7009.5","2228.55604720984","7326.5","70095","Org","10"
"7","Feb","15426.6206896552","6568.6109610882","12523","447372","Org","29"
"8","Mar","76617.962962963","73060.4100314261","24378","2068685","Org","27"
"9","All_M","108697.242424242","160740.916579163","54467","7174018","RT","66"
"10","Jan","27332.3","10362.7979924986","31788","273323","RT","10"
"11","Feb","33930.0344827586","15002.9301625734","28385","983971","RT","29"
"12","Mar","219137.925925926","207043.142023389","72423","5916724","RT","27"
