"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","2175.48571428571","2857.04872790323","1052","76142","All","35"
"2","Feb","1011.66666666667","67.8920712111019","999","3035","All","3"
"3","Mar","2340.16129032258","3000.089410854","1303","72545","All","31"
"4","Apr","562",NA,"562","562","All","1"
"5","All_M","473.657142857143","285.575985855742","372","16578","Org","35"
"6","Feb","361.666666666667","12.4230967690561","355","1085","Org","3"
"7","Mar","491.677419354839","298.621654394182","413","15242","Org","31"
"8","Apr","251",NA,"251","251","Org","1"
"9","All_M","1701.82857142857","2665.29319086612","680","59564","RT","35"
"10","Feb","650","78.1728853247723","644","1950","RT","3"
"11","Mar","1848.48387096774","2802.35845757305","913","57303","RT","31"
"12","Apr","311",NA,"311","311","RT","1"
