"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","159684.558823529","225861.999929053","77417","10858550","All","68"
"2","Jan","34341.8","12236.7823366911","39508.5","343418","All","10"
"3","Feb","49356.6551724138","21255.1486254774","41430","1431343","All","29"
"4","Mar","313234.103448276","280946.545649364","97199","9083789","All","29"
"5","All_M","42595.0441176471","59172.7313101188","19954","2896463","Org","68"
"6","Jan","7009.5","2228.55604720984","7326.5","70095","Org","10"
"7","Feb","15426.6206896552","6568.6109610882","12523","447372","Org","29"
"8","Mar","82034.3448275862","74201.6149247998","24776","2378996","Org","29"
"9","All_M","117089.514705882","166922.133822348","55236","7962087","RT","68"
"10","Jan","27332.3","10362.7979924986","31788","273323","RT","10"
"11","Feb","33930.0344827586","15002.9301625734","28385","983971","RT","29"
"12","Mar","231199.75862069","207090.872959822","73164","6704793","RT","29"
