Tweet_ID,Language
1232457542103494657,pt
1232457542120247296,es
1232457542132883456,en
1232457542325821440,fr
1232457542334177281,und
1232457542342590464,en
1232457542451654659,es
1232457542539694080,en
1232457542569091072,en
1232457542715895809,es
1232457542942375936,en
1232457542950776832,pt
1232457543009484803,en
1232457543009501185,en
1232457543013687298,en
1232457543122685952,en
1232457543122743301,en
1232457543235948545,es
1232457543290507264,en
1232457543294672899,en
1232457543512756224,en
1232457543630258177,pt
1232457543789641728,en
1232457543915425793,en
1232457544108392450,en
1232457544162922496,pt
1232457544192315392,pt
1232457544213286914,fr
1232457544217444353,es
1232457544221614081,es
1232457544381038592,en
1232457544473305088,en
1232457544502611968,es
1232457544594944000,es
1232457544800591874,pt
1232457544909586432,es
1232457545018593280,es
1232457545035370496,pt
1232457545060507648,en
1232457545102479361,pl
1232457545114980352,en
1232457545127620608,en
1232457545303961601,en
1232457545396080643,en
1232457545429606400,it
1232457545630924800,en
1232457545647874053,en
1232457545698045953,ja
1232457545769336832,en
1232457546012577792,en
1232457546385903616,en
1232457546385981441,en
1232457546390069248,pt
1232457546432045056,es
1232457546457214976,en
1232457546813689857,en
1232457546859831296,en
1232457546910162944,es
1232457546931163136,ca
1232457547002470402,es
1232457547077963776,es
1232457547115900929,en
1232457547132522496,en
1232457547300229121,en
1232457547316989958,es
1232457547539369984,es
1232457547749064710,en
1232457547790962689,pt
1232457547933614080,en
1232457547975516160,pt
1232457547996520450,pt
1232457548176822273,ja
1232457548390793216,en
1232457548432674818,es
1232457548650860545,en
1232457548659228672,pt
1232457548709662720,es
1232457548814381057,en
1232457548977995777,pt
1232457548982173698,en
1232457548994732032,es
1232457549053456386,en
1232457549078810624,es
1232457549137379328,en
1232457549242224640,pt
1232457549284139008,en
1232457549305106432,es
1232457549359665152,es
1232457549401579520,en
1232457549422579712,es
1232457549703548928,en
1232457549779103745,en
1232457549913288704,en
1232457549963812864,es
1232457550164946944,en
1232457550517264389,en
1232457550546661376,pt
1232457550580219905,es
1232457550597148673,es
1232457550609756160,en
1232457675939569665,en
1232457675989901312,en
1232457676371587072,pt
1232457676426117120,es
1232457676816183296,en
1232457676962988033,en
1232457677072003072,en
1232457677181030400,pt
1232457677243965442,en
1232457677378224128,pt
1232457677432750080,en
1232457677566922753,en
1232457677713768449,en
1232457677847986177,pt
1232457677915160577,en
1232457677936050177,en
1232457677994725376,es
1232457678108020736,en
1232457678120636417,en
1232457678368018432,es
1232457678477131776,en
1232457678489714688,en
1232457678527459328,pt
1232457678808420353,en
1232457678988828672,es
1232457679093690369,es
1232457679127371783,en
1232457679169146880,en
1232457679303393283,en
1232457679508922369,en
1232457679609548800,pt
1232457679886405632,en
1232457679903186944,en
1232457679936745472,en
1232457679945093120,en
1232457679953522688,en
1232457680008015873,en
1232457680159031296,ja
1232457680314195968,fr
1232457680494592000,pt
1232457680498724864,es
1232457680683331584,es
1232457680708440065,es
1232457680754601984,en
1232457680763011072,en
1232457680779796480,en
1232457680943345665,en
1232457680993710080,es
1232457681123725312,es
1232457681165680641,pt
1232457681291530240,pt
1232457681392328705,es
1232457681459277824,es
1232457681606041604,pt
1232457681777987585,es
1232457681790808064,tr
1232457681832513539,en
1232457682197417984,en
1232457682323300352,es
1232457682340044801,pt
1232457682465902592,de
1232457682491076609,es
1232457682503651328,en
1232457682595893248,pt
1232457682616893442,es
1232457683413823489,en
1232457683623526400,en
1232457683648667648,es
1232457683669618689,en
1232457683678031873,es
1232457683762061313,en
1232457683791491072,es
1232457683984211969,en
1232457684105842689,es
1232457684105850881,es
1232457684160376834,en
1232457684172988416,es
1232457684290375680,en
1232457684760137728,en
1232457684768743429,es
1232457685187977216,pt
1232457685188001792,pt
1232457685271863297,es
1232457685272059904,es
1232457685490003968,en
1232457685506768896,en
1232457685737467904,en
1232457685930369025,es
1232457686064619521,es
1232457686244978688,en
1232457686660218881,en
1232457686744211456,en
1232457686752456709,en
1232457686760841216,en
1232457686903447552,en
1232457686916030464,en
1232457686924443648,pt
1232457686966386688,pt
1232457687213826049,es
1232457687247360000,pt
1232457817354694656,es
1232457817409216513,und
1232457817589567491,pt
1232457817627320321,en
1232457817736433665,en
1232457817736515584,es
1232457817799319552,en
1232457817837060096,es
1232457817841233920,en
1232457818227085314,en
1232457818495582208,en
1232457818579451904,en
1232457818805919744,en
1232457818894036992,en
1232457818906644480,en
1232457818910801921,en
1232457819049222144,en
1232457819170803713,en
1232457819175047168,es
1232457819195990022,en
1232457819229569024,en
1232457819384877056,es
1232457819393155072,en
1232457819653206022,es
1232457819816751104,en
1232457819925778433,es
1232457820055801860,es
1232457820085223424,es
1232457820122992641,en
1232457820127186944,en
1232457820169093120,pt
1232457820357808128,pt
1232457820387196929,es
1232457820542390273,es
1232457820647198720,es
1232457820827607040,es
1232457821091852290,en
1232457821200900096,en
1232457821314117633,en
