Tweet_ID,Language
1221221895732854797,en
1221221895896477699,en
1221221896106250241,en
1221221896139702274,en
1221221896319946752,en
1221221897079283712,en
1221221897079328769,en
1221221897305612289,en
1221221897389715456,en
1221221898446692352,en
1221221899641864193,en
1221221900027719681,en
1221221901483200512,en
1221221903387459587,en
1221221903626620928,en
1221221905023348740,en
1221221905220300800,en
1221221905601974274,en
1221221905757163520,en
1221221906067722240,en
1221221906151542787,en
1221221906243866625,en
1221221907896459265,en
1221221908269666309,en
1221221908986785792,en
1221221909641269249,en
1221221909892759553,en
1221221911159394304,en
1221221911813771265,en
1221221912275062785,en
1221221912455655424,en
1221221912568832005,en
1221221913113972737,en
1221221913294323712,en
1221221914498289665,en
1221221914808606720,en
1221221914980470785,en
1221221915102191616,en
1221221916054212609,en
1221221916490399744,en
1221221916738048000,en
1221221916926791681,en
1221221917144776705,en
1221221918403178506,en
1221221918516232192,en
1221221918558257152,en
1221221918629605376,en
1221221918675742720,en
1221221918872952837,en
1221221919338520581,en
1221221919719997441,en
1221221920537894913,en
1221221920550440961,en
1221221920642883584,en
1221221921015992320,en
1221221921045565440,en
1221221922056347649,en
1221221922068946944,en
1221221922135916544,en
1221221923025125376,en
1221221923150974976,en
1221221923314655233,en
1221221923339689984,en
1221221923419500545,en
1221221923771822083,en
1221221923817959429,en
1221221924119859200,en
1221221924413378561,en
1221221924786728962,en
1221221925109682177,en
1221221925244018689,en
1221221925730451458,en
1221221926003101696,en
1221221926183391232,en
1221221926359719938,en
1221221926460370944,en
1221221927525715968,en
1221221928431685633,en
1221221929299927040,en
1221221929673084933,en
1221221929899581441,en
1221221930025541635,en
1221221930264670208,en
1221221930306437121,en
1221221930709110785,en
1221221930742747141,en
1221221931506118656,en
1221221931942174720,en
1221221932105732096,en
1221221932206608384,en
1221221932240195586,en
1221221932399378432,en
1221221932411969536,en
1221221932609261569,en
1221221932760293376,en
1221221933502685184,en
1221221934349848579,en
1221221935100592128,en
1221221935343792131,en
1221221935347986432,en
1221221999701155840,en
1221222000355618816,en
1221222000766701568,en
1221222001613737985,en
1221222001634922496,en
1221222003245494273,en
1221222003467681792,en
1221222003610398725,en
1221222004214251520,en
1221222004872728576,en
1221222005049040897,en
1221222005208420352,en
1221222005774737419,en
1221222006147805184,en
1221222006684672001,en
1221222007045414913,en
1221222008505163776,en
1221222010128191489,en
1221222010853806080,en
1221222010925219840,en
1221222011101499395,en
1221222011244023810,en
1221222011323723776,en
1221222011831078913,en
1221222013576130560,en
1221222013693460480,en
1221222014129561600,en
1221222014494629895,en
1221222014729453568,en
1221222016491061250,en
1221222016696627200,en
