Tweet_ID,Language
1233904829510144000,en
1233904829568888832,es
1233904829656903680,fr
1233904829761773571,es
1233904829791166464,es
1233904829795205121,zh
1233904829870804993,en
1233904829900169216,fr
1233904829929488389,en
1233904830139314178,en
1233904830155853824,en
1233904830185451520,da
1233904830256762881,es
1233904830373982208,en
1233904830415945728,en
1233904830466293761,en
1233904830479060993,en
1233904830491643904,en
1233904830495805447,fr
1233904830638415873,es
1233904830726328320,en
1233904830739025922,en
1233904830789439488,es
1233904830852280322,cs
1233904830923649024,en
1233904830953000962,es
1233904831074652160,en
1233904831158530053,en
1233904831204659200,de
1233904831242362880,en
1233904831338864641,fr
1233904831372374016,it
1233904831582130177,es
1233904831586283526,en
1233904831649153024,es
1233904831733080065,und
1233904831942873089,en
1233904832060280834,es
1233904832131588098,de
1233904832152559619,en
1233904832399933446,es
1233904832433573889,en
1233904832513236993,es
1233904832605540354,en
1233904832609574912,en
1233904832626462721,en
1233904832668303362,en
1233904832722984964,en
1233904832798265344,en
1233904832890724352,en
1233904832982863872,en
1233904832987136000,es
1233904833234599936,en
1233904833242914816,en
1233904833297448965,en
1233904833410695168,en
1233904833612042241,en
1233904833675087874,en
1233904833825996801,ca
1233904833872252929,es
1233904833993809921,es
1233904834178191360,th
1233904834291601409,nl
1233904834316648448,en
1233904834341826560,en
1233904834396540934,en
1233904834421706757,es
1233904834425827330,es
1233904834518147072,es
1233904834719440896,en
1233904834803204096,en
1233904834882916352,en
1233904834895646720,pt
1233904835306631169,es
1233904835390562305,tr
1233904835436699655,en
1233904835503763457,en
1233904835621203970,hi
1233904835726061569,en
1233904835801571328,en
1233904835860123648,en
1233904835868622850,ca
1233904835931537411,es
1233904835935768583,en
1233904836002766848,ko
1233904836090957824,es
1233904836116123649,en
1233904836246220800,es
1233904836254584839,es
1233904836262928391,es
1233904836300738561,es
1233904836313264129,pt
1233904836443164672,es
1233904836569116672,en
1233904836707573760,es
1233904836715913217,en
1233904836762128384,en
1233904836766322688,en
1233904836816646148,en
1233904836904546305,en
1233904984145768449,es
1233904984162471938,en
1233904984250552323,es
1233904984334438401,pt
1233904984460161024,en
1233904984564985857,tl
1233904984573403137,en
1233904984573521920,fr
1233904984753725440,en
1233904984804093953,en
1233904984825008128,en
1233904984837754880,it
1233904984867119104,de
1233904984900734976,en
1233904984904945664,en
1233904984959455237,es
1233904984984473602,ja
1233904985034887173,en
1233904985206751232,en
1233904985416589317,fr
1233904985617858560,en
1233904985735356422,pt
1233904985848471553,en
1233904985907265536,it
1233904985957642245,en
1233904986226077697,fr
1233904986230284288,es
1233904986263826432,en
1233904986276257794,en
1233904986427449345,es
1233904986825773062,en
1233904986876260353,fr
1233904986880434178,es
1233904987010469888,en
1233904987119538177,es
1233904987174055936,en
1233904987241095168,en
1233904987345969152,it
1233904987476054016,es
1233904987551518727,en
1233904987576688643,en
1233904987606061057,fr
1233904988050644993,und
1233904988063223808,es
1233904988113362944,en
1233904988256186368,it
1233904988339855360,en
1233904988377632768,en
1233904988688146432,en
1233904988755255299,en
1233904989032022016,fr
1233904989032124416,en
1233904989258551299,es
1233904989350891520,en
1233904989409550336,en
1233904989447315458,es
1233904989506088960,pt
1233904989753331712,en
1233904989757739015,fr
1233904989761888259,es
1233904989912719360,en
1233904990198157312,es
1233904990231592963,en
1233904990478987264,zh
1233904990554656770,en
1233904990634356737,en
1233904990793748481,en
1233904990839660544,en
1233904990873214979,en
1233904990944669696,en
1233904990965514240,en
1233904991116709888,fr
1233904991204773888,en
1233904991255089153,pt
1233904991422832641,es
1233904991515095040,en
1233904991913553926,es
1233904991963713536,en
1233904992085520384,it
1233904992160972800,en
1233904992177795073,en
1233904992274219008,en
1233904992597217281,en
1233904992609689600,en
1233904992672768000,es
1233904992899227648,en
1233904992924454914,en
1233904993087950849,en
1233904993087959040,en
1233904993121505281,en
1233904993285046272,en
1233904993314332674,und
1233904993373167617,en
1233904993687785473,en
1233904993754894342,it
1233904993985540100,en
1233904994258169856,en
1233904994350456832,ca
1233904994576891905,en
1233904994866417664,en
1233905144632209410,en
1233905144762257408,in
1233905144791588864,en
1233905144846155776,in
1233905144875638786,es
1233905144905031680,en
1233905144930164736,en
1233905145056055296,fr
1233905145215406081,pt
1233905145483841537,en
1233905145487949825,pt
1233905145517244417,en
1233905145643257859,en
1233905145681006595,fr
1233905145886449664,en
1233905145970380800,en
1233905146049904640,en
1233905146196705280,es
