Tweet_ID,Language
1237891829548249088,en
1237891829602742272,en
1237891829669875714,en
1237891829837643776,en
1237891830148030471,pt
1237891830160687104,en
1237891830269620226,en
1237891830349352961,en
1237891830395457540,it
1237891830487764992,pl
1237891830554832898,es
1237891830647099395,th
1237891830668132352,en
1237891831049805824,th
1237891831183986690,tl
1237891831469240325,en
1237891831838306308,en
1237891832010248193,en
1237891832329035777,es
1237891832513626112,ja
1237891832807182338,ja
1237891832949833728,th
1237891833046290432,en
1237891833138577408,es
1237891833151143938,en
1237891833197236225,es
1237891833625100291,en
1237891833843167232,en
1237891833998409728,en
1237891834300395522,en
1237891834585550850,en
1237891834866577408,in
1237891834929504257,es
1237891835453816835,en
1237891835537719297,fr
1237891835629940739,en
1237891835948756992,en
1237891835978113025,en
1237891836313604100,en
1237891836330430464,es
1237891836540141568,en
1237891836577906690,es
1237891836875849728,en
1237891837462851585,en
1237891837488025601,es
1237891837513183232,en
1237891837936848902,tl
1237891838050062337,en
1237891838192668682,en
1237891838222012418,en
1237891838368874496,th
1237891838620471297,tl
1237891838708604936,en
1237891838754738176,en
1237891838888914944,en
1237891838914088961,en
1237891839094554624,en
1237891839102836736,es
1237891839371313155,en
1237891839643942912,nl
1237891839912374275,es
1237891840004616203,en
1237891840034004992,th
1237891840281440270,en
1237891840285671424,en
1237891840365309954,en
1237891840415653888,en
1237891840621203459,en
1237891840713445377,en
1237891840726028290,es
1237891840734449669,es
1237891840780587008,th
1237891840906375169,pt
1237891841124495364,en
1237891841183191043,en
1237891841464217600,ja
1237891841581658114,en
1237891841606832138,en
1237891841673949186,en
1237891841686515713,es
1237891841778839554,en
1237891842139516934,tl
1237891842185678850,en
1237891842936463363,es
1237891843196510215,th
1237891843490295808,es
1237891843544641536,ja
1237891843561377797,en
1237891843586543616,en
1237891844010176513,en
1237891844060536832,en
1237891844219875328,in
1237891844807278592,en
1237891844823900161,en
1237891844995833857,fr
1237891845264302080,en
1237891845532684291,ja
1237891845591429120,en
1237891846677774342,th
1237891846719717376,en
1237892161888112640,en
1237892162072662018,en
1237892162093584384,en
1237892162173337600,ja
1237892162198503424,th
1237892162231996417,en
1237892162450100230,en
1237892162458497032,es
1237892162462699520,en
1237892162710192128,in
1237892162953478147,in
1237892162999570433,en
1237892163918127104,en
1237892163985215489,en
1237892163993767936,en
1237892164014575624,es
1237892164098506753,en
1237892164207513601,th
1237892164635381760,en
1237892164732018688,en
1237892164983459841,en
1237892165209997314,en
1237892165323247616,pt
1237892165423861760,en
1237892165587456001,th
1237892165855875077,en
1237892166153695239,en
1237892166216634373,en
1237892166317305857,en
1237892166329851904,en
1237892166392807427,en
1237892166396940290,en
1237892166451486720,en
1237892166690541568,en
1237892167021944832,en
1237892167118422016,und
1237892167130959873,de
1237892167189684225,ar
1237892167479078912,en
1237892167860805633,en
1237892167881748488,es
1237892167890165761,es
1237892167978237957,es
1237892168271839232,en
1237892168385040388,en
1237892168406028291,en
1237892169009991680,en
1237892169240698886,es
1237892169400111109,es
1237892169576280067,en
1237892169785991170,en
1237892170138279937,en
1237892170176053248,en
1237892170184404992,en
1237892170524160001,en
1237892171048476675,en
1237892171287506945,es
1237892171421765632,en
1237892171618856966,en
1237892171946049536,en
1237892172076036096,in
1237892172160143360,en
1237892172273160193,en
1237892172344700928,en
1237892172499701764,en
1237892172503863299,en
1237892172503900160,en
1237892172617142273,pt
1237892172831023104,en
1237892173271457793,en
1237892173367894016,en
1237892173426618370,en
1237892173946695683,en
1237892174143877122,en
1237892174190014472,en
1237892174315802625,en
1237892174559109121,in
1237892174647181317,th
1237892174726873097,en
1237892174781517824,en
1237892174898802691,en
1237892174919819264,ja
1237892175184027650,pt
1237892175200837644,en
1237892175288926208,en
1237892175343415299,en
1237892175397965827,en
1237892175414747138,en
1237892175662206980,in
1237892175704150017,en
1237892176056467458,en
1237892176127770625,en
1237892176207581184,en
1237892177130213376,es
1237892177222496264,en
1237892177281159168,en
1237892177377685505,en
1237892177528672256,en
1237892177893572610,en
1237892177939689472,en
1237892402733449216,en
1237892402817335299,en
1237892403064762379,en
1237892403337392129,th
1237892403421315079,en
1237892403597467653,pt
1237892403677163521,es
1237892404075626506,en
1237892404230774787,en
1237892404276940807,th
1237892404323078144,ja
1237892404528603137,en
1237892404721659904,en
1237892404818014211,en
1237892404935454722,th
1237892404969000962,es
1237892404981592068,en
