Date_Created,Tweet_ID,Language
Thu Feb 27 00:12:04 +0000 2020,1232820658721050625,en
Thu Feb 27 00:12:18 +0000 2020,1232820716199981057,en
Thu Feb 27 00:12:19 +0000 2020,1232820721925140486,en
Thu Feb 27 00:13:24 +0000 2020,1232820996123582464,en
Thu Feb 27 00:13:25 +0000 2020,1232820999621664779,en
Thu Feb 27 00:13:32 +0000 2020,1232821027702366209,en
Thu Feb 27 00:14:24 +0000 2020,1232821244376047616,en
Thu Feb 27 00:14:30 +0000 2020,1232821271056068608,en
Thu Feb 27 00:14:37 +0000 2020,1232821299233214464,en
Thu Feb 27 00:15:24 +0000 2020,1232821498676731910,en
Thu Feb 27 00:15:30 +0000 2020,1232821522118647808,en
Thu Feb 27 00:16:10 +0000 2020,1232821691786637313,en
Thu Feb 27 00:16:20 +0000 2020,1232821734031708165,fr
Thu Feb 27 00:17:13 +0000 2020,1232821956681945088,en
Thu Feb 27 00:17:23 +0000 2020,1232821997970886656,en
Thu Feb 27 00:17:25 +0000 2020,1232822003737825281,en
Thu Feb 27 00:17:38 +0000 2020,1232822059937468417,en
Thu Feb 27 00:17:47 +0000 2020,1232822099791798279,en
Thu Feb 27 00:17:50 +0000 2020,1232822109379887104,en
Thu Feb 27 00:18:16 +0000 2020,1232822218805121024,en
Thu Feb 27 00:18:44 +0000 2020,1232822338690772995,en
Thu Feb 27 00:19:44 +0000 2020,1232822587320700929,en
Thu Feb 27 00:19:55 +0000 2020,1232822632635981824,en
Thu Feb 27 00:20:19 +0000 2020,1232822734922625024,fr
Thu Feb 27 00:20:56 +0000 2020,1232822889000263681,en
Thu Feb 27 00:21:59 +0000 2020,1232823152897429505,en
Thu Feb 27 00:22:46 +0000 2020,1232823351178981376,en
Thu Feb 27 00:22:50 +0000 2020,1232823370376470537,en
Thu Feb 27 00:23:04 +0000 2020,1232823428744466433,en
Thu Feb 27 00:24:00 +0000 2020,1232823662140706816,en
Thu Feb 27 00:24:16 +0000 2020,1232823730436337664,en
Thu Feb 27 00:24:31 +0000 2020,1232823793401262082,en
Thu Feb 27 00:25:43 +0000 2020,1232824093411549185,en
Thu Feb 27 00:26:36 +0000 2020,1232824318398066689,en
Thu Feb 27 00:27:46 +0000 2020,1232824611399585792,en
Thu Feb 27 00:29:00 +0000 2020,1232824919840288769,en
Thu Feb 27 00:31:03 +0000 2020,1232825437270626304,en
Thu Feb 27 00:33:07 +0000 2020,1232825958488428545,en
Thu Feb 27 00:33:45 +0000 2020,1232826115128950785,en
Thu Feb 27 00:34:23 +0000 2020,1232826275359854592,en
Thu Feb 27 00:34:29 +0000 2020,1232826302463299585,en
Thu Feb 27 00:34:54 +0000 2020,1232826404947058688,en
Thu Feb 27 00:36:48 +0000 2020,1232826885131898881,en
Thu Feb 27 00:36:51 +0000 2020,1232826897962328064,en
Thu Feb 27 00:39:06 +0000 2020,1232827461118971906,en
Thu Feb 27 00:39:12 +0000 2020,1232827488415383552,en
Thu Feb 27 00:40:08 +0000 2020,1232827720280788992,en
Thu Feb 27 00:41:07 +0000 2020,1232827967954227200,in
Thu Feb 27 00:41:36 +0000 2020,1232828090214055937,en
Thu Feb 27 00:43:45 +0000 2020,1232828631065382912,en
Thu Feb 27 00:44:31 +0000 2020,1232828827426050049,en
Thu Feb 27 00:46:20 +0000 2020,1232829282122190848,ko
Thu Feb 27 00:46:29 +0000 2020,1232829322249023495,en
Thu Feb 27 00:46:32 +0000 2020,1232829333942734848,en
Thu Feb 27 00:46:55 +0000 2020,1232829430206226437,en
Thu Feb 27 00:47:43 +0000 2020,1232829630077227008,en
Thu Feb 27 00:49:09 +0000 2020,1232829992603734022,zh
Thu Feb 27 00:49:34 +0000 2020,1232830096651714560,en
Thu Feb 27 00:49:42 +0000 2020,1232830130076233728,en
Thu Feb 27 00:50:21 +0000 2020,1232830292261367808,en
Thu Feb 27 00:51:31 +0000 2020,1232830586017865729,en
Thu Feb 27 00:53:39 +0000 2020,1232831124813991937,en
Thu Feb 27 00:53:41 +0000 2020,1232831133022162944,en
Thu Feb 27 00:54:22 +0000 2020,1232831305965961216,en
Thu Feb 27 00:54:43 +0000 2020,1232831394100977670,en
Thu Feb 27 00:55:32 +0000 2020,1232831597751095296,en
Thu Feb 27 00:55:35 +0000 2020,1232831611420454912,en
Thu Feb 27 00:56:01 +0000 2020,1232831719088128001,en
Thu Feb 27 00:56:15 +0000 2020,1232831778177437704,en
Thu Feb 27 00:57:45 +0000 2020,1232832154893082625,en
Thu Feb 27 00:58:47 +0000 2020,1232832414302527490,en
Thu Feb 27 01:00:03 +0000 2020,1232832734063742977,en
Thu Feb 27 01:00:05 +0000 2020,1232832744411009024,en
Thu Feb 27 01:00:11 +0000 2020,1232832766418587648,en
Thu Feb 27 01:01:25 +0000 2020,1232833080542494720,en
