Tweet_ID,Language
1233180062809313286,en
1233180262701379586,el
1233180413390094338,fr
1233180934465146881,en
1233181843517628417,en
1233181988422438913,en
1233182231234891776,en
1233182357303242752,en
1233182933516738566,es
1233183036856000512,en
1233183384601366528,en
1233183536783511555,en
1233183931123539968,en
1233183955828039680,en
1233183996420317185,en
1233184029794537474,en
1233184040477323265,en
1233184135440502784,en
1233184278017478658,en
1233184443944329217,en
1233184453821943810,en
1233184526597283841,en
1233184561590390790,en
1233184679701946370,en
1233184858589081600,it
1233184915300241414,it
1233185156774625280,en
1233185195462987781,en
1233185407208173568,en
1233185453534142466,en
1233185466482143233,en
1233186638156550144,en
1233186836115263488,en
1233187044496510976,en
1233187087186354176,en
1233187212520382464,en
1233187493257678848,und
1233187623277072384,en
1233187880077365248,en
1233188014249172992,en
1233188065662971904,en
1233188398434672640,und
1233188555788357632,en
1233188641603833856,en
1233188760076062721,en
1233189331931664385,tr
1233189575482318850,en
1233190092744691713,en
1233190188937027587,en
1233190289722028033,en
1233190774537256963,en
1233190801275936768,en
1233190933631365120,en
1233191237672267777,en
1233192113438941186,en
1233192118136389632,en
1233192473704316928,en
1233192574942187520,en
1233193192142626816,en
1233193973331611648,en
1233194882572775425,en
1233195396438134790,en
1233195527488983041,en
1233195902841606144,en
1233195934726516736,en
1233196160262852608,en
1233196171247726594,en
1233196573934411777,en
1233196667534376960,en
1233196825768857602,en
1233196979225792513,en
1233197439210967043,tl
1233198052585852928,en
1233198139198332934,en
1233198510196965377,en
1233198825000644608,en
1233199108606889986,en
1233199380154462209,en
1233199586732150785,en
1233199730500472832,en
1233199784057376769,th
1233200531780198400,en
1233200765080088576,en
1233200845811929088,en
1233201055665655809,en
1233201135999209472,en
1233201190743109633,en
1233201822250098688,en
1233201956597796866,en
1233202055713562624,en
1233202096280887296,en
1233202406235590656,en
1233202734834311168,en
1233203519601172481,en
1233203710685274112,en
1233203719602307072,en
1233203961001201664,en
1233204430364868608,en
1233205131824386048,en
1233205143971209217,en
1233205144474406912,en
1233205295494705152,en
1233206252177543168,en
1233207571189600256,en
1233207845367107584,en
1233208475594915843,en
1233208613973323776,en
1233208775869333504,en
1233208913341771776,tl
1233209197703106560,en
1233209505107693568,en
1233209670040477696,en
1233209677296652289,en
1233209705570459648,en
1233209731730300929,und
1233209735735914497,en
1233209784003895297,en
1233209867336327171,en
1233209912814997505,en
1233209985506529280,en
1233210012115271682,en
1233210079983235072,en
1233210202964582405,en
1233210248028131328,en
1233210307180363777,en
1233210571216080903,en
1233210740082958336,zh
1233210924514889729,en
1233210964155281408,en
1233211150227136512,en
1233211589370597376,en
1233211624296718336,en
1233211902051913728,en
1233211943114223616,en
1233212012282490880,en
1233212164598423553,en
1233212170600665088,en
1233212222748418048,en
1233212265370914816,en
1233212288217337857,en
1233212333335470080,en
1233212637929988096,ko
1233212841324232705,und
1233212898836500481,en
1233212923268325376,en
1233212988774989825,en
1233213011898200064,en
1233213071306391552,en
1233213095008325633,en
1233213336398987264,en
1233213645103845376,en
1233213659427614720,en
1233213990953717760,en
1233214000487206912,en
1233214183627513856,en
1233214984974471168,en
1233215266923802624,en
1233215472545488896,en
1233216538863226881,en
1233216558408896512,en
1233216685647290370,en
1233216982377549824,en
1233217367632678917,fr
1233217740233592833,en
1233217784764604421,en
1233217877664292864,fr
1233218073869467648,en
1233218474773753859,en
1233218484198428672,en
1233218766210818048,en
1233219059170390017,en
1233219440117981184,en
1233219526021398530,en
1233219723866722304,en
1233219758826196998,en
1233219930973184000,en
1233220166437068800,en
1233220204093534209,en
1233220214738821123,en
1233220716981411840,en
1233221001615331329,en
1233221098503917568,und
1233221376238116864,und
1233221386266718212,en
1233221471624933376,en
1233221480625954816,und
1233221649660600321,und
1233221669919109120,en
1233221755025620992,und
1233221759442112512,en
1233222164427333635,en
1233222430069547008,und
1233222466945732608,en
1233222534637793280,fr
1233222571669082113,en
1233222719120035846,en
1233222938788290561,en
1233222996564701184,en
1233223047416623104,en
1233223631846592515,en
1233223703195836416,en
1233223783554715649,en
1233223814537863169,en
1233223926613856256,en
1233224191673085953,und
1233224456794988546,en
1233224518455513088,und
1233224557579898884,en
1233224663007989760,en
1233224765881638912,und
1233224827915423744,en
1233224892016840706,en
1233225098728853505,en
1233225393655681024,en
1233225780110299136,en
1233225822170828800,en
1233225956061581313,en
1233225987850211328,en
1233226110344859649,und
1233226124672430082,en
1233226495826391045,en
1233227070009987075,si
1233227653181845505,en
1233227930165284864,und
1233228220452892672,en
1233228657922994176,en
1233229032352669697,en
1233229455629275136,en
1233229788082388993,en
1233229834383286274,en
1233230170624053249,en
