Date_Created,Tweet_ID,Language
Wed Apr 01 16:18:37 +0000 2020,1245385085311803392,es
Wed Apr 01 21:15:37 +0000 2020,1245459831277916163,es
Wed Apr 01 21:31:40 +0000 2020,1245463868370898945,en
Wed Apr 01 04:03:52 +0000 2020,1245200180250640386,en
Wed Apr 01 09:07:26 +0000 2020,1245276574640791552,tl
Wed Apr 01 16:07:34 +0000 2020,1245382306258284544,en
Wed Apr 01 21:56:06 +0000 2020,1245470018093158401,en
Wed Apr 01 15:36:57 +0000 2020,1245374602332852225,en
Wed Apr 01 16:28:05 +0000 2020,1245387469543157760,en
Wed Apr 01 16:35:10 +0000 2020,1245389250771722241,en
Wed Apr 01 17:39:38 +0000 2020,1245405473735491585,es
Wed Apr 01 02:05:18 +0000 2020,1245170342399746048,en
Wed Apr 01 22:44:54 +0000 2020,1245482299728097280,und
Wed Apr 01 09:52:35 +0000 2020,1245287939707289600,en
Wed Apr 01 14:38:33 +0000 2020,1245359906317914113,und
Wed Apr 01 15:40:26 +0000 2020,1245375477176401922,en
Wed Apr 01 05:37:36 +0000 2020,1245223770286993412,und
Wed Apr 01 00:28:27 +0000 2020,1245145969261453312,en
Wed Apr 01 20:20:46 +0000 2020,1245446027102093313,en
Wed Apr 01 17:39:05 +0000 2020,1245405336690819073,en
Wed Apr 01 15:39:07 +0000 2020,1245375147910955008,en
Wed Apr 01 10:44:04 +0000 2020,1245300894712975360,de
Wed Apr 01 07:58:17 +0000 2020,1245259171831955456,en
Wed Apr 01 05:37:02 +0000 2020,1245223627399655425,en
Wed Apr 01 14:30:05 +0000 2020,1245357773262434310,tl
Wed Apr 01 13:09:10 +0000 2020,1245337410407485440,en
Wed Apr 01 03:11:12 +0000 2020,1245186925599666177,en
Wed Apr 01 14:09:42 +0000 2020,1245352643058257920,en
Wed Apr 01 12:32:45 +0000 2020,1245328246373310475,es
Wed Apr 01 14:36:59 +0000 2020,1245359508148203521,tl
Wed Apr 01 22:38:34 +0000 2020,1245480706089922562,en
Wed Apr 01 16:11:59 +0000 2020,1245383416213725190,en
Wed Apr 01 11:49:19 +0000 2020,1245317315698348032,en
Wed Apr 01 05:01:47 +0000 2020,1245214756560154625,tr
Wed Apr 01 03:41:12 +0000 2020,1245194478463455234,en
Wed Apr 01 16:11:02 +0000 2020,1245383178350669825,en
Wed Apr 01 22:30:45 +0000 2020,1245478735270129664,en
Wed Apr 01 22:46:39 +0000 2020,1245482737688924161,und
Wed Apr 01 00:40:18 +0000 2020,1245148951621316614,en
Wed Apr 01 14:21:33 +0000 2020,1245355627729186822,und
Wed Apr 01 23:34:00 +0000 2020,1245494653337473024,ko
Wed Apr 01 00:15:05 +0000 2020,1245142606566342656,en
Wed Apr 01 23:48:17 +0000 2020,1245498248355352591,en
Wed Apr 01 18:06:25 +0000 2020,1245412213537542144,en
Wed Apr 01 04:14:27 +0000 2020,1245202844111663106,und
Wed Apr 01 21:53:32 +0000 2020,1245469373403287553,en
Wed Apr 01 16:18:52 +0000 2020,1245385148201226247,es
Wed Apr 01 10:44:30 +0000 2020,1245301002057789440,de
Wed Apr 01 05:48:46 +0000 2020,1245226578507747328,en
Wed Apr 01 05:34:46 +0000 2020,1245223055758155778,en
Wed Apr 01 10:05:31 +0000 2020,1245291194961268737,en
Wed Apr 01 15:07:22 +0000 2020,1245367155262017536,tl
Wed Apr 01 22:48:02 +0000 2020,1245483085145059329,ko
Wed Apr 01 02:37:09 +0000 2020,1245178360092712960,en
Wed Apr 01 14:43:54 +0000 2020,1245361251825274881,tl
Wed Apr 01 20:06:21 +0000 2020,1245442398093787136,en
Wed Apr 01 04:47:18 +0000 2020,1245211109667135489,tl
Wed Apr 01 23:26:20 +0000 2020,1245492725589442562,en
Wed Apr 01 21:51:44 +0000 2020,1245468918191456256,de
Wed Apr 01 10:18:06 +0000 2020,1245294360943644674,tr
Wed Apr 01 19:36:10 +0000 2020,1245434802548826112,en
Wed Apr 01 21:34:31 +0000 2020,1245464584284073984,en
Wed Apr 01 17:01:34 +0000 2020,1245395896084213761,en
Wed Apr 01 12:58:02 +0000 2020,1245334607253258242,en
Wed Apr 01 14:41:00 +0000 2020,1245360520204414976,en
Wed Apr 01 15:35:10 +0000 2020,1245374153974136833,en
Wed Apr 01 15:11:18 +0000 2020,1245368144526331905,und
Wed Apr 01 22:46:27 +0000 2020,1245482690024837120,ko
Wed Apr 01 16:14:49 +0000 2020,1245384132265308160,en
Wed Apr 01 19:10:39 +0000 2020,1245428382268981248,en
Wed Apr 01 22:17:17 +0000 2020,1245475346331234304,en
Wed Apr 01 07:58:44 +0000 2020,1245259286021881857,en
Wed Apr 01 02:03:51 +0000 2020,1245169977293824000,ru
Wed Apr 01 06:30:00 +0000 2020,1245236955488694279,zh
Wed Apr 01 13:10:34 +0000 2020,1245337764062789633,en
Wed Apr 01 08:13:38 +0000 2020,1245263037289975808,de
Wed Apr 01 02:18:18 +0000 2020,1245173612438487040,en
Wed Apr 01 16:28:37 +0000 2020,1245387602343022593,en
Wed Apr 01 11:36:02 +0000 2020,1245313973722820610,en
Wed Apr 01 13:52:51 +0000 2020,1245348404772745217,en
Wed Apr 01 11:15:32 +0000 2020,1245308814376587266,in
Wed Apr 01 01:57:04 +0000 2020,1245168268798824449,en
Wed Apr 01 01:24:39 +0000 2020,1245160110923616269,tr
