Date_Created,Tweet_ID,Language
Sun Mar 01 00:00:29 +0000 2020,1233904906190413824,en
Sun Mar 01 00:00:42 +0000 2020,1233904963413270531,fr
Sun Mar 01 00:01:00 +0000 2020,1233905036658380807,en
Sun Mar 01 00:01:27 +0000 2020,1233905149778841604,en
Sun Mar 01 00:03:09 +0000 2020,1233905579514617860,en
Sun Mar 01 00:03:29 +0000 2020,1233905661173358592,en
Sun Mar 01 00:07:36 +0000 2020,1233906700396134400,en
Sun Mar 01 00:08:06 +0000 2020,1233906823754911746,en
Sun Mar 01 00:08:32 +0000 2020,1233906932156633089,nl
Sun Mar 01 00:09:31 +0000 2020,1233907179746451462,en
Sun Mar 01 00:12:09 +0000 2020,1233907845424238593,en
Sun Mar 01 00:12:32 +0000 2020,1233907940148629504,en
Sun Mar 01 00:13:00 +0000 2020,1233908056905437185,en
Sun Mar 01 00:13:01 +0000 2020,1233908060143243264,en
Sun Mar 01 00:13:36 +0000 2020,1233908206780502017,zh
Sun Mar 01 00:13:45 +0000 2020,1233908247507165184,en
Sun Mar 01 00:14:26 +0000 2020,1233908418395525126,en
Sun Mar 01 00:14:34 +0000 2020,1233908451434168320,en
Sun Mar 01 00:14:43 +0000 2020,1233908489241665536,en
Sun Mar 01 00:15:00 +0000 2020,1233908559747993606,en
Sun Mar 01 00:15:10 +0000 2020,1233908604677345285,en
Sun Mar 01 00:15:18 +0000 2020,1233908638273736713,en
Sun Mar 01 00:15:20 +0000 2020,1233908644212666368,en
Sun Mar 01 00:15:21 +0000 2020,1233908649531183104,en
Sun Mar 01 00:15:48 +0000 2020,1233908761472962560,en
Sun Mar 01 00:15:50 +0000 2020,1233908772361338880,en
Sun Mar 01 00:15:53 +0000 2020,1233908785133039618,en
Sun Mar 01 00:16:18 +0000 2020,1233908889969709061,en
Sun Mar 01 00:16:58 +0000 2020,1233909056307417089,en
Sun Mar 01 00:17:13 +0000 2020,1233909117300830209,zh
Sun Mar 01 00:18:14 +0000 2020,1233909372985716737,en
Sun Mar 01 00:18:20 +0000 2020,1233909399611158528,en
Sun Mar 01 00:18:50 +0000 2020,1233909525507379200,en
Sun Mar 01 00:19:21 +0000 2020,1233909656940142592,und
Sun Mar 01 00:20:03 +0000 2020,1233909832207323137,tr
Sun Mar 01 00:20:16 +0000 2020,1233909886515400704,en
Sun Mar 01 00:20:43 +0000 2020,1233910001661599750,en
Sun Mar 01 00:21:00 +0000 2020,1233910071148544001,en
Sun Mar 01 00:21:18 +0000 2020,1233910145601568768,en
Sun Mar 01 00:21:23 +0000 2020,1233910165721636865,en
Sun Mar 01 00:22:14 +0000 2020,1233910382290300929,en
Sun Mar 01 00:23:11 +0000 2020,1233910618912104450,en
Sun Mar 01 00:25:08 +0000 2020,1233911111625433094,en
Sun Mar 01 00:26:45 +0000 2020,1233911517654863872,en
Sun Mar 01 00:27:11 +0000 2020,1233911625838546945,en
Sun Mar 01 00:29:08 +0000 2020,1233912117708779520,in
Sun Mar 01 00:29:28 +0000 2020,1233912201485987840,en
Sun Mar 01 00:32:00 +0000 2020,1233912840408510464,en
Sun Mar 01 00:32:08 +0000 2020,1233912870720745474,en
Sun Mar 01 00:33:04 +0000 2020,1233913107250065409,en
Sun Mar 01 00:33:22 +0000 2020,1233913182999048193,en
Sun Mar 01 00:35:35 +0000 2020,1233913739126153216,en
Sun Mar 01 00:36:04 +0000 2020,1233913861662806018,en
Sun Mar 01 00:38:14 +0000 2020,1233914409682006017,en
Sun Mar 01 00:38:16 +0000 2020,1233914414933217280,en
Sun Mar 01 00:38:34 +0000 2020,1233914491085021184,en
Sun Mar 01 00:38:49 +0000 2020,1233914553378856961,ja
