Tweet_ID,Language
1230645358344069121,en
1230645361888374786,en
1230645365587599361,in
1230645367097548801,en
1230645369043931137,en
1230645370180579328,pt
1230645370536882176,en
1230645373640695808,en
1230645373850525700,en
1230645375486185472,in
1230645381488349185,es
1230645386479636482,en
1230645391705722881,ja
1230645392045486083,es
1230645392301158400,hi
1230645392892551168,en
1230645403365892096,en
1230645403747356673,en
1230645408516407296,es
1230645411527847936,en
1230645412916150273,ja
1230645413033730051,en
1230645414514155528,pt
1230645415063826433,en
1230645417634746368,en
1230645418360328192,in
1230645425499230208,pt
1230645427923488768,en
1230645428011577345,es
1230645428980305920,en
1230645439881302016,en
1230645442276405248,en
1230645448777633793,en
1230645449188691968,en
1230645450455343109,es
1230645458168668160,nl
1230645460139855873,en
1230645461121323014,en
1230645462820098049,pt
1230645464304881666,en
1230645471565295616,pt
1230645472425119744,en
1230645472639012864,es
1230645484517281795,en
1230645486878674945,en
1230645488745009152,en
1230645491312013312,en
1230645492125753355,en
1230645496504438784,en
1230645499956539393,en
1230645500652720128,es
1230645500996734981,en
1230645512031948806,en
1230645516368740352,en
1230645520198242304,en
1230645521104154626,es
1230645523343904772,en
1230645527936548864,in
1230645530105143302,en
1230645532353269761,en
1230645538384687106,ar
1230645538816757760,en
1230645545078792192,en
1230645545418547200,en
1230645545762340865,en
1230645545988837376,en
1230645547159126016,es
1230645547716857856,en
1230645551005229056,en
1230645554948067333,es
1230645557615616001,en
1230645562329821184,en
1230645564296982529,en
1230645567413309440,en
1230645571460960256,en
1230645572840951808,pt
1230645583527976960,pt
1230645584572403714,en
1230645588632322048,en
1230645590259912704,es
1230645596341452802,en
1230645597830631424,en
1230645609314443268,en
1230645614716837888,es
1230645625840005120,en
1230645630147624962,en
1230645630659432448,en
1230645631976259584,en
1230645633272422400,en
1230645635734523906,en
1230645636527280128,en
1230645648174854145,en
1230645649143521280,en
1230645650359894016,en
1230645652515848193,pt
1230645665237209088,en
1230645667086950407,es
1230645671193169922,en
1230645675760799745,en
1230645680990896133,en
1230645685684338688,ja
1230645688851222528,fr
1230645691296468993,es
1230645695096348672,in
1230645705766776832,es
1230645708471988225,en
1230645708631367680,en
1230645716181278720,pt
1230645716781076480,und
1230645718605385728,en
1230645721164062721,en
1230645722531291136,en
1230645726000009216,en
1230645729091256320,en
1230645729858924544,es
1230645729993142272,und
1230645731448373249,ja
1230645731729530880,en
1230645732635377664,ja
1230645732866248704,en
1230645744039845888,en
1230645744803176453,en
1230645745335750656,en
1230645746510127105,en
1230645747571400704,es
1230645748644990981,en
1230645750918504449,en
1230645759072186374,en
1230645762708713472,es
1230645763249704961,en
1230645764965093376,tl
1230645765283823616,en
1230645765447483392,en
1230645767066542081,es
1230645770547798016,en
1230645770895925249,fr
1230645775245266944,en
1230645783361466373,pt
1230645783705161728,en
1230645786582626306,es
1230645787539001344,en
1230645791045431303,en
1230645792802844673,en
1230645796120514561,en
1230645796464295937,en
1230645797252927490,en
1230645800352399360,en
1230645802869153797,en
1230645805154852864,en
1230645808216727552,en
1230645810825748485,en
1230645810892824576,es
1230645811157065728,pt
1230645814026022921,pt
1230645814185398273,pt
1230645814520877062,en
1230645816202797061,en
1230645817855352832,en
1230645824352333825,pt
1230645826495512576,es
1230645826759909376,en
1230645828433448962,en
1230645829414903809,en
1230645831990038531,in
1230645833005174784,en
1230645834150240256,en
1230645836700405761,en
1230645837266477056,en
1230645838218698753,en
1230645839678377984,pt
1230645843621040128,pt
1230645844522741762,pt
1230645846150004736,en
1230645847014043648,in
1230645849790832641,ca
1230645850617110530,ar
1230645851216846848,pt
1230645857944526849,fr
1230645858024202240,en
1230645859651670016,pt
1230645859953471489,tl
1230645865838206976,und
1230645866534445061,es
1230645868308639744,en
1230645868535087104,en
1230645870334443520,es
1230645873971023873,pt
1230645879528251394,en
1230645880358764544,en
1230645881835327488,en
1230645886499393536,es
1230645887279476738,es
1230645898268545025,pt
1230645899602194432,in
1230645900265041920,fr
1230645901313658880,en
1230645901405933570,en
1230645903356235776,en
1230645914768822273,ja
1230645916161331200,es
1230645920259133443,en
1230645923400888320,en
1230645928433942528,en
1230645931848032256,en
1230645932364107778,en
1230645936273154048,en
1230645943072108544,en
1230645944997306369,es
1230645951850831873,en
1230645952928796672,en
1230645953322999808,pt
1230645954329620481,in
1230645955885662210,pt
1230645959182282752,en
1230645960637849600,en
1230645965461192704,en
1230645972084166657,en
1230645972503420928,en
1230645983064793088,es
1230645983786172416,en
1230645983878336512,ja
1230645989834252288,en
1230645990912380929,en
1230645992334086144,en
1230645993072463875,pt
1230646002769629184,pt
1230646009753198592,en
1230646011590258695,es
1230646013804724224,en
1230646013943255042,en
1230646015218372609,en
1230646019643379712,es
1230646021186826240,es
1230646025196638209,en
1230646025460703233,en
1230646028891611136,en
1230646029034381313,und
1230646029344624641,zh
1230646041734713344,en
1230646042904924160,pt
1230646043991252992,en
1230646045593526273,pt
1230646052157612032,en
1230646054367842304,en
1230646057920552960,es
1230646058956574720,en
1230646060017647617,pt
1230646062165241865,en
1230646062798589955,en
1230646063712919553,en
1230646066850287616,en
1230646068225789952,in
1230646071069696001,en
1230646072042606592,en
1230646074886352896,en
1230646077688176641,en
1230646088035491841,in
1230646090447220737,en
1230646105882234882,en
1230646106385723392,en
1230646106687725569,en
1230646107262222336,en
1230646107581173762,en
1230646109405696001,es
1230646110722588680,pt
1230646114371674112,fr
1230646117081210880,pt
1230646118851190785,en
1230646120776454144,en
1230646126929420289,en
1230646127822811139,fr
1230646133879263233,ja
1230646135242424320,en
1230646136580575234,en
1230646141315878915,fr
1230646141722775552,en
1230646141747896321,en
1230646145342271488,en
1230646145371779085,fr
1230646145980010497,en
1230646149435969536,en
1230646151294193664,zh
1230646154594897921,en
1230646154620067840,in
1230646157430394880,pt
1230646159695400963,en
1230646161364504577,en
1230646165638721538,en
1230646166217515014,pt
1230646168167821312,es
1230646170357125122,en
1230646176443035648,en
1230646176682332163,fr
1230646178808770562,es
1230646184168964096,en
1230646185138020352,en
1230646187948204034,en
1230646193149140993,en
1230646194084499456,en
1230646194256465923,en
1230646197238452224,en
1230646198484160512,en
1230646199012618240,en
1230646200107487232,en
1230646200707276801,en
1230646201441275905,pt
1230646208798040064,en
1230646211222196224,in
1230646213189554182,es
1230646214053580800,pt
1230646214284021760,en
1230646217618657280,it
1230646218641965057,in
1230646219283877890,en
1230646224145002506,in
1230646227357913090,es
1230646236031725571,en
1230646237667315712,en
1230646243384287232,es
1230646243757580292,en
1230646254348058625,de
1230646254390202369,en
1230646254494982145,en
1230646255962865665,en
1230646263584088064,it
1230646264389230593,en
1230646264540225538,en
1230646265182072833,fr
1230646269569142784,en
1230646270747987969,en
1230646273402982400,fr
1230646275978092544,in
1230646282168889346,en
1230646292528787457,en
1230646304432259072,en
1230646308412616704,in
