Tweet_ID,Language
1222311346974482445,en
1222311348660580352,en
1222311348727635970,en
1222311349327290368,en
1222311349813903360,en
1222311350212235264,en
1222311350480842753,en
1222311350757732355,en
1222311351076491266,en
1222311351562883072,en
1222311352443658240,en
1222311353437892609,en
1222311354796670977,en
1222311355614498821,en
1222311356080295937,en
1222311356277436421,en
1222311356394852353,en
1222311356650491904,en
1222311357887893505,en
1222311357967503361,en
1222311358483456000,en
1222311360131788800,en
1222311360564023296,en
1222311361855807488,en
1222311362262487040,en
1222311362837336064,en
1222311363114078208,en
1222311363483033601,en
1222311364162736128,en
1222311364972044288,en
1222311365471277057,en
1222311365660028929,en
1222311366087675905,en
1222311366335139842,en
1222311366759014405,en
1222311368021250048,en
1222311368721883137,en
1222311370445619200,en
1222311371599241218,en
1222311373050449925,en
1222311374002380801,en
1222311374631555073,en
1222311374879186946,en
1222311375369916417,en
1222311375596220416,en
1222311375718010881,en
1222311375751536640,en
1222311376229556224,en
1222311376657371137,en
1222311377907462144,en
1222311378251370497,en
1222311378582745088,en
1222311379094462465,en
1222311379731959811,en
1222311380746997762,en
1222311380986093571,en
1222311382755901441,en
1222311383439724548,en
1222311384798629889,en
1222311386333765632,en
1222311386342137857,en
1222311386832949250,en
1222311387436867585,en
1222311387554353152,en
1222311387671732224,en
1222311387898306561,en
1222311389219512320,en
1222311389307469824,en
1222311389332680705,en
1222311389454200832,en
1222311389546479616,en
1222311389961891844,en
1222311390687453186,en
1222311390934790144,en
1222311391169662976,en
1222311392432283649,en
1222311392981721088,en
1222311393187131393,en
1222311393556197378,en
1222311393661280258,en
1222311393791283200,en
1222311394764214272,en
1222311395804504067,en
1222311396458803201,en
1222311396811014144,en
1222311397146660866,en
1222311397494677504,en
1222311398266548224,en
1222311398383898624,en
1222311399009013760,en
1222311399118069760,en
1222311399331897345,en
1222311400166477824,en
1222311400195993600,en
1222311400208510977,en
1222311401948975104,en
1222311402070609920,en
1222311402314117122,en
1222311402905403394,en
1222311403039657984,en
1222311425105854468,en
1222311425491841025,en
1222311425638653952,en
1222311426217263104,en
1222311427215699968,en
1222311427274432517,en
1222311427416809473,en
1222311428792545280,en
1222311430013235200,en
1222311430835228673,en
1222311430885502976,en
1222311431753744385,en
1222311432018169856,en
1222311432378818561,en
1222311432722821125,en
1222311433456771072,en
1222311434312437760,en
1222311434693955584,en
1222311435167916033,en
1222311438146031622,en
1222311438439604224,en
1222311438548701185,en
1222311438871486464,en
1222311439391571968,en
1222311439475466241,en
1222311440469630976,en
1222311442965131264,en
1222311443065905152,en
1222311443074142209,en
1222311445360259073,en
1222311446148599809,en
1222311447461580801,en
1222311447537094661,en
1222311448279486465,en
1222311449470623744,en
1222311449541988354,en
1222311449936171008,en
1222311450678415360,en
1222311450930118656,en
1222311450955304962,en
1222311451357937666,en
1222311451798507520,en
1222311451836088320,en
1222311452171624448,en
1222311453102731264,en
1222311453144674304,en
1222311453236977664,en
1222311457204920325,en
1222311457653690368,en
1222311457678819328,en
1222311457905184769,en
1222311457976659970,en
1222311458094174208,en
1222311458836340736,en
1222311459088228352,en
1222311459230797824,en
1222311459461316608,en
1222311459494952960,en
1222311459524370433,en
1222311460023332865,en
1222311463169265670,en
1222311463257362433,en
1222311463857139712,en
1222311466134462465,en
1222311466562441216,en
1222311467183149057,en
1222311468542124032,en
1222311469477314561,en
1222311470366625792,en
1222311470769139712,en
1222311471394234368,en
1222311472623013888,en
1222311472660983813,en
1222311473088610305,en
1222311473822695429,en
1222311473885544448,en
1222311475122819072,en
1222311475194355713,en
1222311475299213313,en
1222311475575848960,en
1222311475676663814,en
1222311476108488705,en
1222311476385415169,en
1222311477014671361,en
1222311478520356864,en
1222311478662819840,en
1222311478897889280,en
1222311479782838272,en
1222311480860635136,en
1222311482983092224,en
1222311484434395136,en
1222311484757291008,en
1222311485470380036,en
1222311486225145856,en
1222311486590242816,en
1222311486703439874,en
1222311488813027328,en
1222311489043927040,en
1222311489769476096,en
1222311490453213184,en
1222311507377045504,en
1222311508689879040,en
1222311509197389824,en
1222311509403095040,en
1222311510015455232,en
1222311514381488129,en
1222311514607980546,en
1222311514708815872,en
1222311515958730752,en
1222311517263212550,en
1222311517300772865,en
1222311518609346560,en
1222311518873751552,en
1222311518886170624,en
1222311519385419776,en
1222311522124423173,en
1222311522367459329,en
1222311523034464257,en
1222311525542776832,en
1222311526092230656,en
1222311526154948610,en
1222311529036468225,en
1222311529514618880,en
1222311532102483968,en
1222311532119281664,en
1222311532337303552,en
1222311532429602816,en
1222311533159559174,en
1222311533239242754,en
1222311534874914816,en
1222311534963064832,en
1222311535646855174,en
1222311536154202113,en
1222311536363917312,en
1222311536493883393,en
1222311538293387265,en
1222311538360344577,en
1222311538771603457,en
1222311539664916480,en
1222311540818206720,en
1222311541262798848,en
1222311541518864384,en
1222311541665492992,en
1222311542533783557,en
1222311542533902336,en
1222311543423033344,en
1222311544165478401,en
1222311546065276929,en
1222311547147517952,en
1222311547571073024,en
1222311549747986432,en
1222311549945221121,en
1222311550280552448,en
1222311550884532224,en
1222311551475912704,en
1222311552436424704,en
1222311552973451265,en
1222311553732698114,en
1222311553833279488,en
1222311554856751104,en
1222311554911047685,en
1222311556177895425,en
1222311556211339264,en
1222311556509323265,en
1222311557088063490,en
1222311557222273025,en
1222311558451212288,en
1222311558946217984,en
1222311559201988608,en
1222311562641321984,en
1222311563329069056,en
1222311563983376384,en
1222311564214243329,en
1222311564297900033,en
1222311565422137346,en
1222311566319718401,en
1222311566407872514,en
1222311567334744067,en
1222311568257323008,en
1222311568312098817,en
1222311568928473089,en
1222311569478115329,en
1222311570333749248,en
1222311571457748992,en
1222311571847860231,en
1222311572048990208,en
1222311572766216192,en
1222311573362036739,en
1222311574762704896,en
1222311575991869444,en
1222311576805486592,en
1222311577216585729,en
1222311577489113090,en
1222311577547874304,en
1222311578462113792,en
1222311578697195520,en
1222311578785083393,en
1222311579590385664,en
1222311579607154688,en
1222311579607166977,en
1222311609877614594,en
1222311611102351360,en
1222311611379126273,en
1222311611584544771,en
1222311613388201986,en
1222311614873047046,en
1222311614961111040,en
1222311615128727552,en
1222311616156446720,en
1222311616882016256,en
1222311617360101376,en
1222311617578188801,en
1222311617863405568,en
1222311619348201473,en
1222311620988129280,en
1222311621185482753,en
1222311621587898369,en
1222311621902491649,en
1222311621986410496,en
1222311622078758923,en
1222311622150172672,en
1222311623387418625,en
1222311624310001664,en
1222311624649969665,en
1222311624817696770,en
1222311624922394625,en
1222311625652350976,en
1222311626080182273,en
1222311626688417794,en
1222311627703361536,en
1222311628353474560,en
1222311629716484096,en
1222311630656221184,en
1222311631511670791,en
1222311631616536576,en
1222311631637614592,en
1222311633436991489,en
1222311633671938049,en
1222311633864855552,en
1222311634183561216,en
1222311634305265665,en
1222311634435223558,en
1222311636331089924,en
1222311636381454336,en
1222311636851023873,en
1222311636956012546,en
1222311638491070464,en
1222311639204139010,en
1222311639271084033,en
1222311639526989824,en
1222311640219013120,en
1222311640395202560,en
1222311640403603456,en
1222311640797995008,en
1222311641360019458,en
1222311641414397958,en
1222311642278645760,en
1222311643134267398,en
1222311644035858432,en
1222311644266582016,en
1222311644275134466,en
1222311644748926977,en
1222311645336092673,en
1222311645881323520,en
1222311646120382469,en
1222311646154186752,en
1222311646745501696,en
1222311647240388608,en
1222311647684939776,en
1222311648074981376,en
1222311648100175872,en
1222311648624443392,en
1222311649677336579,en
1222311651501846529,en
1222311651644444678,en
1222311652143448068,en
1222311652202287104,en
1222311652219138048,en
1222311652441243648,en
1222311653070516225,en
1222311653599055872,en
1222311654827921410,en
1222311657222725632,en
1222311657470169088,en
1222311657696845824,en
1222311657873072128,en
1222311659701587968,en
1222311659978534918,en
1222311661136154624,en
1222311661408747522,en
1222311662058975233,en
1222311663468077056,en
1222311663497629696,en
1222311664122351616,en
1222311664772665349,en
1222311665267630085,en
1222311665649274881,en
1222311668186669056,en
1222311669876965376,en
1222311671936380928,en
1222315097282039809,en
1222315097470775298,en
1222315098431082497,en
1222315098578063360,en
1222315099525931009,en
1222315100280893443,en
1222315100809453568,en
1222315100838588416,en
1222315100918423552,en
1222315101077700608,en
1222315102898049024,en
1222315102956859392,en
1222315102986231809,en
1222315103061626881,en
1222315103707639808,en
1222315104856936448,en
1222315105984991232,en
1222315106299793408,en
1222315106316374016,en
1222315106911940608,en
1222315107725737984,en
1222315108585656320,en
1222315109743300609,en
1222315110103838721,en
1222315110560976897,en
1222315111366266880,en
1222315111936856064,en
1222315112767246336,en
1222315112792498178,en
1222315112792576000,en
1222315113333608448,en
1222315116504453125,en
1222315116806299649,en
1222315117209104387,en
1222315118312198145,en
1222315119402799106,en
1222315121072136192,en
1222315121776697344,en
1222315121965486086,en
1222315122154041344,en
1222315122791677952,en
1222315123613798400,en
1222315123852730368,en
1222315124356042753,en
1222315124545007617,en
1222315126302351362,en
1222315126587449345,en
1222315126650363905,en
1222315127569031168,en
1222315128550576130,en
1222315131574595586,en
1222315131595419648,en
1222315131700416525,en
1222315132123893760,en
1222315132640006147,en
1222315132774240256,en
1222315133407498240,en
1222315135282417664,en
1222315135877832704,en
1222315138335825920,en
1222315138751045632,en
1222315139799498754,en
1222315140449755136,en
1222315141959569408,en
1222315142433648640,en
1222315142681190400,en
1222315143310315520,en
1222315145290043392,en
1222315145361350657,en
1222315145788977154,en
1222315146799808513,en
1222315147382755329,en
1222315147475050497,en
1222315147517034497,en
1222315147726938114,en
1222315147986964480,en
1222315148603465728,en
1222315148968329218,en
1222315149224103936,en
1222315149350010880,en
1222315149354246145,en
1222315149505318913,en
1222315149735923713,en
1222315150058745856,en
1222315150151057408,en
1222315150675283968,en
1222315150939607041,en
1222315151413526529,en
1222315151791218688,en
1222315152541802496,en
1222315152986370049,en
1222315153510862853,en
1222315155016617984,en
1222315155289079809,en
1222315156044161025,en
1222315156329259009,en
1222315156455272449,en
1222315156891369472,en
1222315157155647488,en
1222315158430720000,en
1222315182640128000,en
1222315183542063104,en
1222315183676125189,en
1222315184389181441,en
1222315184498204672,en
1222315185454702594,en
1222315185786048513,en
1222315185832022016,en
1222315187191066624,en
1222315188008828929,en
1222315188457656320,en
1222315189866885120,en
1222315190013706245,en
1222315190634631170,en
1222315190764609539,en
1222315191070810117,en
1222315192094162944,en
1222315192190521344,en
1222315193704669184,en
1222315196166955009,en
1222315196875706375,en
1222315197366321154,en
1222315197437808642,en
1222315199065198598,en
1222315199572664321,en
1222315199668948993,en
1222315200147226624,en
1222315200633876481,en
1222315201216708608,en
1222315201581789184,en
1222315201653104642,en
1222315201678266368,en
1222315202441547777,en
1222315203443847169,en
1222315203997519874,en
1222315204131934211,en
1222315204307910657,en
1222315205012508672,en
1222315205264175105,en
1222315205838954496,en
1222315206568628224,en
1222315207135055875,en
1222315207541714944,en
1222315207701094402,en
1222315209244672000,en
1222315209806630912,en
1222315210150760449,en
1222315210179899392,en
1222315210683191297,en
1222315213162192902,en
1222315214122770438,en
1222315214420373504,en
1222315214944686080,en
1222315215099817984,en
1222315215339032578,en
1222315216026787840,en
1222315216064729089,en
1222315217930969088,en
1222315218438586369,en
1222315218706952192,en
1222315219185213440,en
1222315219839377409,en
1222315220707704832,en
1222315220925931520,en
1222315221512941568,en
1222315222238736385,en
1222315224658780160,en
1222315224969117697,en
1222315225354993665,en
1222315225401167872,en
1222315225434771457,en
1222315226181357568,en
1222315226206547968,en
