Tweet_ID,Language
1234629661331578880,en
1234629661453430784,en
1234629661709107200,en
1234629662040633344,en
1234629662212386818,in
1234629662220808193,en
1234629662262755329,in
1234629662539542535,in
1234629663227408384,in
1234629663600726016,in
1234629663680385024,in
1234629663760142336,in
1234629663982604293,en
1234629664955609091,es
1234629665517527040,in
1234629665546858496,in
1234629666352189440,en
1234629666528358400,in
1234629666612359173,en
1234629666985648128,en
1234629668478676993,en
1234629668818636801,en
1234629668910714880,in
1234629668927660032,pt
1234629668940263424,en
1234629669099433984,in
1234629669141524482,es
1234629669170757632,in
1234629669170765824,in
1234629669225259009,en
1234629669787320321,ja
1234629669967802369,es
1234629670089510912,es
1234629670454251520,in
1234629670517166082,in
1234629670621995008,in
1234629670651355137,in
1234629670701649920,in
1234629670701805568,es
1234629671108648962,pt
1234629671603453952,in
1234629671913971712,in
1234629672421298176,in
1234629672467664896,en
1234629673000157185,en
1234629673075654656,in
1234629673293774850,in
1234629673516224514,pt
1234629673558167552,es
1234629673683804161,in
1234629673730158592,en
1234629673788657665,en
1234629673855750144,ja
1234629674048815104,pt
1234629674212286464,en
1234629674401034241,in
1234629674715627520,in
1234629674745188360,en
1234629674778558464,en
1234629675344957440,en
1234629675420250113,en
1234629675474833408,in
1234629675676262400,es
1234629675785359360,en
1234629675823050752,en
1234629675915173888,in
1234629675919372288,en
1234629676204576768,en
1234629676305268738,in
1234629676326412291,en
1234629676334632960,en
1234629676850532353,in
1234629677567877120,pt
1234629677593088001,en
1234629678083735553,en
1234629678884966400,en
1234629679233015813,en
1234629679564365826,en
1234629679652491264,pt
1234629680306614273,in
1234629680403275786,en
1234629680428240896,en
1234629680470294528,en
1234629680617213954,en
1234629680638152706,pt
1234629680810033152,es
1234629681074192384,in
1234629681296572422,en
1234629681456058368,en
1234629681921523712,en
1234629681929912320,pt
1234629682617708544,in
1234629682944978944,es
1234629683246841856,in
1234629683255205889,en
1234629684035350528,en
1234629684303810561,in
1234629684710662144,in
1234629685096714240,fr
1234629685109235714,en
1234629830685032448,in
1234629830701932545,en
1234629830731132929,en
1234629830814994432,in
1234629830886318081,in
1234629831066734593,in
1234629831083474944,in
1234629831222087683,es
1234629831255613441,pt
1234629831373049856,pt
1234629831612096514,en
1234629831830200320,es
1234629832085925889,in
1234629832144715777,en
1234629832157388801,en
1234629832430039041,en
1234629832824147969,in
1234629832861982720,en
1234629832882999299,en
1234629833000353792,en
1234629833004650496,en
1234629833151406080,en
1234629833600241664,pt
1234629834107547648,in
1234629834136883200,en
1234629834514370560,in
1234629834820599808,in
1234629834824802304,en
1234629835101741058,pt
1234629835156156416,in
1234629835194032129,en
1234629835592331264,en
1234629835760132099,in
1234629835919646720,en
1234629836011737088,in
1234629836058103810,in
1234629836703854592,in
1234629836917755905,en
1234629836917936131,en
1234629837177774081,in
1234629837425401857,en
1234629837446356992,en
1234629837534314502,in
1234629837605699584,en
1234629837890838529,ja
1234629838369120259,es
1234629838419451904,en
1234629838708858880,pt
1234629838910001152,in
1234629839107350528,pt
1234629839161905155,en
1234629839317061634,pt
1234629839371603969,pt
1234629839572758528,in
1234629839581327361,pt
1234629839770046464,en
1234629840097218561,es
1234629840227057665,in
1234629840445284358,pt
1234629840508243968,en
1234629840881553408,pt
1234629840994783234,en
1234629841338716162,en
1234629841389051904,es
1234629841728737282,en
1234629841758146561,en
1234629842022359040,pt
1234629842831728640,in
1234629842907222016,in
1234629843339247616,en
1234629843393884166,und
1234629843427512320,en
1234629843687497728,en
1234629843792388096,en
1234629843851137024,en
1234629844077568002,en
1234629844211625984,in
1234629844211658752,en
1234629844610297857,pt
1234629844849381377,pt
1234629845054824456,en
1234629845285527552,en
1234629845344088064,en
1234629845520277504,in
1234629845587578882,en
1234629845788897281,en
1234629845847400448,in
1234629845922959360,ja
1234629846174580736,in
1234629846485131266,es
1234629846665515013,en
1234629846711463936,en
1234629846745010176,in
1234629847399272448,en
1234629847487373312,en
1234629847663575042,in
1234629849089576961,en
1234629849823707136,en
1234629849899159552,en
1234629850113011713,in
1234629995252899841,en
1234629995546345472,en
1234629995659583488,in
1234629995831578626,in
1234629996074893317,en
1234629996712484869,en
1234629996968280064,en
1234629997060644865,en
1234629997454909440,en
1234629997744345088,en
1234629997777674240,en
1234629997819678720,en
1234629998222299136,in
1234629998222303233,in
1234629998239154177,en
1234629998365102080,en
1234629998637568000,ja
1234629998733975552,in
1234629998784471047,en
1234629998822248449,en
1234629999027576832,in
1234629999040307201,en
1234629999040376833,en
1234629999132581888,en
1234629999283580930,en
1234629999396823047,pt
1234629999405273088,en
1234629999497367552,en
1234629999707217921,es
1234629999761620992,en
1234629999887470593,in
1234630000269299712,pt
1234630000747458560,en
1234630000785133569,en
1234630000856330240,si
1234630001066151941,en
1234630001439518727,en
1234630001594531840,in
1234630001666002945,en
1234630001711968257,en
1234630002177662976,en
1234630002198663168,en
1234630002332897281,pt
1234630002357997569,pt
1234630002450272258,pt
1234630002785669120,en
1234630002798284800,in
1234630002961829890,in
1234630003100250114,in
1234630003410833411,pt
1234630003503042561,en
1234630004639748097,in
1234630004866052096,in
1234630005117931521,en
1234630005403025409,en
1234630005851709441,in
1234630005851713536,in
1234630006061465601,in
1234630006191611904,en
1234630006296367105,en
1234630006464184320,en
1234630006560583680,in
1234630006715944968,en
1234630006715961345,en
1234630006925557761,es
1234630007038906368,en
1234630007131168768,en
1234630007252815873,es
1234630007311331328,en
1234630007323942912,en
1234630007466622982,pt
1234630007466680320,en
1234630007529431040,in
1234630007835676672,in
1234630008003411969,in
1234630008099889152,es
1234630008498458624,it
1234630008531906560,en
1234630008553037824,in
1234630008565575680,en
1234630008657694720,en
1234630009337171968,ja
1234630009400233984,en
1234630009479823362,en
1234630009547055104,es
1234630009760993280,es
1234630010067148800,pt
1234630010570518530,es
1234630011023495168,en
1234630011317051397,en
1234630011581169664,en
1234630011795034113,en
1234630011883270144,en
1234630011925041152,in
1234630012243935234,en
1234630012424380416,en
1234630012642430976,en
1234630012772311040,en
1234630013112082432,en
1234630013179322370,es
1234630153336049664,in
1234630153482858496,in
1234630153608794112,fr
1234630153642205185,en
1234630153730437122,en
1234630153893888000,in
1234630154023911425,en
1234630154246225920,in
1234630154271375360,en
1234630154430767105,in
1234630154489606147,en
1234630154925723649,in
1234630155223601152,pt
1234630155693363207,en
1234630155756195840,es
1234630155978539008,en
1234630156075048960,de
1234630156288806912,in
1234630156326768641,en
1234630156486049799,in
1234630156565659648,in
1234630157006188545,fr
1234630157039616000,en
1234630157882671104,ja
1234630158335848450,pt
1234630158625255424,en
1234630159031992326,in
1234630159057203206,en
1234630159346454529,in
1234630159371649024,in
1234630159501680640,in
1234630159719968773,en
1234630159791091714,in
1234630160101658630,es
1234630160697024517,und
1234630160957263872,en
1234630161196126208,en
1234630161217224704,en
1234630161259085826,in
1234630161267449857,en
1234630161879859200,in
1234630161926172673,pt
1234630162278440960,en
1234630162504912902,en
1234630162743951360,pt
