"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","169778.826086957","232996.710837486","78674","11714739","All","69"
"2","Jan","38145.9","11162.3465120715","42231.5","381459","All","10"
"3","Feb","56735.0689655172","18928.7484642711","46793","1645317","All","29"
"4","Mar","322999.931034483","294766.98952598","97190","9366998","All","29"
"5","Apr","320965",NA,"320965","320965","All","1"
"6","All_M","28764.0289855072","36939.3026423758","12289","1984718","Org","69"
"7","Jan","6046.1","2043.57091875961","6102","60461","Org","10"
"8","Feb","11917.4482758621","3543.16451158532","11059","345606","Org","29"
"9","Mar","52383.1034482759","47011.0502232832","16043","1519110","Org","29"
"10","Apr","59541",NA,"59541","59541","Org","1"
"11","All_M","141014.797101449","196205.333691037","64719","9730021","RT","69"
"12","Jan","32099.8","9550.69752891844","35249","320998","RT","10"
"13","Feb","44817.6206896552","15884.9759305852","36640","1299711","RT","29"
"14","Mar","270616.827586207","247940.656774973","81906","7847888","RT","29"
"15","Apr","261424",NA,"261424","261424","RT","1"
