"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","188761.698630137","245724.914700626","78294","13779604","All","73"
"2","Jan","34341.8","12236.7823366911","39508.5","343418","All","10"
"3","Feb","49356.6551724138","21255.1486254774","41430","1431343","All","29"
"4","Mar","313234.103448276","280946.545649364","97199","9083789","All","29"
"5","Apr","584210.8","150088.425625363","626098","2921054","All","5"
"6","All_M","51494.8767123288","66864.1655094585","20719","3759126","Org","73"
"7","Jan","7009.5","2228.55604720984","7326.5","70095","Org","10"
"8","Feb","15426.6206896552","6568.6109610882","12523","447372","Org","29"
"9","Mar","82034.3448275862","74201.6149247998","24776","2378996","Org","29"
"10","Apr","172532.6","46549.5834653759","189740","862663","Org","5"
"11","All_M","137266.821917808","179281.665122723","56353","10020478","RT","73"
"12","Jan","27332.3","10362.7979924986","31788","273323","RT","10"
"13","Feb","33930.0344827586","15002.9301625734","28385","983971","RT","29"
"14","Mar","231199.75862069","207090.872959822","73164","6704793","RT","29"
"15","Apr","411678.2","103928.533063351","447180","2058391","RT","5"
