"Var1","Freq","Percentage"
"English",27112871,0.591044837873578
"Spanish; Castilian",7735504,0.168629493628706
"Portuguese",3041380,0.0663003172556659
"Bahasa",2138469,0.0466173819586525
"French",1786705,0.0389491310991341
"Thai",726074,0.0158279914220158
"Italian",659223,0.0143706784559088
"Japanese",418042,0.00911307275848236
"Hindi",342280,0.00746150516879486
"Turkish",332272,0.00724333658246409
"Tagalog",316924,0.00690875909815106
"Catalan; Valencian",283172,0.00617298510476212
"German",267713,0.00583598788492924
"Dutch; Flemish",129232,0.00281718252884684
"Arabic",78674,0.00171504749810029
"Russian",47640,0.00103852432581918
"Tamil",43740,0.000953506591337757
"Korean",43599,0.000950432873244967
"Chinese",37625,0.000820203143554712
"Lithuanian",31296,0.000682234620084738
"Urdu",30822,0.000671901695432381
"Polish",25843,0.000563362387744436
"Romanian; Moldavian; Moldovan",23997,0.000523120660089898
"Greek, Modern (1453-)",22824,0.000497549941488179
"Estonian",21681,0.000472633205459394
"Swedish",16697,0.000363984900675961
"Finnish",16264,0.000354545752206614
"Czech",15800,0.000344430821745234
"Haitian; Haitian Creole",12599,0.000274650881213178
"Danish",12245,0.000266933886852557
"Marathi",12202,0.000265996511831351
"Persian",11657,0.00025411582842305
"Ukrainian",8755,0.000190853914201236
"Slovenian",8683,0.000189284356026194
"Vietnamese",6899,0.00015039419235572
"Telugu",6540,0.00014256820089961
"Latvian",5255,0.000114555947358937
"Kannada",5029,0.000109629278642834
"Gujarati",4522,9.857697316025e-05
"Norwegian",3714,8.09630425292279e-05
"Nepali",3633,7.91972895823061e-05
"Malayalam",3335,7.27010626911618e-05
"Basque",3029,6.60304404472351e-05
"Bengali",2862,6.23899374579026e-05
"Hungarian",2805,6.1147370569328e-05
"Welsh",2759,6.01445972908292e-05
"Sinhala; Sinhalese",1946,4.24216695643181e-05
"Oriya",1744,3.80181869065626e-05
"Icelandic",1423,3.10205733761689e-05
"Serbian",1387,3.02357942886481e-05
"Panjabi; Punjabi",910,1.98374713789977e-05
"Bulgarian",815,1.77665265647067e-05
"Pushto; Pashto",465,1.01367298804768e-05
"Amharic",352,7.67339552242548e-06
"Burmese",259,5.64604954633011e-06
"Sindhi",153,3.33531112196335e-06
"Divehi; Dhivehi; Maldivian",125,2.72492738722496e-06
"Central Khmer",89,1.94014829970417e-06
"Armenian",85,1.85295062331297e-06
"Lao",71,1.54775875594378e-06
"Georgian",37,8.06578506618587e-07
"Uighur; Uyghur",18,3.92389543760394e-07
"Tibetan",17,3.70590124662594e-07
