"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","586288.734177215","789486.72382965","161833","46316810","All","79"
"2","Jan","72487.7","22964.9391612035","82153","724877","All","10"
"3","Feb","103267.862068966","43446.0795598769","86126","2994768","All","29"
"4","Mar","884331.580645161","884625.83154193","296543","27414279","All","31"
"5","Apr","1686987.33333333","502325.494204953","1879773","15182886","All","9"
"6","All_M","125281.075949367","165711.027348721","37666","9897205","Org","79"
"7","Jan","13055.6","4073.78192292562","13671.5","130556","Org","10"
"8","Feb","26751.5517241379","10555.6592153424","23330","775795","Org","29"
"9","Mar","176177.774193548","174054.892526986","57674","5461511","Org","31"
"10","Apr","392149.222222222","112370.622153633","445021","3529343","Org","9"
"11","All_M","461007.658227848","625241.29694118","123924","36419605","RT","79"
"12","Jan","59432.1","19321.9791570233","67037","594321","RT","10"
"13","Feb","76516.3103448276","33416.7329621633","64432","2218973","RT","29"
"14","Mar","708153.806451613","711501.858461963","236779","21952768","RT","31"
"15","Apr","1294838.11111111","390484.752570905","1451670","11653543","RT","9"
