"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1826.81395348837","2674.74873101874","834","78553","All","43"
"2","Feb","1011.66666666667","67.8920712111019","999","3035","All","3"
"3","Mar","2340.16129032258","3000.089410854","1303","72545","All","31"
"4","Apr","330.333333333333","130.722033337919","278","2973","All","9"
"5","All_M","422.395348837209","280.726620070037","341","18163","Org","43"
"6","Feb","361.666666666667","12.4230967690561","355","1085","Org","3"
"7","Mar","491.677419354839","298.621654394182","413","15242","Org","31"
"8","Apr","204","75.1864349467376","172","1836","Org","9"
"9","All_M","1404.41860465116","2479.31934046959","520","60390","RT","43"
"10","Feb","650","78.1728853247723","644","1950","RT","3"
"11","Mar","1848.48387096774","2802.35845757305","913","57303","RT","31"
"12","Apr","126.333333333333","74.5335494928291","102","1137","RT","9"
