"Var1","Freq","Percentage"
"English",56788,0.747535113931049
"Spanish; Castilian",3080,0.0405439203864836
"German",2214,0.0291442336804139
"Turkish",1887,0.0248397330419788
"Chinese",1405,0.0184948727737044
"Tagalog",1365,0.0179683283531007
"Hindi",1274,0.0167704397962273
"French",1064,0.014006081588058
"Polish",962,0.0126633933155186
"Japanese",805,0.0105967064646491
"Romanian; Moldavian; Moldovan",778,0.0102412889807416
"Arabic",740,0.00974107178116814
"Portuguese",670,0.00881961904511169
"Italian",638,0.00839838350862875
"Bahasa",527,0.00693722274145353
"Dutch; Flemish",365,0.00480471783800861
"Sinhala; Sinhalese",347,0.00456777284873695
"Russian",267,0.00351468400752959
"Catalan; Valencian",120,0.00157963326181105
"Czech",79,0.00103992523069227
"Persian",69,0.000908289125541354
"Urdu",59,0.000776653020390433
"Bengali",52,0.000684507746784788
"Korean",43,0.000566035252148959
"Thai",41,0.000539708031118775
"Tamil",37,0.000487053589058407
"Danish",33,0.000434399146998039
"Slovenian",32,0.000421235536482947
"Estonian",31,0.000408071925967854
"Greek, Modern (1453-)",24,0.00031592665236221
"Gujarati",23,0.000302763041847118
"Swedish",20,0.000263272210301842
"Nepali",15,0.000197454157726381
"Norwegian",15,0.000197454157726381
"Finnish",14,0.000184290547211289
"Basque",13,0.000171126936696197
"Lithuanian",13,0.000171126936696197
"Vietnamese",13,0.000171126936696197
"Ukrainian",9,0.000118472494635829
"Latvian",7,9.21452736056446e-05
"Haitian; Haitian Creole",6,7.89816630905525e-05
"Serbian",5,6.58180525754604e-05
"Divehi; Dhivehi; Maldivian",4,5.26544420603683e-05
"Panjabi; Punjabi",3,3.94908315452762e-05
"Icelandic",2,2.63272210301842e-05
"Pushto; Pashto",2,2.63272210301842e-05
"Amharic",1,1.31636105150921e-05
"Hungarian",1,1.31636105150921e-05
"Malayalam",1,1.31636105150921e-05
"Marathi",1,1.31636105150921e-05
"Sindhi",1,1.31636105150921e-05
"Telugu",1,1.31636105150921e-05
"Welsh",1,1.31636105150921e-05
