"Var1","Freq","Percentage"
"English",11479165,0.598530095036078
"Spanish; Castilian",2723092,0.141983542666386
"Portuguese",1930661,0.100665746316256
"Bahasa",1191945,0.0621486801633897
"French",620699,0.0323635936462973
"Italian",277454,0.0144666070213417
"Tagalog",154783,0.00807047234707135
"Hindi",132327,0.00689960392466169
"German",120023,0.00625806647055907
"Turkish",102256,0.00533168513546144
"Catalan; Valencian",88695,0.0046246069970442
"Japanese",73839,0.00385000683302043
"Dutch; Flemish",67456,0.0035171936365366
"Thai",39804,0.00207540286273575
"Lithuanian",22596,0.00117816810085361
"Estonian",14390,0.000750302662917482
"Korean",14316,0.000746444261454251
"Chinese",14265,0.000743785092878241
"Haitian; Haitian Creole",11328,0.000590648267236222
"Finnish",11244,0.000586268460169852
"Urdu",10644,0.000554984123981493
"Tamil",9218,0.000480631684973826
"Arabic",7460,0.000388968579941933
"Swedish",7455,0.000388707877140364
"Czech",6307,0.00032885051389997
"Danish",5878,0.000306482213525293
"Slovenian",5515,0.000287555190131335
"Russian",5284,0.000275510720698817
"Romanian; Moldavian; Moldovan",4952,0.000258200054674592
"Vietnamese",3407,0.000177642888989567
"Marathi",3112,0.000162261423696957
"Hungarian",2489,0.000129777854621377
"Norwegian",1866,9.72942855457972e-05
"Persian",1835,9.56779281760653e-05
"Nepali",1717,8.95253420590213e-05
"Polish",1676,8.73875790861501e-05
"Icelandic",1152,6.00659254816497e-05
"Ukrainian",1108,5.77717408278367e-05
"Gujarati",1063,5.54254156137098e-05
"Telugu",945,4.92728294966658e-05
"Kannada",755,3.93661230370187e-05
"Malayalam",679,3.54034404531599e-05
"Latvian",619,3.22750068343239e-05
"Bengali",614,3.20143040327543e-05
"Greek, Modern (1453-)",588,3.0658649464592e-05
"Oriya",436,2.27332842968744e-05
"Serbian",403,2.10126458065146e-05
"Basque",357,1.86141800320737e-05
"Panjabi; Punjabi",328,1.71021037829697e-05
"Welsh",322,1.67892604210861e-05
"Sinhala; Sinhalese",125,6.51757003924151e-06
"Bulgarian",88,4.58836930762602e-06
"Pushto; Pashto",56,2.9198713775802e-06
"Burmese",46,2.39846577444087e-06
"Amharic",35,1.82491961098762e-06
"Uighur; Uyghur",13,6.77827284081117e-07
"Tibetan",9,4.69265042825389e-07
"Divehi; Dhivehi; Maldivian",8,4.17124482511456e-07
"Armenian",6,3.12843361883592e-07
"Central Khmer",6,3.12843361883592e-07
"Lao",6,3.12843361883592e-07
"Sindhi",5,2.6070280156966e-07
"Georgian",2,1.04281120627864e-07
