"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","235126.975609756","271022.006674961","79294","19280412","All","82"
"2","Jan","34341.8","12236.7823366911","39508.5","343418","All","10"
"3","Feb","49356.6551724138","21255.1486254774","41430","1431343","All","29"
"4","Mar","313234.103448276","280946.545649364","97199","9083789","All","29"
"5","Apr","601561.571428571","142749.579348277","671295","8421862","All","14"
"6","All_M","66547.6829268293","77665.8400485145","22240.5","5456910","Org","82"
"7","Jan","7009.5","2228.55604720984","7326.5","70095","Org","10"
"8","Feb","15426.6206896552","6568.6109610882","12523","447372","Org","29"
"9","Mar","82034.3448275862","74201.6149247998","24776","2378996","Org","29"
"10","Apr","182889.071428571","44278.8017408996","201075","2560447","Org","14"
"11","All_M","168579.292682927","194067.301787164","57419","13823502","RT","82"
"12","Jan","27332.3","10362.7979924986","31788","273323","RT","10"
"13","Feb","33930.0344827586","15002.9301625734","28385","983971","RT","29"
"14","Mar","231199.75862069","207090.872959822","73164","6704793","RT","29"
"15","Apr","418672.5","99179.9551900484","466808","5861415","RT","14"
