"Month","M","SD","Total","Type","NoDays"
"All_M","200476.249180328","189371.754101092","61145256","All","84"
"Jan","36243.85","11699.5644243813","724877","All","10"
"Feb","47536","18136.581124975","2994768","All","29"
"Mar","193058.302816902","167347.420171617","27414279","All","31"
"Apr","375141.65","85892.3028599395","30011332","All","16"
"All_M","44449.0852459016","43433.0647208026","13556971","Org","84"
"Jan","6527.8","2136.06348298472","130556","Org","10"
"Feb","12314.2063492064","4600.62755292042","775795","Org","29"
"Mar","38461.3450704225","33298.8829778689","5461511","Org","31"
"Apr","89863.8625","21767.4945679366","7189109","Org","16"
"All_M","156027.163934426","146784.355311747","47588285","RT","84"
"Jan","29716.05","9956.74776070852","594321","RT","10"
"Feb","35221.7936507936","13908.1588691107","2218973","RT","29"
"Mar","154596.957746479","134308.362252752","21952768","RT","31"
"Apr","285277.7875","65100.2189391497","22822223","RT","16"
