"Var1","Freq","Percentage"
"English",13091501,0.620599816562436
"Spanish; Castilian",4119350,0.195276909374752
"Portuguese",1203732,0.057062659078614
"French",966079,0.0457967692310318
"Italian",403146,0.0191110502644334
"Japanese",226603,0.010742066951108
"Catalan; Valencian",199387,0.00945189826781012
"Hindi",171920,0.00814983098297239
"German",141567,0.00671095348282022
"Turkish",84676,0.00401404774496376
"Thai",81169,0.00384779915691534
"Bahasa",73250,0.00347240064857333
"Dutch; Flemish",70847,0.00335848694538532
"Tamil",38133,0.00180768674309962
"Arabic",26971,0.00127855451048016
"Chinese",21340,0.00101161815481986
"Korean",18956,0.000898605142585066
"Tagalog",16912,0.000801709757934092
"Romanian; Moldavian; Moldovan",15572,0.00073818734333903
"Lithuanian",13652,0.000647170152277449
"Urdu",13534,0.000641576387410123
"Russian",11164,0.000529227042193484
"Marathi",10852,0.000514436748645977
"Polish",8372,0.000396872876858102
"Persian",7341,0.000347998541449513
"Czech",5677,0.00026911697586281
"Telugu",5293,0.000250913537650494
"Danish",5240,0.000248401083938898
"Finnish",4931,0.000233753004752425
"Greek, Modern (1453-)",4431,0.000210050611246805
"Swedish",4032,0.00019113610122932
"Haitian; Haitian Creole",3585,0.000169946161435296
"Estonian",3534,0.000167528517297722
"Kannada",2886,0.000136810215314439
"Gujarati",2806,0.00013301783235354
"Slovenian",1974,9.35770495601879e-05
"Bengali",1797,8.51864022591984e-05
"Ukrainian",1583,7.5041777838793e-05
"Welsh",1479,7.0111679989624e-05
"Malayalam",1437,6.8120678935152e-05
"Norwegian",1349,6.39490576781628e-05
"Oriya",1315,6.23372949197807e-05
"Basque",1014,4.80684540293974e-05
"Nepali",945,4.47975237256218e-05
"Panjabi; Punjabi",648,3.07183019832836e-05
"Latvian",645,3.05760876222498e-05
"Vietnamese",495,2.34653695705638e-05
"Hungarian",454,2.1521773303103e-05
"Sinhala; Sinhalese",352,1.66864850279565e-05
"Pushto; Pashto",215,1.01920292074166e-05
"Serbian",214,1.01446244204054e-05
"Bulgarian",131,6.21002709847245e-06
"Icelandic",107,5.07231221020269e-06
"Amharic",87,4.12421646997788e-06
"Divehi; Dhivehi; Maldivian",62,2.93909679469688e-06
"Armenian",57,2.70207285964068e-06
"Burmese",35,1.6591675453934e-06
"Sindhi",33,1.56435797137092e-06
"Central Khmer",15,7.11071805168601e-07
"Lao",14,6.63667018157361e-07
"Georgian",8,3.7923829608992e-07
"Uighur; Uyghur",6,2.8442872206744e-07
"Tibetan",4,1.8961914804496e-07
