"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","271706.583333333","291997.492846647","85533.5","22823353","All","84"
"2","Jan","38145.9","11162.3465120715","42231.5","381459","All","10"
"3","Feb","57605.8148148148","19349.3626471004","46924","1555357","All","27"
"4","Mar","322999.931034483","294766.98952598","97190","9366998","All","29"
"5","Apr","639974.388888889","139840.135809826","711577","11519539","All","18"
"6","All_M","48283.0476190476","51525.5577080951","14966","4055776","Org","84"
"7","Jan","6046.1","2043.57091875961","6102","60461","Org","10"
"8","Feb","12058.2222222222","3634.58355812955","11404","325572","Org","27"
"9","Mar","52383.1034482759","47011.0502232832","16043","1519110","Org","29"
"10","Apr","119479.611111111","27753.6652357187","128013","2150633","Org","18"
"11","All_M","223423.535714286","241024.081998442","67440","18767577","RT","84"
"12","Jan","32099.8","9550.69752891844","35249","320998","RT","10"
"13","Feb","45547.5925925926","16239.0878349817","36829","1229785","RT","27"
"14","Mar","270616.827586207","247940.656774973","81906","7847888","RT","29"
"15","Apr","520494.777777778","113574.198347085","573122.5","9368906","RT","18"
