"","Geo_Location","Date_Created"
"354","{type: Point, coordinates: [22.80974594, 114.07620281]}","Thu Feb 27 06:17:47 +0000 2020"
"8087","{type: Point, coordinates: [40.77195338, -73.87288343]}","Mon Mar 02 21:35:14 +0000 2020"
"12030","{type: Point, coordinates: [45.8564, 15.8078]}","Wed Mar 04 15:07:01 +0000 2020"
"19943","{type: Point, coordinates: [34.25, 132.567]}","Sun Mar 08 12:59:17 +0000 2020"
"19959","{type: Point, coordinates: [44.899, 8.2079]}","Sun Mar 08 13:12:38 +0000 2020"
"22388","{type: Point, coordinates: [21.784572, -72.22492642]}","Mon Mar 09 17:28:07 +0000 2020"
"23492","{type: Point, coordinates: [24.7388169, 46.69220358]}","Tue Mar 10 06:43:36 +0000 2020"
"23900","{type: Point, coordinates: [14.4297, 120.937]}","Tue Mar 10 11:43:40 +0000 2020"
"27056","{type: Point, coordinates: [25.2855, 51.5237]}","Wed Mar 11 16:27:07 +0000 2020"
"31845","{type: Point, coordinates: [14.6439, 121.037]}","Fri Mar 13 05:29:20 +0000 2020"
"31928","{type: Point, coordinates: [14.5629789, 121.0342764]}","Fri Mar 13 06:48:31 +0000 2020"
"35910","{type: Point, coordinates: [2.99691772, 101.64883874]}","Sat Mar 14 08:57:20 +0000 2020"
"38310","{type: Point, coordinates: [3.1581, 101.7109]}","Sun Mar 15 06:16:22 +0000 2020"
"40095","{type: Point, coordinates: [30.52502419, 114.35014953]}","Sun Mar 15 18:45:56 +0000 2020"
"40834","{type: Point, coordinates: [3.15024444, 101.75276653]}","Mon Mar 16 00:15:04 +0000 2020"
"42176","{type: Point, coordinates: [14.5569, 121.029]}","Mon Mar 16 11:30:31 +0000 2020"
"42367","{type: Point, coordinates: [3.15913262, 101.70043565]}","Mon Mar 16 12:39:15 +0000 2020"
"44375","{type: Point, coordinates: [2.92260192, 101.66129149]}","Tue Mar 17 00:43:55 +0000 2020"
"45111","{type: Point, coordinates: [10.3111, 123.892]}","Tue Mar 17 06:05:46 +0000 2020"
"48361","{type: Point, coordinates: [3.15799912, 101.70048237]}","Tue Mar 17 23:15:50 +0000 2020"
"50610","{type: Point, coordinates: [18.20256912, 120.59084742]}","Thu Mar 19 10:17:05 +0000 2020"
"50717","{type: Point, coordinates: [39.7391, -104.98360001]}","Thu Mar 19 03:49:53 +0000 2020"
