"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1593.65384615385","1011.07407235516","1474","82870","All","52"
"2","Feb","1258.25","892.208262309498","1454","5033","All","4"
"3","Mar","2128.63333333333","937.41296546191","2137","63859","All","30"
"4","Apr","776.555555555556","434.564450269357","643.5","13978","All","18"
"5","All_M","591.153846153846","378.834972846467","550.5","30740","Org","52"
"6","Feb","441.5","294.698150655887","562.5","1766","Org","4"
"7","Mar","796.4","366.988076476419","718.5","23892","Org","30"
"8","Apr","282.333333333333","69.8814121544913","251.5","5082","Org","18"
"9","All_M","1002.5","675.559216428849","937.5","52130","RT","52"
"10","Feb","816.75","609.785959715921","891.5","3267","RT","4"
"11","Mar","1332.23333333333","627.235735442498","1499.5","39967","RT","30"
"12","Apr","494.222222222222","398.570468425163","350","8896","RT","18"
