"","Geo_Location","Date_Created"
"18","{type: Point, coordinates: [40.58531588, -74.10859017]}","Tue Apr 21 13:07:25 +0000 2020"
"79","{type: Point, coordinates: [28.22304, -82.73391]}","Tue Apr 21 19:52:32 +0000 2020"
"103","{type: Point, coordinates: [34.03742524, -118.24874042]}","Tue Apr 21 16:16:50 +0000 2020"
"132","{type: Point, coordinates: [55.9426988, -3.2038346]}","Tue Apr 21 13:03:29 +0000 2020"
"155","{type: Point, coordinates: [40.7722, -73.9259]}","Tue Apr 21 15:39:31 +0000 2020"
"206","{type: Point, coordinates: [51.5141, -0.1094]}","Tue Apr 21 14:31:47 +0000 2020"
"273","{type: Point, coordinates: [34.0564, -118.2445]}","Tue Apr 21 03:55:03 +0000 2020"
"300","{type: Point, coordinates: [41.883222, -87.632496]}","Wed Apr 22 01:04:12 +0000 2020"
"361","{type: Point, coordinates: [39.7391, -104.98360001]}","Wed Apr 22 06:14:57 +0000 2020"
"403","{type: Point, coordinates: [40.7779, -73.9675]}","Wed Apr 22 12:04:46 +0000 2020"
"454","{type: Point, coordinates: [30.3333, -87.1375]}","Wed Apr 22 14:45:41 +0000 2020"
"489","{type: Point, coordinates: [51.5141, -0.1094]}","Wed Apr 22 16:26:39 +0000 2020"
"545","{type: Point, coordinates: [33.7393, -84.1658]}","Wed Apr 22 18:57:37 +0000 2020"
"585","{type: Point, coordinates: [40.7142, -74.0064]}","Wed Apr 22 21:49:21 +0000 2020"
"592","{type: Point, coordinates: [40.7142, -74.0064]}","Wed Apr 22 22:16:06 +0000 2020"
"742","{type: Point, coordinates: [25.78948862, -80.17434269]}","Thu Apr 23 12:19:16 +0000 2020"
"759","{type: Point, coordinates: [40.7142, -74.0064]}","Thu Apr 23 13:29:08 +0000 2020"
"777","{type: Point, coordinates: [52.3361761, -2.26889571]}","Thu Apr 23 14:31:14 +0000 2020"
"805","{type: Point, coordinates: [29.7602, -95.3694]}","Thu Apr 23 16:14:27 +0000 2020"
"1048","{type: Point, coordinates: [33.7566, -84.3889]}","Fri Apr 24 03:59:27 +0000 2020"
"1058","{type: Point, coordinates: [38.8951, -77.0367]}","Fri Apr 24 15:30:57 +0000 2020"
"1079","{type: Point, coordinates: [37.752452, -122.18943752]}","Fri Apr 24 00:15:48 +0000 2020"
"1095","{type: Point, coordinates: [47.6046, -122.3308]}","Fri Apr 24 03:07:33 +0000 2020"
"1157","{type: Point, coordinates: [41.81994492, -87.62304128]}","Fri Apr 24 23:08:06 +0000 2020"
"1168","{type: Point, coordinates: [33.5696, -117.202]}","Fri Apr 24 12:07:43 +0000 2020"
"1174","{type: Point, coordinates: [41.50019, -81.56518]}","Fri Apr 24 12:25:23 +0000 2020"
"1217","{type: Point, coordinates: [41.50019, -81.56518]}","Fri Apr 24 03:58:39 +0000 2020"
"1279","{type: Point, coordinates: [13.668889, -88.866111]}","Fri Apr 24 17:33:12 +0000 2020"
"1280","{type: Point, coordinates: [28.8123, -81.2664]}","Fri Apr 24 23:42:02 +0000 2020"
"1305","{type: Point, coordinates: [39.05261825, -94.59209204]}","Fri Apr 24 11:50:17 +0000 2020"
"1320","{type: Point, coordinates: [32.96146, -96.8278799]}","Fri Apr 24 22:22:40 +0000 2020"
"1381","{type: Point, coordinates: [34.0564, -118.2445]}","Fri Apr 24 00:04:34 +0000 2020"
