"Var1","Freq","Percentage"
"English",1268,0.971647509578544
"Korean",8,0.00613026819923372
"Spanish; Castilian",7,0.0053639846743295
"French",4,0.00306513409961686
"Bahasa",3,0.00229885057471264
"Hindi",3,0.00229885057471264
"Norwegian",2,0.00153256704980843
"Portuguese",2,0.00153256704980843
"Tagalog",2,0.00153256704980843
"Catalan; Valencian",1,0.000766283524904215
"German",1,0.000766283524904215
"Haitian; Haitian Creole",1,0.000766283524904215
"Italian",1,0.000766283524904215
"Persian",1,0.000766283524904215
"Romanian; Moldavian; Moldovan",1,0.000766283524904215
