"","Geo_Location","Date_Created"
"4225","{type: Point, coordinates: [34.26736271, -85.20549022]}","Sat Mar 07 15:35:39 +0000 2020"
"18919","{type: Point, coordinates: [25.540505, -103.460398]}","Sat Mar 07 20:09:01 +0000 2020"
"22579","{type: Point, coordinates: [34.17670048, -118.61619704]}","Sat Mar 07 21:21:15 +0000 2020"
"26774","{type: Point, coordinates: [37.51502, 127.01648]}","Sat Mar 07 22:38:03 +0000 2020"
"29502","{type: Point, coordinates: [37.76650814, -122.46674538]}","Sat Mar 07 23:25:57 +0000 2020"
"45029","{type: Point, coordinates: [-12.0611, -77.0353]}","Sun Mar 08 04:14:39 +0000 2020"
"48520","{type: Point, coordinates: [25.540505, -103.460398]}","Sun Mar 08 05:17:01 +0000 2020"
"49470","{type: Point, coordinates: [8.96389499, 7.42936372]}","Sun Mar 08 05:33:03 +0000 2020"
"50811","{type: Point, coordinates: [-6.21489768, 106.81785664]}","Sun Mar 08 06:01:29 +0000 2020"
"51605","{type: Point, coordinates: [14.62009, 121.093315]}","Sun Mar 08 06:16:32 +0000 2020"
"60465","{type: Point, coordinates: [53.34411666, -6.26174338]}","Sun Mar 08 09:02:32 +0000 2020"
"62218","{type: Point, coordinates: [36.509, -4.8855]}","Sun Mar 08 09:33:59 +0000 2020"
"63287","{type: Point, coordinates: [38.74751841, -9.09904258]}","Sun Mar 08 09:51:02 +0000 2020"
"68162","{type: Point, coordinates: [37.93288735, -1.16235043]}","Sun Mar 08 11:21:34 +0000 2020"
"68442","{type: Point, coordinates: [30.52502419, 114.35014953]}","Sun Mar 08 11:32:54 +0000 2020"
"71572","{type: Point, coordinates: [36.1675, -115.149]}","Sun Mar 08 12:23:19 +0000 2020"
"84805","{type: Point, coordinates: [14.55215128, 121.0575998]}","Sun Mar 08 16:37:18 +0000 2020"
"84831","{type: Point, coordinates: [-15.80071393, -47.92380377]}","Sun Mar 08 16:37:21 +0000 2020"
"86519","{type: Point, coordinates: [44.351, 11.7058]}","Sun Mar 08 17:08:16 +0000 2020"
"88699","{type: Point, coordinates: [23.75336759, 90.36989589]}","Sun Mar 08 17:51:59 +0000 2020"
"91733","{type: Point, coordinates: [39.33138898, -77.35397547]}","Sun Mar 08 18:50:21 +0000 2020"
"92995","{type: Point, coordinates: [41.6, -72.7]}","Sun Mar 08 19:09:17 +0000 2020"
"95274","{type: Point, coordinates: [37.51502, 127.01648]}","Sun Mar 08 19:53:02 +0000 2020"
"98534","{type: Point, coordinates: [37.83138889, -122.28527778]}","Sun Mar 08 20:54:02 +0000 2020"
"98676","{type: Point, coordinates: [45.4643, 9.1897]}","Sun Mar 08 20:54:54 +0000 2020"
"98694","{type: Point, coordinates: [50.1154, 8.6709]}","Sun Mar 08 20:55:30 +0000 2020"
"102504","{type: Point, coordinates: [13.69252786, 100.75131417]}","Sun Mar 08 22:09:15 +0000 2020"
"114978","{type: Point, coordinates: [-23.55, -46.6333]}","Mon Mar 09 02:07:41 +0000 2020"
"118837","{type: Point, coordinates: [14.55567747, 121.05360243]}","Mon Mar 09 03:12:30 +0000 2020"
"118876","{type: Point, coordinates: [51.79198836, 0.38180977]}","Mon Mar 09 03:12:33 +0000 2020"
"134672","{type: Point, coordinates: [45.75975883, -73.56725453]}","Mon Mar 09 08:13:02 +0000 2020"
"137746","{type: Point, coordinates: [14.6044392, 120.9944388]}","Mon Mar 09 09:12:04 +0000 2020"
"144909","{type: Point, coordinates: [33.8397, -118.26]}","Mon Mar 09 11:27:17 +0000 2020"
"147107","{type: Point, coordinates: [14.59229, 121.09653]}","Mon Mar 09 12:11:00 +0000 2020"
"150427","{type: Point, coordinates: [52.232222, 21.008333]}","Mon Mar 09 13:12:04 +0000 2020"
"158068","{type: Point, coordinates: [8.48235931, 123.80565562]}","Mon Mar 09 15:30:31 +0000 2020"
"161959","{type: Point, coordinates: [52.953065, -1.14878832]}","Mon Mar 09 16:45:14 +0000 2020"
"164826","{type: Point, coordinates: [38.83, -77.28]}","Mon Mar 09 17:43:00 +0000 2020"
"168713","{type: Point, coordinates: [43.03967859, -88.20478739]}","Mon Mar 09 18:48:47 +0000 2020"
"169834","{type: Point, coordinates: [50.84569227, -2.30873823]}","Mon Mar 09 19:15:02 +0000 2020"
"171432","{type: Point, coordinates: [43.6625156, 10.6363586]}","Mon Mar 09 19:45:08 +0000 2020"
"184537","{type: Point, coordinates: [37.34417725, -121.95589766]}","Mon Mar 09 23:16:02 +0000 2020"
"188055","{type: Point, coordinates: [-34.7667, -58.4]}","Tue Mar 10 00:03:59 +0000 2020"
"196779","{type: Point, coordinates: [40.01709786, 116.52099609]}","Tue Mar 10 02:17:02 +0000 2020"
"198970","{type: Point, coordinates: [8.9812, -79.5354]}","Tue Mar 10 02:47:49 +0000 2020"
"199002","{type: Point, coordinates: [14.63927286, 121.03634781]}","Tue Mar 10 02:48:27 +0000 2020"
"200696","{type: Point, coordinates: [51.72529343, 0.46173641]}","Tue Mar 10 03:16:03 +0000 2020"
"206477","{type: Point, coordinates: [18.4596876, -69.9485084]}","Tue Mar 10 04:36:02 +0000 2020"
"207965","{type: Point, coordinates: [43.0, 12.0]}","Tue Mar 10 05:02:16 +0000 2020"
"209176","{type: Point, coordinates: [10.20828268, 123.75826583]}","Tue Mar 10 05:18:16 +0000 2020"
"211729","{type: Point, coordinates: [18.4596876, -69.9485084]}","Tue Mar 10 05:52:02 +0000 2020"
"212817","{type: Point, coordinates: [7.3964, 3.9167]}","Tue Mar 10 06:07:43 +0000 2020"
"213110","{type: Point, coordinates: [-31.9522, 115.859]}","Tue Mar 10 06:17:52 +0000 2020"
"213300","{type: Point, coordinates: [3.81295015, 103.33095892]}","Tue Mar 10 06:19:10 +0000 2020"
"221702","{type: Point, coordinates: [14.61842142, 121.00768268]}","Tue Mar 10 08:21:28 +0000 2020"
"222541","{type: Point, coordinates: [46.06955, 11.1250199]}","Tue Mar 10 08:35:01 +0000 2020"
"229202","{type: Point, coordinates: [34.93190524, 135.76047082]}","Tue Mar 10 10:09:27 +0000 2020"
"243850","{type: Point, coordinates: [43.83434, -79.53435]}","Tue Mar 10 13:51:04 +0000 2020"
"244299","{type: Point, coordinates: [37.54624457, -122.30212337]}","Tue Mar 10 13:54:31 +0000 2020"
"256777","{type: Point, coordinates: [40.92338, 14.53132]}","Tue Mar 10 17:13:01 +0000 2020"
"259376","{type: Point, coordinates: [46.93621, 16.01024]}","Tue Mar 10 17:55:01 +0000 2020"
"263909","{type: Point, coordinates: [29.98777769, -95.40557932]}","Tue Mar 10 18:58:24 +0000 2020"
"264353","{type: Point, coordinates: [30.0742149, -95.5000849]}","Tue Mar 10 19:09:07 +0000 2020"
"268467","{type: Point, coordinates: [40.5, -3.66666667]}","Tue Mar 10 20:09:28 +0000 2020"
"268895","{type: Point, coordinates: [41.81072316, -87.98972807]}","Tue Mar 10 20:12:54 +0000 2020"
"271244","{type: Point, coordinates: [32.7155, -117.1585]}","Tue Mar 10 20:45:04 +0000 2020"
"280829","{type: Point, coordinates: [40.77178955, -73.98268311]}","Tue Mar 10 23:11:13 +0000 2020"
"284072","{type: Point, coordinates: [40.7726593, -73.98527527]}","Tue Mar 10 23:57:40 +0000 2020"
"288340","{type: Point, coordinates: [-34.7153, -58.4078]}","Wed Mar 11 00:59:25 +0000 2020"
"298906","{type: Point, coordinates: [45.4643, 9.1897]}","Wed Mar 11 03:41:12 +0000 2020"
"299971","{type: Point, coordinates: [37.5, -85.0]}","Wed Mar 11 03:56:24 +0000 2020"
"303836","{type: Point, coordinates: [34.66460069, 135.50542318]}","Wed Mar 11 04:49:14 +0000 2020"
"304530","{type: Point, coordinates: [42.5046, -83.1506]}","Wed Mar 11 05:01:28 +0000 2020"
"311165","{type: Point, coordinates: [-6.23721, 106.86936]}","Wed Mar 11 06:42:04 +0000 2020"
"313244","{type: Point, coordinates: [52.30727, -1.94127]}","Wed Mar 11 07:12:24 +0000 2020"
"317483","{type: Point, coordinates: [9.12482128, 7.49634925]}","Wed Mar 11 08:14:01 +0000 2020"
"322605","{type: Point, coordinates: [9.7586, 126.05137]}","Wed Mar 11 09:29:25 +0000 2020"
"327861","{type: Point, coordinates: [25.7752, -80.192]}","Wed Mar 11 10:45:35 +0000 2020"
"328179","{type: Point, coordinates: [-33.8763, 151.20425]}","Wed Mar 11 10:47:41 +0000 2020"
"330060","{type: Point, coordinates: [43.89053231, 11.05690742]}","Wed Mar 11 11:17:01 +0000 2020"
"337489","{type: Point, coordinates: [40.86401039, -3.61569777]}","Wed Mar 11 13:05:09 +0000 2020"
"343283","{type: Point, coordinates: [14.6439, 121.037]}","Wed Mar 11 14:33:27 +0000 2020"
"351445","{type: Point, coordinates: [42.2745, -83.7393]}","Wed Mar 11 16:33:29 +0000 2020"
"354877","{type: Point, coordinates: [8.433, -82.451]}","Wed Mar 11 17:21:44 +0000 2020"
"365705","{type: Point, coordinates: [10.06842373, -69.30913515]}","Wed Mar 11 20:04:34 +0000 2020"
"371212","{type: Point, coordinates: [37.40797158, -122.05550299]}","Wed Mar 11 21:34:33 +0000 2020"
"376263","{type: Point, coordinates: [14.56447649, 121.07078517]}","Wed Mar 11 23:34:35 +0000 2020"
"379779","{type: Point, coordinates: [33.97692912, -117.33014931]}","Thu Mar 12 00:25:53 +0000 2020"
"380074","{type: Point, coordinates: [35.3733, -119.019]}","Thu Mar 12 00:33:00 +0000 2020"
"381569","{type: Point, coordinates: [-36.911959, 174.747945]}","Thu Mar 12 00:52:33 +0000 2020"
"382664","{type: Point, coordinates: [37.54274326, 126.98244019]}","Thu Mar 12 01:07:33 +0000 2020"
"406179","{type: Point, coordinates: [-6.87608475, 107.56381197]}","Thu Mar 12 07:06:40 +0000 2020"
"416460","{type: Point, coordinates: [40.4, -3.68333]}","Thu Mar 12 09:41:51 +0000 2020"
"419816","{type: Point, coordinates: [3.13889407, 101.64026399]}","Thu Mar 12 10:29:43 +0000 2020"
"420323","{type: Point, coordinates: [8.22117062, 124.2568253]}","Thu Mar 12 10:40:56 +0000 2020"
"421279","{type: Point, coordinates: [51.864, -2.2436]}","Thu Mar 12 10:56:10 +0000 2020"
"437990","{type: Point, coordinates: [34.014945, -117.851164]}","Thu Mar 12 15:51:33 +0000 2020"
"442808","{type: Point, coordinates: [32.50461, -92.11851]}","Thu Mar 12 17:04:44 +0000 2020"
"443207","{type: Point, coordinates: [41.16971029, -73.19860631]}","Thu Mar 12 17:07:43 +0000 2020"
"448211","{type: Point, coordinates: [37.372, -122.026]}","Thu Mar 12 18:38:58 +0000 2020"
"448230","{type: Point, coordinates: [-1.28333, 36.8167]}","Thu Mar 12 18:38:58 +0000 2020"
"449399","{type: Point, coordinates: [55.95123257, -3.29567202]}","Thu Mar 12 18:53:55 +0000 2020"
