"Var1","Freq","Percentage"
"English",14050145,0.569156661529186
"Spanish; Castilian",4452813,0.180378791926614
"Bahasa",1478286,0.0598838178926505
"Portuguese",1026679,0.041589691216861
"French",900073,0.0364610147306351
"Thai",742743,0.0300877411766336
"Japanese",422284,0.0171062826509756
"Turkish",311108,0.0126026593074322
"Hindi",244222,0.00989317748620964
"Tagalog",216532,0.0087714845814216
"Italian",167227,0.00677419066049078
"Catalan; Valencian",109706,0.00444407518283412
"German",94632,0.00383344322737096
"Arabic",81232,0.00329062325900116
"Russian",70687,0.00286345635105642
"Dutch; Flemish",33265,0.0013475303170016
"Polish",28942,0.00117241011377304
"Greek, Modern (1453-)",27378,0.00110905411149465
"Korean",25207,0.00102110917482817
"Urdu",25197,0.00102070408529954
"Tamil",21458,0.000869241110543221
"Swedish",14607,0.000591714274475945
"Ukrainian",13388,0.000542333860935438
"Estonian",13366,0.000541442663972443
"Romanian; Moldavian; Moldovan",12928,0.000523699742618266
"Chinese",10570,0.000428179631766327
"Czech",9433,0.000382120952360621
"Latvian",7119,0.000288383235434672
"Persian",6586,0.00026679196355847
"Marathi",6422,0.00026014849528887
"Vietnamese",5474,0.000221746007974349
"Kannada",5147,0.000208499580388012
"Finnish",5061,0.000205015810441758
"Danish",4808,0.000194767045367313
"Telugu",3912,0.000158471023601691
"Haitian; Haitian Creole",3909,0.0001583494967431
"Slovenian",3798,0.000153853002975261
"Gujarati",3522,0.000142672531984958
"Basque",3380,0.000136920260678352
"Malayalam",3322,0.000134570741412274
"Nepali",2729,0.000110548932364267
"Bengali",2584,0.000104675134199072
"Welsh",2489,0.000100826783677047
"Norwegian",2195,8.89171515352022e-05
"Serbian",1699,6.8824710914947e-05
"Bulgarian",1184,4.79626001902868e-05
"Sinhala; Sinhalese",1122,4.54510451127548e-05
"Oriya",1115,4.51674824427109e-05
"Icelandic",599,2.42648627651873e-05
"Lithuanian",572,2.3171121037875e-05
"Burmese",555,2.24824688391969e-05
"Hungarian",505,2.0457021196026e-05
"Pushto; Pashto",499,2.02139674788455e-05
"Amharic",403,1.63251080039574e-05
"Panjabi; Punjabi",374,1.51503483709183e-05
"Sindhi",196,7.9397547612299e-06
"Divehi; Dhivehi; Maldivian",131,5.30667282510774e-06
"Lao",113,4.57751167356622e-06
"Central Khmer",105,4.25344005065888e-06
"Armenian",89,3.60529680484419e-06
"Georgian",67,2.714099841849e-06
"Tibetan",6,2.43053717180507e-07
"Uighur; Uyghur",2,8.10179057268357e-08
