"Var1","Freq","Percentage"
"English",64102573,0.636238632355837
"Spanish; Castilian",15995813,0.158763583273634
"Portuguese",6026713,0.0598170628302415
"French",3539693,0.0351325902827571
"Bahasa",3349276,0.0332426403792283
"Italian",1266263,0.0125680671089879
"Japanese",1022106,0.0101447304394895
"Thai",940527,0.00933503265420778
"Hindi",809436,0.0080339123613584
"Turkish",637887,0.00633123341987486
"Catalan; Valencian",572767,0.00568489649765783
"German",558014,0.005538468232709
"Tagalog",478509,0.00474935556377681
"Dutch; Flemish",266952,0.00264958436823831
"Arabic",152191,0.00151054457200754
"Russian",116608,0.00115737186464808
"Tamil",111085,0.00110255431517933
"Korean",73554,0.000730047081952564
"Urdu",67125,0.000666237191397692
"Chinese",66996,0.000664956824951654
"Lithuanian",50750,0.00050371005532116
"Polish",50283,0.000499074930280077
"Romanian; Moldavian; Moldovan",49571,0.00049200810152365
"Estonian",43808,0.000434808474945998
"Greek, Modern (1453-)",40096,0.000397965682328222
"Swedish",36163,0.000358929393705992
"Marathi",33104,0.000328567835888703
"Finnish",31186,0.000309531069660014
"Czech",28599,0.000283854263490244
"Haitian; Haitian Creole",24705,0.000245205062398212
"Danish",22262,0.000220957502493787
"Ukrainian",20184,0.000200332684859159
"Persian",20115,0.000199647837690348
"Slovenian",16452,0.00016329138581564
"Telugu",15839,0.000157207163866638
"Kannada",12617,0.000125227778679548
"Gujarati",11964,0.000118746543879061
"Vietnamese",11857,0.00011768453450134
"Latvian",10051,9.97594042568075e-05
"Malayalam",7905,7.84596647746556e-05
"Bengali",7857,7.7983249352874e-05
"Norwegian",7819,7.76060871439636e-05
"Nepali",7239,7.1849400797436e-05
"Basque",6234,6.1874452903884e-05
"Welsh",5975,5.93037946905208e-05
"Hungarian",4723,4.6877292439051e-05
"Oriya",4581,4.54678968162805e-05
"Sinhala; Sinhalese",2977,2.95476814717457e-05
"Serbian",2952,2.92995484395678e-05
"Icelandic",2474,2.45552448643261e-05
"Panjabi; Punjabi",2340,2.32252518118525e-05
"Bulgarian",1863,1.8490873557898e-05
"Pushto; Pashto",1054,1.04612886366207e-05
"Burmese",775,7.69212399751526e-06
"Amharic",591,5.86586488068583e-06
"Sindhi",348,3.45401180791653e-06
"Divehi; Dhivehi; Maldivian",270,2.67983674752144e-06
"Armenian",231,2.2927492173239e-06
"Central Khmer",150,1.48879819306747e-06
"Lao",147,1.45902222920612e-06
"Georgian",115,1.14141194801839e-06
"Uighur; Uyghur",59,5.85593955939871e-07
"Tibetan",33,3.27535602474843e-07
