"Month","M","SD","Total","Type","NoDays"
"All_M","242765.286396182","193748.181518207","101718655","All","102"
"May","303673.741935484","11261.5761503077","9413886","All","4"
"Apr","379384.378881987",NA,"61080885","All","30"
"Jan","36243.85","11699.5644243813","724877","All","10"
"Feb","47457.3538461538","17986.2388440858","3084728","All","29"
"Mar","193058.302816902","167347.420171617","27414279","All","31"
"All_M","56290.155131265","46990.4309237274","23585575","Org","102"
"May","75658.6129032258","4534.02394632604","2345417","Org","4"
"Apr","92250.0745341614",NA,"14852262","Org","30"
"Jan","6527.8","2136.06348298472","130556","Org","10"
"Feb","12243.5230769231","4530.11616308404","795829","Org","29"
"Mar","38461.3450704225","33298.8829778689","5461511","Org","31"
"All_M","186475.131264917","147863.118681869","78133080","RT","102"
"May","228015.129032258","8986.89857450796","7068469","RT","4"
"Apr","287134.304347826",NA,"46228623","RT","30"
"Jan","29716.05","9956.74776070852","594321","RT","10"
"Feb","35213.8307692308","13821.8913722529","2288899","RT","29"
"Mar","154596.957746479","134308.362252752","21952768","RT","31"
