"Var1","Freq","Percentage"
"English",23625313,0.668003645880252
"Spanish; Castilian",6034126,0.170614381604207
"Portuguese",1711014,0.0483787702686586
"French",1412972,0.0399516589484639
"Italian",590716,0.0167024429128113
"Japanese",372521,0.0105329984905155
"Catalan; Valencian",298040,0.00842705477037068
"Hindi",292210,0.00826221203345194
"German",218479,0.00617747449730175
"Turkish",110062,0.00311199336376506
"Dutch; Flemish",104958,0.00296767821295318
"Thai",99156,0.00280362717357024
"Bahasa",96573,0.00273059307589252
"Tamil",67581,0.00191084682739371
"Arabic",39487,0.00111649144986454
"Chinese",29573,0.000836173972366702
"Korean",27863,0.000787823872858805
"Romanian; Moldavian; Moldovan",25197,0.000712442957485673
"Tagalog",24023,0.000679248210805981
"Urdu",21452,0.000606553412072177
"Marathi",19266,0.000544744454455648
"Lithuanian",18057,0.000510560085856205
"Russian",15938,0.000450645547343202
"Polish",11503,0.00032524631265459
"Persian",10178,0.000287782054263967
"Telugu",8733,0.000246924806434194
"Finnish",7924,0.000224050402631919
"Danish",7447,0.000210563269611295
"Czech",7276,0.000205728259660505
"Greek, Modern (1453-)",6176,0.00017462585646829
"Swedish",6015,0.00017007359563743
"Gujarati",5727,0.000161930420983468
"Estonian",5289,0.000149546009530568
"Haitian; Haitian Creole",5121,0.000144795824315757
"Kannada",5039,0.000142477281532337
"Bengali",3453,9.7633271111562e-05
"Slovenian",2801,7.91980284921764e-05
"Oriya",2436,6.88776856147596e-05
"Malayalam",2379,6.7266015631163e-05
"Welsh",2268,6.41275003999486e-05
"Ukrainian",2213,6.25723802403379e-05
"Norwegian",1937,5.47685045302912e-05
"Basque",1424,4.02634746779219e-05
"Nepali",1375,3.88780039902687e-05
"Panjabi; Punjabi",1240,3.50608908712241e-05
"Latvian",849,2.40054002819914e-05
"Hungarian",783,2.21392560904585e-05
"Vietnamese",772,2.18282320585363e-05
"Sinhala; Sinhalese",569,1.6088424923973e-05
"Pushto; Pashto",349,9.86794428553001e-06
"Serbian",304,8.59557324584849e-06
"Bulgarian",202,5.71153222257038e-06
"Icelandic",186,5.25913363068362e-06
"Armenian",115,3.25161487918611e-06
"Amharic",103,2.91231593527104e-06
"Divehi; Dhivehi; Maldivian",84,2.3750926074055e-06
"Sindhi",70,1.97924383950459e-06
"Burmese",52,1.47029542363198e-06
"Central Khmer",21,5.93773151851376e-07
"Lao",17,4.80673503879685e-07
"Georgian",14,3.95848767900917e-07
"Uighur; Uyghur",11,3.11024031922149e-07
"Tibetan",10,2.82749119929227e-07
