"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","351431.509803922","337810.991408906","93449","35846014","All","102"
"2","Jan","38145.9","11162.3465120715","42231.5","381459","All","10"
"3","Feb","56735.0689655172","18928.7484642711","46793","1645317","All","29"
"4","Mar","322999.931034483","294766.98952598","97190","9366998","All","29"
"5","Apr","700705.533333333","173258.196258276","713683.5","21021166","All","30"
"6","May","857768.5","28691.4270296895","844902","3431074","All","4"
"7","All_M","65159.068627451","63712.4118797107","17135","6646225","Org","102"
"8","Jan","6046.1","2043.57091875961","6102","60461","Org","10"
"9","Feb","11917.4482758621","3543.16451158532","11059","345606","Org","29"
"10","Mar","52383.1034482759","47011.0502232832","16043","1519110","Org","29"
"11","Apr","133830.2","34378.2361851215","131961.5","4014906","Org","30"
"12","May","176535.5","12506.4473372737","175446","706142","Org","4"
"13","All_M","286272.441176471","274942.955883816","78954","29199789","RT","102"
"14","Jan","32099.8","9550.69752891844","35249","320998","RT","10"
"15","Feb","44817.6206896552","15884.9759305852","36640","1299711","RT","29"
"16","Mar","270616.827586207","247940.656774973","81906","7847888","RT","29"
"17","Apr","566875.333333333","140786.101520474","573122.5","17006260","RT","30"
"18","May","681233","18337.2407230023","674420","2724932","RT","4"
