"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","585032.245614035","283644.579673745","703127","33346838","All","57"
"2","Mar","383786.434782609","302022.434068884","283971","8827088","All","23"
"3","Apr","699495.233333333","167836.243343425","712696.5","20984857","All","30"
"4","May","883723.25","10566.1217538256","885733","3534893","All","4"
"5","All_M","130515.473684211","72641.4798489583","141756","7439382","Org","57"
"6","Mar","66272.652173913","51869.8773905422","50792","1524271","Org","23"
"7","Apr","167194.633333333","47198.8592150885","162945.5","5015839","Org","30"
"8","May","224818","16814.0535465624","229505","899272","Org","4"
"9","All_M","454516.771929825","215836.879183515","540502","25907456","RT","57"
"10","Mar","317513.782608696","250877.517101465","233179","7302817","RT","23"
"11","Apr","532300.6","123690.707150342","541182","15969018","RT","30"
"12","May","658905.25","6458.74814366788","656846.5","2635621","RT","4"
