"Var1","Freq","Percentage"
"English",60764,0.757080026413825
"Tagalog",7024,0.0875144839959632
"Portuguese",6365,0.0793037714456585
"Spanish; Castilian",1323,0.0164837218574401
"French",667,0.00831038736123397
"Chinese",661,0.00823563125303697
"Turkish",505,0.00629197243991478
"Sinhala; Sinhalese",500,0.00622967568308394
"Bahasa",477,0.00594311060166208
"Italian",374,0.00465979741094679
"German",283,0.00352599643662551
"Japanese",177,0.00220530519181171
"Greek, Modern (1453-)",156,0.00194365881312219
"Hindi",132,0.00164463438033416
"Russian",78,0.000971829406561094
"Dutch; Flemish",71,0.000884613946997919
"Arabic",67,0.000834776541533248
"Catalan; Valencian",66,0.00082231719016708
"Thai",60,0.000747561081970073
"Vietnamese",60,0.000747561081970073
"Slovenian",52,0.00064788627104073
"Polish",50,0.000622967568308394
"Tamil",46,0.000573130162843722
"Romanian; Moldavian; Moldovan",32,0.000398699243717372
"Nepali",30,0.000373780540985036
"Czech",29,0.000361321189618868
"Estonian",29,0.000361321189618868
"Korean",27,0.000336402486886533
"Haitian; Haitian Creole",26,0.000323943135520365
"Persian",24,0.000299024432788029
"Danish",22,0.000274105730055693
"Finnish",14,0.00017443091912635
"Swedish",13,0.000161971567760182
"Norwegian",12,0.000149512216394015
"Welsh",12,0.000149512216394015
"Bengali",7,8.72154595631751e-05
"Marathi",5,6.22967568308394e-05
"Basque",4,4.98374054646715e-05
"Latvian",4,4.98374054646715e-05
"Lithuanian",3,3.73780540985036e-05
"Ukrainian",3,3.73780540985036e-05
"Hungarian",2,2.49187027323358e-05
"Kannada",2,2.49187027323358e-05
"Bulgarian",1,1.24593513661679e-05
"Malayalam",1,1.24593513661679e-05
"Urdu",1,1.24593513661679e-05
