"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","1286.08823529412","1045.90697248054","955","87454","All","68"
"2","Feb","1258.25","892.208262309498","1454","5033","All","4"
"3","Mar","2128.63333333333","937.41296546191","2137","63859","All","30"
"4","Apr","584.433333333333","418.846583989341","479","17533","All","30"
"5","May","257.25","100.579570490234","256","1029","All","4"
"6","All_M","486.426470588235","381.87367279693","374.5","33077","Org","68"
"7","Feb","441.5","294.698150655887","562.5","1766","Org","4"
"8","Mar","796.4","366.988076476419","718.5","23892","Org","30"
"9","Apr","228.6","90.485510366063","235","6858","Org","30"
"10","May","140.25","29.2389580297703","132.5","561","Org","4"
"11","All_M","799.661764705882","696.739734064094","538.5","54377","RT","68"
"12","Feb","816.75","609.785959715921","891.5","3267","RT","4"
"13","Mar","1332.23333333333","627.235735442498","1499.5","39967","RT","30"
"14","Apr","355.833333333333","357.052694201825","250.5","10675","RT","30"
"15","May","117","79.9874990232849","110.5","468","RT","4"
